QueryPreyClass,family,species,species_life,Adult Image #,Juvenile Image #,Larvae image #,Ref,prey_life,life_stage,TunaDietNote,depth_shallow,depth_deep,temp_min,temp_max,temp_mean,vert_habitat,vert_habitat_ordinal,vert_other,horz_habitat,horz_habitat_ordinal,horz_other,habitat_long,habitat_combi,habitat_notes,HabSource,DemersPelag,HabitatDetail,Climate,ClimateRef, ,diel_active,diel_migrant,diel_ref,diel_url1,diel_url2,diel_note,refuge,RefugeNote,season_migrant,season_notes,season_REF,season_URL,AnaCat,body_shape,body_shape_ordinal,BShapeRatio,LminRep,LmaxRep,LAveRep,LAveCalc,LAveREF,LFrac,Lcom,Lmat,Lmax,LTypeMaxM,L_Ref,L_URL,L_URL2,L_notes,phys_defense,defense_spines,exoskeleton,ColourDisrupt,Silvering,Countershade,Photophores,gregarious,greg_note,greg_ref,greg_URL,VisualDetect,TrophicLevel,SETrophicLevel,TrophEstimate,IUCNstatus,Commercial,Recreational,Source,URL,URL2,AuthorRef, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Actinopterygii,Agonidae,Bathyagonus pentacanthus,Bathyagonus pentacanthus (adult),3,0,0,fishbase,,adult,,110,910,4.7,7.9,5.9,demersal,2,,continental shelf,4,,continental shelf demersal,continental demersal,,FishBase,demersal,Adults are epipelagic but ,subtropical temperate,,,NA,UN,,,,,1,,UN,,,,NA,elongated,2,NA,,,,,,,NA,2.5,23,TL,,https://www.fishbase.se/summary/Bathyagonus-pentacanthus.html,https://spo.nmfs.noaa.gov/sites/default/files/tr137opt.pdf,,1,7,0,,,,,NA,,,,,3.2,0.4,Relatives,UN,NA,0,FishBase,,,NA,,,,,,,,,,,,,
Actinopterygii,Ammodytidae,Ammodytes tobianus,Ammodytes tobianus (adult),6,0,0,fishbase ,"Add row for each species, for life stage",adult,juveniles; adults,1,96,7.3,13.5,10.2,demersal,2,,continental shelf,4,,continental shelf demersal,continental demersal,,FishBase,demersal,,temperate polar,,,diurnal,1,Van der Kooij (2008),https://www.abdn.ac.uk/staffpages/uploads/nhi635/vanderKooijetal2008JSR.pdf,,,1,bury in sand at night; dependent on soft sediment demersal habitat,0,,,,non-migratory,elongated,2,NA,,,,,,,15,6.5,20,SL,,https://www.fishbase.se/summary/Ammodytes-tobianus,,,0,0,0,,,0,,schooling,,,https://www.fishbase.se/summary/Ammodytes-tobianus,,3.08,0.074,Species,DD,highly commercial,0,FishBase,https://www.fishbase.se/summary/Ammodytes-tobianus.html,,NA,,,,,,,,,,,,,
Actinopterygii,Anarhichadidae,Anarrhichthys ocellatus,Anarrhichthys ocellatus (adult),1,0,0,fishbase,,adult,juveniles,1,226,1.2,10.5,4.7,demersal,2,,continental shelf,4,,continental shelf demersal,continental demersal,,FishBase,demersal,juveniles are pelagic,subtropical; polar temperate,,,nocturnal,0,Keats et al. (1986),https://www.researchgate.net/profile/Derek_Keats/publication/254257280_Where_do_juvenile_Atlantic_wolffish_live/links/57b9ccf608aedfe0ec96e8b6/Where-do-juvenile-Atlantic-wolffish-live.pdf,,Inferring from related species,1,reef crevices,0,"Adults do not, but juvenilles are pelagic ",,,NA,elongated,2,NA,,,,,,,NA,NA,240,TL,,https://www.fishbase.se/summary/Anarrhichthys-ocellatus.html,,,1,239,0,,,0,,pair,,,https://www.fishbase.se/summary/Anarrhichthys-ocellatus.html,,3.51,0.53,Species,UN,minor commercial,0,FishBase,https://www.fishbase.se/summary/Anarrhichthys-ocellatus.html,,NA,,,,,,,,,,,,,
Actinopterygii,Anoplopomatidae,Anoplopoma fimbria,Anoplopoma fimbria (adult),4,1,0,fishbase,,adult,juveniles,175,2740,1.4,5.5,2.5,demersal,2,,continental shelf,4,deep-sea; continental slope,continental shelf demersal,deep-sea demersal,,FishBase,bathydemersal,young-of-the-year juveniles are pelagic and found on the surface and near-shore waters,subtropical; temperate,,,crepuscular,1,Doya (2014),https://www.sciencedirect.com/science/article/pii/S0924796313000869,,,1,reef crevices,1,Oceanodromous,,,oceanodromous,fusiform ,3,5.471032435,,,,,,,80,5.9,120,TL,"McFarlane, G. A., & Beamish, R. J. (1990). Effect of an External Tag on Growth of Sabiefish (Anoplopoma fimbria), and Consequences to Mortality and Age at Maturity. Canadian journal of fisheries and aquatic sciences, 47(8), 1551-1557.",https://doi-org.login.ezproxy.library.ualberta.ca/10.1139/cjfas-2016-0012,,,1,26,0,,,0,,solitary,,,,,3.84,0.205,Species,UN,highly commercial,0,FishBase,https://www.fishbase.se/summary/Anoplopoma-fimbria.html,https://www.dfo-mpo.gc.ca/species-especes/profiles-profils/sablefish-morue-charbonniere-eng.html,"Armstrong, R.H., 1996. Alaska's fish. A guide to selected species. Alaska Northwest Books. 94 p.",,,,,,,,,,,,,
Actinopterygii,Anotopteridae,Anotopterus nikparini,Anotopterus nikparini (adult),2,0,0,fishbase,,adult,juveniles,0,2750,1.4,15.3,5.7,bathypelagic,7,,oceanic,6,,oceanic bathypelagic,mesopelagic,,FishBase,bathypelagic,"commonly found at 0–700 m, more likely for albacore to have encountered it there",temperate; larger adults inhabit colder water toward the poles,,,nocturnal,UN,NA,,,,0,NA,1,basing it off of Anotopterus pharao,,,NA,eel-like,1,NA,,,,,,,NA,NA,146,TL,,https://www.fishbase.se/summary/Anotopterus-nikparini.html,,,0,0,0,,,1,,solitary,,,,,4.5,0.5,Species,UN,NA,0,FishBase,https://www.fishbase.se/summary/Anotopterus-nikparini.html,,Welch & Pankhurst (2005) https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1095-8649.2001.tb02297.x,,,,,,,,,,,,,
Actinopterygii,Anotopteridae,Anotopterus pharao,Anotopterus pharao (adult),2,1,0,fishbase,,adult,juveniles,0,5100,3.2,8.4,3.9,mesopelagic,6,bathypelagic,oceanic,6,,oceanic mesopelagic,mesopelagic,,FishBase,bathypelagic,large adults caught mainly in boreal and sub-arctic waters.,subtropical; polar; temperate,,,nocturnal,UN,NA,,,,0,NA,1,Epi-mesopelagic and deeper. Adults live in cold Arctic waters and migrate into more temperate to spawn. Juveniles return to high latitudes to mature and feed.,,http://watlfish.com/species/anotopteridae/archives/2013/03/14/anotopterus-pharao/,NA,elongated,2,NA,,,,,,,NA,NA,96,SL,,https://www.fishbase.se/summary/Anotopterus-pharao.html,,,0,0,0,,,1,,solitary,,,,,4.34,0.76,Species,LC,NA,0,FishBase,https://www.fishbase.se/summary/Anotopterus-pharao.html,,NA,,,,,,,,,,,,,
Actinopterygii,Aphyonidae,Barathronus parfaiti,Barathronus parfaiti (adult),1,0,0,fishbase,,adult,,1845,5005,NA,NA,NA,bathypelagic,7,,oceanic,6,,oceanic bathypelagic,bathypelagic,,FishBase,bathypelagic,,subtropical; temperate,,,NA,UN,,,,,0,,UN,,,,NA,eel-like,1,NA,,,,,,,NA,NA,10,SL,,https://www.fishbase.se/summary/Barathronus-parfaiti.html,,,0,0,0,,,,,NA,,,,,3.4,0.5,Relatives,DD,of no interest,0,FishBase,,,NA,,,,,,,,,,,,,
Actinopterygii,Atherinidae,Atherinopsis californiensis,Atherinopsis californiensis (adult),6,1,0,fishbase,,adult,,0,30,12.8,24.2,20.7,epipelagic,5,,coastal,3,,coastal epipelagic,coastal epipelagic,,FishBase,pelagic-neritic,,subtropical; temperate,,,NA,0,,http://www.aquariumofpacific.org/onlinelearningcenter/species/topsmelt,,,0,,1,Move inshore to spawn in late winter and early spring,"San Francisco Bay Area Wetlands Ecosystem Goals Project, 2000 (https://www.researchgate.net/profile/Robert_Leidy/publication/272416421_Leidy_RA_et_al_2000_Steelhead_pgs_101-104_threespine_stickleback_pgs_118-120_and_tule_perch_pgs_134-135_in_Bayland_Ecosystems_Species_and_Community_Profiles_Life_histories_and_environmental_requiremen/links/54e3832b0cf2b2314f5d320f.pdf#page=139)",http://www.aquariumofpacific.org/onlinelearningcenter/species/topsmelt,NA,elongated,2,NA,,,,,,,40,16,45,TL,"Clark, F. N. (1929). Fish Bulletin No. 16. The Life History of the California Jack Smelt, Atherinopsis californiensis.",https://www.fishbase.se/summary/Atherinopsis-californiensis.html,https://escholarship.org/uc/item/3xp124r4,"taken from graph in paper, where 50% were at the maturing stage",1,9,0,,,,,schooling,,,https://www.fishbase.se/summary/Atherinopsis-californiensis.html,,2.33,0.21,Species,LC,commercial,0,FishBase,,,NA,,,,,,,,,,,,,
Actinopterygii,Bathylagidae,Bathylagoides wesethi,Bathylagoides wesethi (adult),1,1,0,fishbase,,adult,,25,1130,6.9,9.9,7.9,mesopelagic,6,bathypelagic,oceanic,6,,oceanic mesopelagic,mesopelagic,Mesopelagic selected = the most common portion of the water column it is found,FishBase,bathypelagic,,subtropical,,,NA,1,"Davison, P. (2011). The specific gravity of mesopelagic fish from the northeastern Pacific Ocean and its implications for acoustic backscatter. ICES Journal of Marine Science, 68(10), 2064-2074.",https://doi-org.login.ezproxy.library.ualberta.ca/10.1093/icesjms/fsr140,,,0,,UN,,,,NA,elongated,2,NA,,,,,,,NA,NA,13.5,SL,,https://www.fishbase.se/summary/Bathylagoides-wesethi.html,,,0,0,0,,,,,NA,,,,,3.4,0.4,Relatives,UN,NA,0,FishBase,,,NA,,,,,,,,,,,,,
Actinopterygii,Bathylagidae,Leuroglossus stilbius,Leuroglossus stilbius (adult),2,1,0,fishbase,,adult,,100,850,3.8,12.1,6.2,mesopelagic,6,epipelagic,oceanic,6,,oceanic mesopelagic,oceanic mesopelagic,,FishBase,bathypelagic,,,,,,1,,https://en.wikipedia.org/wiki/Leuroglossus_stilbius,,,0,,1,,https://books.google.com/books?id=5wsEAQAAIAAJ&pg=PA29&lpg=PA29&dq=Leuroglossus+stilbius+seasonal+migration&source=bl&ots=-kEDG4xMbt&sig=ACfU3U09eaQ2xP4paeZZxfRd6FOegytK8w&hl=en&sa=X&ved=2ahUKEwiIt-mEgcPlAhWnGTQIHZp5AAwQ6AEwBnoECAgQAQ#v=onepage&q=Leuroglossus%20stilbius%20seasonal%20migration&f=false,,,fusiform ,3,,,,,,,,,,15,TL,,https://www.fishbase.se/summary/2703,,,0,0,0,,,,,schooling,,https://www.encyclopedia.com/environment/encyclopedias-almanacs-transcripts-and-maps/osmeriformes-smelts-galaxiids-and-relatives,,,3.26,,,UN,NA,0,,,,,,,,,,,,,,,,,
