OceanBasinQ,StudyID,CiteYear,YearRange,YearEnd,LocatName,LocatSpan, LocatLatitude,LocatLongitude,pred_life
Mediterranean,Bello1999,1999,1992,1992,SW Adriatic,"Adriatic Sea, near Mola & Monopoli, Italy",41.096462,17.512247,juvenile
Mediterranean,Bello1999,1999,1994,1994,SW Adriatic,"Adriatic Sea, near Mola & Monopoli, Italy",41.2,17.512247,juvenile
Mediterranean,Catalan2007,2007,1996,1996,Mallorca Island,SW Mallorcan (Balearic Islands) shelf slope,39.5615,3.6,larvae
Mediterranean,Consoli2008,2008,2005–06,2006,Central Mediterranean Sea,NE coast of Sicily,38.744181,15.059509,"juvenile, adult"
Mediterranean,Goni2011,2011,2005,2005,Balearic,Balearic Sea,40.158082,5,juvenile
Mediterranean,Goni2011,2011,2006,2006,S Adriatic,South Adriatic Sea,41.824403,16.766758,juvenile
Mediterranean,Goni2011,2011,2008,2008,Tyrrhenian,"Tyrrhenian sea, large span",40.658373,11.445351,"juvenile, adult"
Mediterranean,Monaco1888,1888,1888,1888,NA,NA,34.061761,19.209595,adult
Mediterranean,Romeo2012,2012,2002–08,2008,central Mediterranean Sea,S. Tyrrhenian sea and Strait of Messina,38.6,15,juvenile
Mediterranean,Salman&Karakulak2009,2009,2007,2007,Antalya Bay (Levantine Sea),Antalya Bay (Levantine Sea),36.5,31.5,juvenile
NE Atlantic,Aloncle1973,1973,1968–71,1971,NE Atlantic,"36˚N to 51˚N, Spain, France, Azores, NE Atlantic",44.632016,-5.5,"juvenile, adult"
NE Atlantic,Bouxin&Legendre,1934; 1936; 1940,1928,1928,Golfe de Gascogne,"Large tract of NE Atlantic, south of Iceland to Azorez and coast of W Europe",48,10,adult
NE Atlantic,Bouxin&Legendre,1934; 1936; 1940,1929,1929,Golfe de Gascogne,"Large tract of NE Atlantic, south of Iceland to Azorez and coast of W Europe",48,10,adult
NE Atlantic,Bouxin&Legendre,1934; 1936; 1940,1930,1930,Golfe de Gascogne,"Large tract of NE Atlantic, south of Iceland to Azorez and coast of W Europe",48,10,adult
NE Atlantic,Bouxin&Legendre,1934; 1936; 1940,1931,1931,Golfe de Gascogne,"Large tract of NE Atlantic, south of Iceland to Azorez and coast of W Europe",48,10,adult
NE Atlantic,Bouxin&Legendre,1934; 1936; 1940,1932,1932,Golfe de Gascogne,"Large tract of NE Atlantic, south of Iceland to Azorez and coast of W Europe",48,10,adult
NE Atlantic,Bouxin&Legendre,1934; 1936; 1940,1933,1933,Golfe de Gascogne,"Large tract of NE Atlantic, south of Iceland to Azorez and coast of W Europe",48,10,adult
NE Atlantic,Goni2011,2011,2004,2004,Bay of Biscay (Zone 2),Bay of Biscay,47.8,-10,"juvenile, adult"
NE Atlantic,Goni2011,2011,2005,2005,Bay of Biscay (Zone 1),Bay of Biscay,48,-13,"juvenile, adult"
NE Atlantic,Goni2011,2011,2005,2005,Bay of Biscay (Zone 2),Bay of Biscay,47.8,-10,"juvenile, adult"
NE Atlantic,Goni2011,2011,2005,2005,Bay of Biscay (Zone 3),Bay of Biscay,46.7,-5.6,"juvenile, adult"
NE Atlantic,Goni2011,2011,2005,2005,Bay of Biscay (Zone 5),Bay of Biscay,44,-2.7,"juvenile, adult"
NE Atlantic,Goni2011,2011,2006,2006,Bay of Biscay (Zone 2),Bay of Biscay,47.8,-10,"juvenile, adult"
NE Atlantic,Goni2011,2011,2006,2006,Bay of Biscay (Zone 3),Bay of Biscay,46.7,-5.6,"juvenile, adult"
NE Atlantic,Goni2011,2011,2006,2006,Bay of Biscay (Zone 4),Bay of Biscay,45.4,-3.5,"juvenile, adult"
NE Atlantic,Goni2011,2011,2006,2006,Bay of Biscay (Zone 5),Bay of Biscay,44,-2.7,"juvenile, adult"
NE Atlantic,Goni2011,2011,2007,2007,Bay of Biscay (Zone 5),Bay of Biscay,44,-2.7,"juvenile, adult"
NE Atlantic,Joubin1918,1918,1918,1918,Golfe de Gascogne,Large array Golfe de Gascogne,46.307336,-12.25,adult
NE Atlantic,OrtizZarate1987,1987,1968,1968,Bay of Biscay,Bay of Biscay,46.986108,-5.407589,"juvenile, adult"
NE Atlantic,Pusineri2005,2005,1993,1993,Bay of Biscay,NW Bay of Biscay,45,-17.5,juvenile
NE Indian,Uotani1981,1981,1977–78,1978,"NW Australia, Indianc Ocean","Indian Ocean, N of Exmouth to Dampier Peninsula, S of Indonesia",-15,117.5,larvae
NE Indian,Young&Davis1990,1990,1987,1987,"NE Indian, 16°30'S, 115°50'E","NE Indian Ocean, N of Port Headland",-16.5,115.833333,larvae
NE Pacific,Bernard1985,1985,1983,1983,"USA, CA, southern CA, 33 59' to 36 44' N and 122 19' to 122 30' W",CA-S,35.358333,-121.9083335,juvenile
NE Pacific,Clemens&Iselin1963,1963,1955–61,1961,A,Cape Mendocino south-Point Arguello,38,126,juvenile
NE Pacific,Clemens&Iselin1963,1963,1955–61,1961,A-B,"Cape Mendocino south-Point Arguello, Point Arguello- Mexican border",36.046601,-123.6211254,juvenile
NE Pacific,Clemens&Iselin1963,1963,1955–61,1961,A-B-C,"Cape Mendocino south-Point Arguello,  Point Arguello- Mexican border, South Mexican Border-Point San Eugenio",32.5,-121.835632,juvenile
NE Pacific,Clemens&Iselin1963,1963,1955–61,1961,B,Point Arguello- Mexican border,33.5,-121.835632,juvenile
NE Pacific,Clemens&Iselin1963,1963,1955–61,1961,B-C,"Point Arguello- Mexican border, South Mexican Border-Point San Eugenio",31.5,-119.5,juvenile
NE Pacific,Clemens&Iselin1963,1963,1955–61,1961,C,South Mexican Border-Point San Eugenio,30,-120,juvenile
NE Pacific,Clemens&Iselin1963,1963,1955–61,1961,D,South of Point Eugenio,26,-115,juvenile
NE Pacific,Glaser2015,2015,2005–06,2006,"Mexico to Canada, northern Baja California to Vancouver Island",span Canada to Mexico,42,-128.992307,"juvenile, adult"
NE Pacific,Hart1948,1948,1941,1941,Vancouver Island,"Vancouver Island, large span",49.117928,-127.546089,juvenile
NE Pacific,Hart1948,1948,1941,1941,Washington Coast,"Washington Coast, large span",47.046499,-124.79124,juvenile
