"","Anchylomera_blossevillei","Ancistroteuthis_lichtensteinii","Arctozenus_risso","Argonauta_argo","Argonauta_nodosus","Atlanta_peronii","Belone_belone","Benthosema_glaciale","Berryteuthis_anonychus","Beryx_splendens","Boops_boops","Brachyscelus_crusculum","Brama_orcini","Calanus_finmarchicus","Ceratoscopelus_maderensis","Ceratoscopelus_townsendi","Ceratoscopelus_warmingii","Chelophyes_appendiculata","Cololabis_saira","Diaphus_effulgens","Diaphus_lucidus","Diaphus_perspicillatus","Diaphus_theta","Diplodus_sargus","Doryteuthis_opalescens","Dosidicus_gigas","Electrona_rissoi","Eledone_cirrhosa","Engraulis_encrasicolus","Engraulis_japonicus","Engraulis_mordax","Eucleoteuthis_luminosa","Eusergestes_arcticus","Eusergestes_similis","Eutrigla_gurnardus","Gaidropsarus_vulgaris","Gennadas_elegans","Heterocarpus_laevigatus","Histioteuthis_bonnellii","Histioteuthis_heteropsis","Hyaloteuthis_pelagica","Hyperia_galba","Idotea_metallica","Illex_argentinus","Illex_coindetii","Janthina_exigua","Lampanyctodes_hectoris","Lampanyctus_alatus","Lampanyctus_crocodilus","Lampanyctus_intricarius","Lepidocybium_flavobrunneum","Lestidiops_sphyrenoides","Lobianchia_gemellarii","Lycoteuthis_lorigera","Lysiosquilla_tredecimdentata","Macroramphosus_scolopax","Maurolicus_muelleri","Medialuna_californiensis","Meganyctiphanes_norvegica","Merluccius_productus","Microgadus_proximus","Micromesistius_poutassou","Mullus_barbatus_barbatus","Myctophum_asperum","Myctophum_punctatum","Nannobrachium_regale","Nannobrachium_ritteri","Nyctiphanes_australis","Ocythoe_tuberculata","Ommastrephes_bartramii","Onychoteuthis_borealijaponica","Ornithoteuthis_antillarum","Ostracion_cubicus","Palinurus_mauritanicus","Parapronoe_crustulum","Phrosina_semilunata","Platyscelus_serratulus","Pleuroncodes_planipes","Pteroctopus_tetracirrhus","Sardina_pilchardus","Sardinops_sagax","Scaeurgus_unicirrhus","Scomber_japonicus","Scomber_scombrus","Scyllarus_arctus","Sebastes_brevispinis","Sebastes_diploproa","Sebastes_proriger","Sebastes_wilsoni","Spondyliosoma_cantharus","Streetsia_challengeri","Stylocheiron_abbreviatum","Symbolophorus_barnardi","Systellaspis_debilis","Tetragonurus_atlanticus","Thaleichthys_pacificus","Themisto_gaudichaudii","Thysanoteuthis_rhombus","Todarodes_pacificus","Todarodes_sagittatus","Todaropsis_eblanae","Trachinotus_ovatus","Trachurus_japonicus","Trachurus_symmetricus","Trachurus_trachurus","Triphoturus_mexicanus","Vinciguerria_lucetia"
"1",0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,30,16,0,34.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.7,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
