"","prey_sp","vertical.habitat","horizontal.habitat","diel.migrant","refuge.use","seasonal.migrant","gregarious","adult.clust.num"
"Anchylomera_blossevillei","Anchylomera_blossevillei","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Ancistroteuthis_lichtensteinii","Ancistroteuthis_lichtensteinii","demersal","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Arctozenus_risso","Arctozenus_risso","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","solitary","2"
"Argonauta_argo","Argonauta_argo","epipelagic","oceanic","diel (no)","refuge (no)","season (yes)","schooling","1"
"Argonauta_nodosus","Argonauta_nodosus","epipelagic","oceanic","diel (no)","refuge (no)","season (yes)","schooling","1"
"Atlanta_peronii","Atlanta_peronii","epipelagic","oceanic","diel (yes)","refuge (no)","season (no)","solitary","6"
"Belone_belone","Belone_belone","epipelagic","coastal","diel (no)","refuge (no)","season (yes)","schooling","1"
"Benthosema_glaciale","Benthosema_glaciale","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Berryteuthis_anonychus","Berryteuthis_anonychus","mesopelagic","oceanic","diel (yes)","refuge (yes)","season (yes)","schooling","2"
"Beryx_splendens","Beryx_splendens","demersal","continental slope","diel (yes)","refuge (yes)","season (no)","schooling","5"
"Boops_boops","Boops_boops","demersal","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Brachyscelus_crusculum","Brachyscelus_crusculum","epipelagic","continental shelf","diel (yes)","refuge (no)","season (no)","schooling","7"
"Brama_orcini","Brama_orcini","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Calanus_finmarchicus","Calanus_finmarchicus","epipelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Ceratoscopelus_maderensis","Ceratoscopelus_maderensis","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Ceratoscopelus_townsendi","Ceratoscopelus_townsendi","mesopelagic","oceanic","diel (yes)","refuge (no)","season (no)","schooling","2"
"Ceratoscopelus_warmingii","Ceratoscopelus_warmingii","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Chelophyes_appendiculata","Chelophyes_appendiculata","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Cololabis_saira","Cololabis_saira","epipelagic","oceanic","diel (no)","refuge (no)","season (yes)","schooling","1"
"Diaphus_effulgens","Diaphus_effulgens","mesopelagic","oceanic","diel (yes)","refuge (no)","season (no)","schooling","2"
"Diaphus_lucidus","Diaphus_lucidus","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Diaphus_perspicillatus","Diaphus_perspicillatus","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Diaphus_theta","Diaphus_theta","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Diplodus_sargus","Diplodus_sargus","demersal","reef-associated","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Doryteuthis_opalescens","Doryteuthis_opalescens","epipelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Dosidicus_gigas","Dosidicus_gigas","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Electrona_rissoi","Electrona_rissoi","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Eledone_cirrhosa","Eledone_cirrhosa","benthic","continental shelf","diel (yes)","refuge (yes)","season (yes)","solitary","3"
"Engraulis_encrasicolus","Engraulis_encrasicolus","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Engraulis_japonicus","Engraulis_japonicus","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Engraulis_mordax","Engraulis_mordax","epipelagic","coastal","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Eucleoteuthis_luminosa","Eucleoteuthis_luminosa","epipelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Eusergestes_arcticus","Eusergestes_arcticus","demersal","continental shelf","diel (yes)","refuge (yes)","season (yes)","schooling","5"
"Eusergestes_similis","Eusergestes_similis","epipelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Eutrigla_gurnardus","Eutrigla_gurnardus","demersal","continental shelf","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Gaidropsarus_vulgaris","Gaidropsarus_vulgaris","demersal","continental shelf","diel (no)","refuge (yes)","season (no)","solitary","9"
"Gennadas_elegans","Gennadas_elegans","demersal","continental shelf","diel (yes)","refuge (no)","season (no)","schooling","7"
"Heterocarpus_laevigatus","Heterocarpus_laevigatus","benthic","continental slope","diel (yes)","refuge (yes)","season (yes)","schooling","4"
"Histioteuthis_bonnellii","Histioteuthis_bonnellii","mesopelagic","oceanic","diel (yes)","refuge (no)","season (no)","schooling","2"
"Histioteuthis_heteropsis","Histioteuthis_heteropsis","mesopelagic","oceanic","diel (yes)","refuge (no)","season (no)","schooling","2"
"Hyaloteuthis_pelagica","Hyaloteuthis_pelagica","mesopelagic","oceanic","diel (yes)","refuge (no)","season (no)","schooling","2"
"Hyperia_galba","Hyperia_galba","epipelagic","oceanic","diel (yes)","refuge (yes)","season (yes)","schooling","5"
"Idotea_metallica","Idotea_metallica","epipelagic","continental shelf","diel (no)","refuge (yes)","season (yes)","schooling","8"
"Illex_argentinus","Illex_argentinus","epipelagic","continental slope","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Illex_coindetii","Illex_coindetii","demersal","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Janthina_exigua","Janthina_exigua","epipelagic","oceanic","diel (no)","refuge (no)","season (no)","solitary","6"
"Lampanyctodes_hectoris","Lampanyctodes_hectoris","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Lampanyctus_alatus","Lampanyctus_alatus","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Lampanyctus_crocodilus","Lampanyctus_crocodilus","bathypelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Lampanyctus_intricarius","Lampanyctus_intricarius","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Lepidocybium_flavobrunneum","Lepidocybium_flavobrunneum","mesopelagic","continental slope","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Lestidiops_sphyrenoides","Lestidiops_sphyrenoides","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Lobianchia_gemellarii","Lobianchia_gemellarii","mesopelagic","oceanic","diel (yes)","refuge (no)","season (yes)","schooling","2"
"Lycoteuthis_lorigera","Lycoteuthis_lorigera","mesopelagic","oceanic","diel (yes)","refuge (yes)","season (no)","schooling","2"
"Lysiosquilla_tredecimdentata","Lysiosquilla_tredecimdentata","benthic","coastal","diel (no)","refuge (yes)","season (no)","solitary","9"
"Macroramphosus_scolopax","Macroramphosus_scolopax","demersal","continental shelf","diel (yes)","refuge (yes)","season (yes)","schooling","5"
"Maurolicus_muelleri","Maurolicus_muelleri","mesopelagic","continental shelf","diel (yes)","refuge (no)","season (yes)","schooling","1"
"Medialuna_californiensis","Medialuna_californiensis","demersal","reef-associated","diel (no)","refuge (yes)","season (yes)","schooling","8"
