"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","YearEnd","MonthRange","stomachs_used","pred_life","pred_flmean","pred_flmin","pred_flmax","pred_flmean_est","pred_flest"
"Aloncle1973","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,1971,"May–Sep","1754","juvenile",72.9,39,83,"Estimated: by meta-analysis","Measured: study reported"
"Bello1999","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,1992,"Sep–Oct","35","juvenile",47.23,45,60,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Bello1999","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,1994,"Sep–Oct","21","juvenile",65,60,100,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Bernard1985","1985.0","N Pacific","NE Pacific","Southern CA",35.358333,-121.9083335,1983,"Aug–Sep","94","juvenile",69.3,61.13,77.47,"Estimated: by meta-analysis","Measured: study reported"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,1928,"Oct","1","juvenile, adult",72.9,40,110,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,1929,"Jul–Aug","6","juvenile, adult",72.9,40,110,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,1930,"Jul–Oct","9","juvenile, adult",72.9,40,110,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,1931,"Jul–Oct","25","juvenile, adult",72.9,40,110,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,1932,"Jul–Oct","35","juvenile, adult",72.9,40,110,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,1933,"Jul–Nov","54","juvenile, adult",72.9,40,110,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A",38,-124,1961,"Jul–Sep","not reported","juvenile",68.4,50,95,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A-B",36.046601,-123.6211254,1961,"Jul–Sep","not reported","juvenile",68.4,50,95,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A-B-C",32.5,-121.835632,1961,"Jul–Sep","not reported","juvenile",68.4,50,95,"Estimated: by meta-analysis","Estimated: by meta-analysis"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","B",33.5,-121.835632,1961,"Jul–Sep","not reported","juvenile",68.4,50,95,"Estimated: by meta-analysis","Estimated: by meta-analysis"
