"StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","SampleMethod","SampleDepth","stomachs_used","pred_life","pred_life_est","pred_age","pred_age_est","pred_flmean","pred_flmean_se","pred_flmean_est","pred_flmin","pred_flmax","pred_flest","est_note","est_ref","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","prey_age_reported_2","prey_age_use","Include","FO","pFOuse","N","pN","Total Mass (g)","pM","maxl_use","maxl_type","gape_lmax","gape_height_limit","lat_cat","pred_life_adjust","rep_ID"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","none",NA,"0","Yes",0,10,0,0,0,0,120,"TL",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Euphausiacea","Euphausiidae","Nematoscelis megalops","adult",NA,"3","Yes",0,15.5,0,0,0,0,40,"TL",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","adult",NA,"3","Yes",15,0.1,173,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes norvegica","adult",NA,"3","Yes",0,34.25,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Amphipoda","Hyperiidae","Themisto gaudichaudii","adult",NA,"3","Yes",0,27,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Amphipoda","Hyperiidae","Hyperia galba","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Amphipoda","Phrosinidae","Phrosina semilunata","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus crusculum","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","none",NA,"0","Yes",0,30,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","none",NA,"0","Yes",0,16,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","none",NA,"0","Yes",0,16,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","juvenile","Aloncle1973_1"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"troll, trawl, commercial","100–700 m","35","juvenile","Estimated: by meta-analysis","1+ yo","Estimated: study estimated age",47.23,NA,"Estimated: by meta-analysis",45,60,"Estimated: by meta-analysis","Synthesis effort estimated mean FL and range, based on N Atlantic growth curves and reported age by the study","Santiago & Arrizabalaga (2005)","Cephalopoda","Sepiida","Sepiolidae","Heteroteuthis dispar","adult","juvenile","3","Yes",20.335,58.1,112,88.2,0,0,25.8,"ML",5.645029,5.764858,"temperate","juvenile","Bello1999_2"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"troll, trawl, commercial","750–1150 m","21","juvenile","Estimated: by meta-analysis","2+ yo","Estimated: study estimated age",65,NA,"Estimated: by meta-analysis",60,100,"Estimated: by meta-analysis","Synthesis effort estimated mean FL and range, based on N Atlantic growth curves and reported age by the study","Santiago & Arrizabalaga (2005)","Cephalopoda","Sepiida","Sepiolidae","Heteroteuthis dispar","adult","juvenile","3","Yes",12.159,57.9,19,22.1,0,0,13.72,"ML",7.1075,6.202,"temperate","juvenile","Bello1999_3"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"troll, trawl, commercial","100–700 m","35","juvenile","Estimated: by meta-analysis","1+ yo","Estimated: study estimated age",47.23,NA,"Estimated: by meta-analysis",45,60,"Estimated: by meta-analysis","Synthesis effort estimated mean FL and range, based on N Atlantic growth curves and reported age by the study","Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","juvenile",NA,"2","Yes",9.03,25.8,12,9.4,0,0,0,"NO",5.645029,5.764858,"temperate","juvenile","Bello1999_2"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"troll, trawl, commercial","100–700 m","35","juvenile","Estimated: by meta-analysis","1+ yo","Estimated: study estimated age",47.23,NA,"Estimated: by meta-analysis",45,60,"Estimated: by meta-analysis","Synthesis effort estimated mean FL and range, based on N Atlantic growth curves and reported age by the study","Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","juvenile",NA,"2","Yes",2.275,6.5,2,1.6,0,0,0,"NO",5.645029,5.764858,"temperate","juvenile","Bello1999_2"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"troll, trawl, commercial","750–1150 m","21","juvenile","Estimated: by meta-analysis","2+ yo","Estimated: study estimated age",65,NA,"Estimated: by meta-analysis",60,100,"Estimated: by meta-analysis","Synthesis effort estimated mean FL and range, based on N Atlantic growth curves and reported age by the study","Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","juvenile",NA,"2","Yes",15.477,73.7,34,39.5,0,0,0,"NO",7.1075,6.202,"temperate","juvenile","Bello1999_3"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"troll, trawl, commercial","750–1150 m","21","juvenile","Estimated: by meta-analysis","2+ yo","Estimated: study estimated age",65,NA,"Estimated: by meta-analysis",60,100,"Estimated: by meta-analysis","Synthesis effort estimated mean FL and range, based on N Atlantic growth curves and reported age by the study","Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","juvenile",NA,"2","Yes",13.272,63.2,33,38.4,0,0,0,"NO",7.1075,6.202,"temperate","juvenile","Bello1999_3"
"Bernard1985","Bernard et al.","1985.0","N Pacific","NE Pacific","Southern CA",35.358333,-121.9083335,"Aug–Sep",1983,"troll, pole-line","surface","94","juvenile","Estimated: by meta-analysis","2–3 yo","Estimated: by meta-analysis",69.3,NA,"Estimated: by meta-analysis",61.13,77.47,"Measured: study reported","Bernard (1985) reported FL range, meta-analysis used range to estimate age range, mean of that age group from N Pacific growth curves.","Bernard (1985); ISC (2006); Xu et al. (2014)","Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","juvenile","young-of-year","2","Yes",0,69.7,2434.184,34.938768479977,44.1,0,47,"SL",7.46139,6.30778,"temperate","juvenile","Bernard1985_4"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Oct",1928,"troll","NA","1","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus olfersii","none",NA,"0","Yes",1,100,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_5"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus crusculum","adult",NA,"3","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Decapoda","Sergestidae","Eusergestes arcticus","adult",NA,"3","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
