"StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ"
"Jordan1880","Jordan1880_42",1880,"N Pacific","NE Pacific"
"Monaco1888","Monaco1888_47",1888,"Mediterranean","Mediterranean"
"Joubin1918","Joubin1918_43",1918,"N Atlantic","NE Atlantic"
"Bouxin&Legendre","Bouxin&Legendre_5",1928,"N Atlantic","NE Atlantic"
"Bouxin&Legendre","Bouxin&Legendre_6",1929,"N Atlantic","NE Atlantic"
"Bouxin&Legendre","Bouxin&Legendre_7",1930,"N Atlantic","NE Atlantic"
"Bouxin&Legendre","Bouxin&Legendre_8",1931,"N Atlantic","NE Atlantic"
"Bouxin&Legendre","Bouxin&Legendre_9",1932,"N Atlantic","NE Atlantic"
"Bouxin&Legendre","Bouxin&Legendre_10",1933,"N Atlantic","NE Atlantic"
"Hart1948","Hart1948_34",1941,"N Pacific","NE Pacific"
"Hart1948","Hart1948_35",1941,"N Pacific","NE Pacific"
"Hart1948","Hart1948_36",1945,"N Pacific","NE Pacific"
"Hart1948","Hart1948_37",1946,"N Pacific","NE Pacific"
"Hart1948","Hart1948_38",1946,"N Pacific","NE Pacific"
"Hart1948","Hart1948_39",1947,"N Pacific","NE Pacific"
"Hart1948","Hart1948_40",1947,"N Pacific","NE Pacific"
"McHugh1952","McHugh1952_46",1949,"N Pacific","NE Pacific"
"Iversen1962","Iversen1962_41",1957,"N Pacific","NE Pacific"
"Clemens&Iselin1963","Clemens&Iselin1963_11",1961,"N Pacific","NE Pacific"
"Clemens&Iselin1963","Clemens&Iselin1963_12",1961,"N Pacific","NE Pacific"
"Clemens&Iselin1963","Clemens&Iselin1963_13",1961,"N Pacific","NE Pacific"
"Clemens&Iselin1963","Clemens&Iselin1963_14",1961,"N Pacific","NE Pacific"
"Clemens&Iselin1963","Clemens&Iselin1963_15",1961,"N Pacific","NE Pacific"
"Clemens&Iselin1963","Clemens&Iselin1963_16",1961,"N Pacific","NE Pacific"
"Clemens&Iselin1963","Clemens&Iselin1963_17",1961,"N Pacific","NE Pacific"
"Matthews1977","Matthews1977_45",1964,"N Atlantic","NW Atlantic"
"OrtizZarate1987","OrtizZarate1987_48",1968,"N Atlantic","NE Atlantic"
"Pinkas1971","Pinkas1971_49",1968,"N Pacific","NE Pacific"
"Pinkas1971","Pinkas1971_50",1968,"N Pacific","NE Pacific"
"Pinkas1971","Pinkas1971_51",1968,"N Pacific","NE Pacific"
"Pinkas1971","Pinkas1971_52",1969,"N Pacific","NE Pacific"
"Pinkas1971","Pinkas1971_53",1969,"N Pacific","NE Pacific"
"Aloncle1973","Aloncle1973_1",1971,"N Atlantic","NE Atlantic"
"Bernard1985","Bernard1985_4",1983,"N Pacific","NE Pacific"
"Bello1999","Bello1999_2",1992,"Mediterranean","Mediterranean"
"Pusineri2005","Pusineri2005_54",1993,"N Atlantic","NE Atlantic"
"Bello1999","Bello1999_3",1994,"Mediterranean","Mediterranean"
"DosSantos&Haimovici2002","DosSantos&Haimovici2002_19",1998,"S Atlantic","SW Atlantic"
"Watanabe2004","Watanabe2004_61",2001,"N Pacific","NW Pacific"
"Watanabe2004","Watanabe2004_62",2002,"N Pacific","NW Pacific"
"Watanabe2004","Watanabe2004_63",2002,"N Pacific","NW Pacific"
"Goni2011","Goni2011_25",2004,"N Atlantic","NE Atlantic"
"Goni2011","Goni2011_21",2005,"Mediterranean","Mediterranean"
"Goni2011","Goni2011_24",2005,"N Atlantic","NE Atlantic"
"Goni2011","Goni2011_26",2005,"N Atlantic","NE Atlantic"
"Goni2011","Goni2011_28",2005,"N Atlantic","NE Atlantic"
"Goni2011","Goni2011_31",2005,"N Atlantic","NE Atlantic"
"Consoli2008","Consoli2008_18",2006,"Mediterranean","Mediterranean"
"Glaser2015","Glaser2015_20",2006,"N Pacific","NE Pacific"
"Goni2011","Goni2011_22",2006,"Mediterranean","Mediterranean"
"Goni2011","Goni2011_27",2006,"N Atlantic","NE Atlantic"
"Goni2011","Goni2011_29",2006,"N Atlantic","NE Atlantic"
"Goni2011","Goni2011_30",2006,"N Atlantic","NE Atlantic"
"Goni2011","Goni2011_32",2006,"N Atlantic","NE Atlantic"
"Young2010","Young2010_69",2006,"S Pacific","SW Pacific"
"Young2010","Young2010_70",2006,"S Pacific","SW Pacific"
"Goni2011","Goni2011_33",2007,"N Atlantic","NE Atlantic"
"Salman&Karakulak2009","Salman&Karakulak2009_60",2007,"Mediterranean","Mediterranean"
"Goni2011","Goni2011_23",2008,"Mediterranean","Mediterranean"
"Romeo2012","Romeo2012_59",2008,"Mediterranean","Mediterranean"
"Williams2015","Williams2015_65",2008,"S Pacific","SW Pacific"
"Williams2015","Williams2015_66",2009,"S Pacific","SW Pacific"
"Madigan2015","Madigan2015_44",2010,"N Pacific","NE Pacific"
"Williams2015","Williams2015_64",2010,"S Pacific","SW Pacific"
"Williams2015","Williams2015_67",2010,"S Pacific","SW Pacific"
"Williams2015","Williams2015_68",2010,"S Pacific","SW Pacific"
"Romanov2020","Romanov2020_55",2014,"Indian","SW Indian"
"Romanov2020","Romanov2020_56",2014,"Indian","SW Indian"
"Romanov2020","Romanov2020_57",2014,"S Atlantic","SE Atlantic"
"Romanov2020","Romanov2020_58",2015,"Indian","NW Indian"
