"StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust","Abraliopsis affinis","Abraliopsis felis","Abraliopsis gilchristi","Abraliopsis morisii","Alepisaurus ferox","Alloteuthis subulata","Anchylomera blossevillei","Ancistrocheirus lesueurii","Ancistroteuthis lichtensteinii","Antimora rostrata","Arctozenus risso","Argonauta argo","Argonauta nodosus","Ateleopus natalensis","Balistes punctatus","Belone belone","Benthosema glaciale","Beryx splendens","Brachyscelus crusculum","Bregmaceros mcclellandi","Capros aper","Cavolinia tridentata","Ceratias tentaculatus","Ceratoscopelus warmingii","Chiasmodon niger","Cololabis saira","Cubiceps capensis","Cubiceps pauciradiatus","Decapterus macrosoma","Diacria trispinosa","Diaphus effulgens","Diaphus lucidus","Diaphus perspicillatus","Diaphus theta","Diretmus argenteus","Doryteuthis opalescens","Dosidicus gigas","Electrona risso","Engraulis capensis","Engraulis encrasicolus","Engraulis japonicus","Engraulis mordax","Entelurus aequoreus","Eucleoteuthis luminosa","Funchalia taaningi","Funchalia woodwardi","Gempylus serpens","Gonatopsis borealis","Gonatus berryi","Gonatus pyros","Gonatus steenstrupi","Heterocarpus laevigatus","Heteroteuthis dispar","Histioteuthis reversa","Hyaloteuthis pelagica","Illex coindetii","Janicella spinicauda","Japetella diaphana","Japetella heathi","Lampadena luminosa","Lampanyctodes hectoris","Leptocotis tenuirostris","Lestidiops similis","Lestrolepis intermedia","Lycoteuthis lorigera","Lysiosquilla tredecimdentata","Macroramphosus scolopax","Magnisudis atlantica","Makaira mazara","Mastigoteuthis dentata","Maurolicus imperatorius","Maurolicus muelleri","Medialuna californiensis","Meganyctiphanes norvegica","Merluccius productus","Micromesistius poutassou","Myctophum asperum","Nansenia macrolepis","Natosquilla investigatoris","Nealotus tripes","Nematoscelis megalops","Neoanchisquilla tuberculata","Notoscopelus kroyeri","Nyctiphanes australis","Octopoteuthis rugosa","Octopoteuthis sicula","Octopus bimaculatus","Ocythoe tuberculata","Odontodactylus scyllarus","Ommastrephes bartramii","Omosudis lowii","Onychoteuthis banksii","Onychoteuthis borealijaponica","Onykia loennbergii","Onykia robusta","Oplophorus typus","Ornithoteuthis volatilis","Paralepis coregonoides","Paralepis speciosa","Parapronoe crustulum","Phrosina semilunata","Platyscelus ovoides","Platyscelus serratulus","Pleuroncodes planipes","Polybius henslowii","Primno macropa","Pterycombus petersii","Ranzania laevis","Rexea prometheoides","Salpa maxima","Sardina pilchardus","Sardinella aurita","Sardinops sagax","Scomber japonicus","Scomber scombrus","Scomberesox saurus","Scopelarchus analis","Scopelosaurus hoedti","Scyllarus arctus","Stenobrachius leucopsarus","Sthenoteuthis oualaniensis","Stigmatoteuthis dofleini","Stigmatoteuthis hoylei","Streetsia challengeri","Sudis hyalina","Symbolophorus barnardi","Themisto gaudichaudii","Thyrsitoides marleyi","Thysanoteuthis rhombus","Todarodes pacificus","Todarodes sagittatus","Todaropsis eblanae","Trachurus japonicus","Trachurus symmetricus","Trachurus trachurus","Tremoctopus gracilis","Triphoturus mexicanus","Vibilia gibbosa","Vinciguerria lucetia","Walvisteuthis rancureli"
"Consoli2008","Consoli2008_18",2006,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","mixed",0,0,0,0,0,0.08,0.76,0,0.71,0,0,0,0,0,0,0,0,0,1.09,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0.86,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.06,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.89,23.04,0,1.29,0,0.08,0,0,0.24,0,0,0,0,7.68,0.86,0,0,0,0,0,0,0,0,0,0,0,0.05,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
"Glaser2015","Glaser2015_20",2006,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0.1,0,3.3,0,0,0,0,0,23,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Goni2011","Goni2011_21",2005,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_22",2006,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile",0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_23",2008,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile",0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_24",2005,"N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_25",2004,"N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,0,4.4,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_26",2005,"N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,2.5,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_27",2006,"N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goni2011","Goni2011_28",2005,"N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,2.6,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0
