"prey_class","prey_order","prey_family","prey_sp","life_stage","diet_likely","life_note","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge_cat","season_migrant","season_cat","gregarious_primary","maxFO","maxN","maxM"
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","juvenile","juvenile",NA,"mesopelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",0,0,0
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.4,0.1,0
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","juvenile","juvenile",NA,"demersal","continental shelf","NA","diel_UN","refuge_NA","NA","season_NA","shoaling",0.5,0.3,0.5
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","juvenile","juvenile",NA,"epipelagic","coastal","0.0","diel_no","refuge_no","1.0","season_yes","schooling",0,0,0
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",2.7,0.3,1
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",1,0,0
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",11.1111111111111,0,0
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","juvenile","juvenile",NA,"demersal","continental shelf","0.0","diel_no","refuge_no","1.0","season_yes","schooling",2.85714285714286,0,0
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","NA","season_NA","NA",0.5,0,0.2
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","NA","season_NA","solitary",16.7,0.7,1.2
