"","dendlabs","prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","maxFO","maxN","maxM","prob.clust.num"
"1",1,"Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",100,19,30,1
"2",2,"Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania crenularis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",100,5.4,0,2
"3",3,"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus olfersii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",100,0,0,2
"4",4,"Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus crusculum","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",92.59259259,6.2,2.2,3
"5",5,"Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes norvegica","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",89.7,7.3,84.3,1
"6",6,"Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","adult","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",85.71428571,78.5,24.6,1
"7",7,"Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",85.4,52.8,95.2,4
"8",8,"Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis banksii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",83.33333333,12.32,5.5,5
"9",9,"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",81.48148148,20.38,26.89,6
"10",10,"Malacostraca","Euphausiacea","Euphausiidae","Nematoscelis megalops","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",80,0.61,4.2,1
"11",11,"Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",73.7,39.5,0.3,1
"12",12,"Actinopterygii","Gadiformes","Gadidae","Micromesistius poutassou","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",72.4,4.5,68.5,5
"13",13,"Actinopterygii","Perciformes","Nomeidae","Cubiceps pauciradiatus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",70.7,69.4,69.4,4
"14",14,"Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",69.7,40.4,23,5
"15",15,"Actinopterygii","Myctophiformes","Myctophidae","Myctophum punctatum","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",68.51851852,0,0,2
"16",16,"Cephalopoda","Sepiida","Sepiolidae","Heteroteuthis dispar","adult","mesopelagic","continental shelf","diel (yes)","season (no)","non-schooling",66,88.2,3.68,3
"17",17,"Malacostraca","Amphipoda","Phrosinidae","Phrosina semilunata","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",65,4.2,6.5,1
