prey_sp,maxl_type,maxFO,maxN,maxM,maxL
Scomberesox saurus,SL,48,2.1,0,221
Arctozenus risso,SL,52,4,0,204
Macroparalepis affinis,SL,4,0,0,169
Micromesistius poutassou,NO,12,4.5,19.8,160
Diplospinus multistriatus,SL,8,0,0,151
Engraulis encrasicolus,NO,9,1.5,4.6,130
Teuthowenia megalops,ML,4,0.1,0,129
Ancistroteuthis lichtensteinii,ML,12,0.2,0,128
Cubiceps gracilis,TL,10,0,0,120
Trachurus trachurus,NO,43,28.1,42.4,120
Cololabis saira,PB,18,2,20,119.1
Gonatus steenstrupi,ML,20,2,0,108
Atherinopsis californiensis,PB,0,0,0,94.6
Tarletonbeania crenularis,NO,1,0,0,74.8
Argyropelecus olfersii,SL,0,0,0,68
Diaphus theta,PB,1,0,0.1,66
Trachurus symmetricus,PB,4,0,1,64.7
Maurolicus muelleri,SL,46,78.5,0,62
Merluccius productus,PB,16,19,30,60.9
Stenobrachius leucopsarus,PB,3,0,0.2,59.8
Sardinops sagax,PB,27,3,4,49.2
Engraulis mordax,SL,69.7,34.93876848,0,47
Engraulis mordax,TL,26.5,40.4,0,40
Maurolicus muelleri,NO,12,1.9,0.8,40
Meganyctiphanes norvegica,TL,4,7.3,0,40
Nematoscelis megalops,TL,15.5,0,0,40
Eusergestes similis,PB,0,0,0,36
Engraulis mordax,PB,53,27,23,34.7
Pleuroncodes planipes,PB,1,0,0,33.8
Heteroteuthis dispar,ML,58.1,88.2,0,25.8
Benthosema glaciale,SL,2,0.1,0,25
Sebastes zacentrus,PB,0,0,0,19.3
Pleuronichthys decurrens,PB,1,0,0,18
Themisto gaudichaudii,TL,18,5.1,0,18
Sebastes diploproa,PB,1,0,0,16.8
Scomberesox saurus,NO,26,0.5,12,15
Sebastes proriger,PB,1,0,0,14.4
Sebastes wilsoni,PB,1,0,0,13
Sebastes brevispinis,PB,1,0,0,12.5
Sebastes aleutianus,PB,0,0,0,11.8
Sebastes miniatus,PB,0,0,0,9.9
Onychoteuthis borealijaponica,PB,19,1,3.3,8
Vampyroteuthis infernalis,PB,0,0,0,2.8
Gonatus onyx,PB,1,0,0,1.5
Gonatus californiensis,PB,0,0,0,1.2
Onykia robusta,PB,3,0,0.3,1
Doryteuthis opalescens,PB,9,1,3.3,0.6
