"prey_sp","maxl_type","maxFO","maxN","maxM","maxL"
"Ancistroteuthis lichtensteinii","ML",12,0.2,0,128
"Arctozenus risso","SL",52,4,0,204
"Argyropelecus olfersii","SL",0,0,0,68
"Atherinopsis californiensis","PB",0,0,0,94.6
"Benthosema glaciale","SL",2,0.1,0,25
"Cubiceps gracilis","TL",10,0,0,120
"Diplospinus multistriatus","SL",8,0,0,151
"Gonatus steenstrupi","ML",20,2,0,108
"Macroparalepis affinis","SL",4,0,0,169
"Maurolicus muelleri","NO",12,1.9,0.8,40
"Maurolicus muelleri","SL",46,78.5,0,62
"Micromesistius poutassou","NO",12,4.5,19.8,160
"Pleuronichthys decurrens","PB",1,0,0,18
"Scomberesox saurus","NO",26,0.5,12,15
"Scomberesox saurus","SL",48,2.1,0,221
"Teuthowenia megalops","ML",4,0.1,0,129
"Trachurus trachurus","NO",43,28.1,42.4,120
