"prey_sp","prey_age_reported_1","maxl_type","maxFO","maxN","maxM","maxL"
"Abralia redfieldi","none","NO",5,0,0,0
"Abraliopsis affinis","none","NO",1.16279069767442,0.0765110941086457,0.00609243441494352,0
"Abraliopsis felis","none","NO",36.4,11.3,2.13235204523023,0
"Abraliopsis gilchristi","none","NO",0.7,0.2,0.1,0
"Abraliopsis morisii","none","NO",4.9,3.4,3.4,0
"Acanthephyra pelagica","adult","NO",38.8888888888889,0,0,0
"Alepisaurus ferox","none","NO",2.7,0.3,1,0
"Alloteuthis subulata","none","NO",1,0.43,0.08,0
"Alpheus glaber","none","NO",11.1111111111111,0,0,0
"Anarrhichthys ocellatus","none","NO",33.33333333,0,0,0
"Anchylomera blossevillei","none","NO",4.2,1.65,3.3,0
"Ancistrocheirus lesueurii","none","NO",7,0.4,0.5,0
"Ancistroteuthis lichtensteinii","none","ML",12,0.2,0,128
"Ancistroteuthis lichtensteinii","none","NO",33,4.9,0.71,0
"Anoplopoma fimbria","none","NO",33.33333333,0,0,0
"Anotopterus nikparini","none","NO",1,0,0,0
"Anotopterus pharao","none","NO",11.1111111111111,0,0,0
"Antigonia capros","none","NO",3,0,0,0
"Antimora rostrata","none","NO",0.7,0,0.5,0
"Arctozenus risso","none","NO",38.8888888888889,0,0.5,0
"Arctozenus risso","none","SL",52,4,0,204
"Argonauta argo","none","NO",13.11,2.37,1.6,0
"Argonauta nodosus","none","NO",5,0,0.1,0
"Argonauta nouryi","none","NO",0.5,0.1,0,0
"Argyropelecus aculeatus","none","NO",0.5,0,0,0
"Argyropelecus olfersii","none","NO",100,0,0,0
"Argyropelecus olfersii","none","SL",0,0,0,68
"Arnoglossus imperialis","none","NO",24.0740740740741,0,0,0
"Ateleopus natalensis","none","NO",0.5,0.3,0.5,0
"Atherinopsis californiensis","none","PB",0,0,0,94.6
"Atlanta peronii","none","NO",1.85185185185185,0,0,0
"Axius stirhynchus","none","NO",4,0,0,0
"Balistes punctatus","none","NO",1.1,0.2,0.2,0
"Barathronus parfaiti","none","NO",1.85185185185185,0,0,0
"Bathophilus flemingi","none","NO",0.5,0.1,0,0
"Bathyagonus pentacanthus","none","NO",0,0,0,0
"Bathylagoides wesethi","none","NO",0,0,0,0
"Belone belone","none","NO",8.7,0,7.1,0
"Benthosema glaciale","none","NO",10.3,0,0.7,0
"Benthosema glaciale","none","SL",2,0.1,0,25
"Berryteuthis anonychus","none","NO",38.5,9,0,0
"Beryx splendens","none","NO",1.6,0.2,0.4,0
"Blennius ocellaris","none","NO",5.55555555555556,0,0,0
"Boops boops","none","NO",11.1111111111111,0,0,0
"Brachioteuthis riisei","none","NO",29.6296296296296,0,0,0
"Brachyscelus crusculum","adult","NO",92.5925925925926,0,0,0
"Brachyscelus crusculum","none","NO",14.5,6.2,2.2,0
"Brachyscelus macrocephalus","none","NO",0,0,0,0
"Brama brama","none","NO",0,0,0,0
"Brama orcini","none","NO",3,0.1593117731,0,0
"Bregmaceros mcclellandi","none","NO",2.1,0.3,0.2,0
"Calanus finmarchicus","none","NO",3.7037037037037,0,0,0
"Canthidermis maculata","none","NO",1.6,0.1,0,0
"Capros aper","none","NO",14.2857142857143,0.22,0.06,0
"Carinaria lamarckii","none","NO",34.2857142857143,0,0,0
"Cavolinia tridentata","none","NO",10,0,0.1,0
"Centrolophus niger","none","NO",1.85185185185185,0,0,0
"Ceratias tentaculatus","none","NO",0.5,0.1,0.3,0
"Ceratoscopelus maderensis","adult","NO",29.6296296296296,0,0,0
"Ceratoscopelus townsendi","larva","NO",0.996677740863787,0,0,0
"Ceratoscopelus townsendi","none","NO",7.7,0.6,0,0
"Ceratoscopelus warmingii","none","NO",5.6,0.8,0.2,0
"Chelophyes appendiculata","none","NO",16,0,0,0
"Chiasmodon niger","none","NO",9.5,1.7,1.6,0
"Chilara taylori","none","NO",0,0,0,0
"Chiroteuthis veranii","none","NO",36.06,8.69,0,0
"Chlorophthalmus agassizi","none","NO",2.85714285714286,0,0,0
"Chromis punctipinnis","none","NO",0,0,0,0
"Chtenopteryx sicula","none","NO",33.3333333333333,0,0,0
"Citharichthys sordidus","none","NO",0,0,0,0
"Clio pyramidata","none","NO",11.1111111111111,0,0,0
"Clupea pallasii","none","NO",0,0,0,0
"Cololabis saira","adult","NO",54.35,0,23.3,0
"Cololabis saira","juvenile","NO",10.9,3.313684881,0,0
"Cololabis saira","juvenile","PB",18,2,20,119.1
"Cololabis saira","none","NO",45.5,11.1,0.00609243441494352,0
"Cookeolus japonicus","none","NO",0.5,0.2,0,0
"Coryphaena hippurus","none","NO",0.3,0.01593117731,0,0
"Cranchia scabra","none","NO",1.1,0.1,0,0
"Cubiceps capensis","none","NO",0.7,0.1,0.5,0
"Cubiceps gracilis","none","NO",0,0,0,0
"Cubiceps gracilis","none","TL",10,0,0,120
"Cubiceps pauciradiatus","none","NO",70.7,69.4,69.4,0
"Cymatogaster aggregata","none","NO",0.5,0.1,0,0
"Cyphocaris faurei","none","NO",1.6,0.1,0,0
"Dactyloptena orientalis","none","NO",1.1,0.1,0,0
"Decapterus macarellus","none","NO",0.5,0.1,0,0
"Decapterus macrosoma","none","NO",0.5,0,0.1,0
"Desmodema polystictum","none","NO",0,0,0,0
"Diacria trispinosa","none","NO",5.71428571428571,0.3,0.1,0
"Diaphus effulgens","none","NO",2.1,0.2,0.2,0
"Diaphus lucidus","none","NO",7.9,5.8,4.4,0
"Diaphus luetkeni","adult","NO",2.85714285714286,0,0,0
"Diaphus ostenfeldi","none","NO",0.7,0,0,0
"Diaphus perspicillatus","none","NO",7.9,5.8,5,0
"Diaphus theta","adult","PB",1,0,0.1,66
"Diaphus theta","none","NO",5.6,9.8,0.2,0
"Diplodus sargus","none","NO",2.85714285714286,0,0,0
"Diplospinus multistriatus","none","SL",8,0,0,151
"Diretmus argenteus","none","NO",11.4,2.6,4.6,0
"Doryteuthis opalescens","juvenile","PB",9,1,3.3,0.6
"Doryteuthis opalescens","none","NO",13.4,6.04437643458301,22.6638560235899,0
"Dosidicus gigas","none","ML",1.16279069767442,0.0765110941086457,3.35083892821894,0
"Dosidicus gigas","none","NO",0.5,0.1,0,0
"Echinosquilla guerinii","none","NO",0.6,0.03186235463,0,0
"Electrona risso","adult","NO",5.71428571428571,0,0,0
"Electrona risso","none","NO",0.5,0.1,0.1,0
"Eledone cirrhosa","none","NO",8,0.16,0,0
"Engraulis capensis","none","NO",10,3.8,4.4,0
