"prey_class","prey_order","prey_family","prey_sp","species_life","life_stage","diet_likely","life_note","trait_notes","trait_confidence_cat","vert_habitat","horz_habitat","season_migrant","diel_migrant"
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","Ateleopus natalensis (adult)","adult","juvenile",NA,"almost nothing known","low","benthic","continental shelf","NA","NA"
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","Ateleopus natalensis (juvenile)","juvenile","juvenile",NA,"almost nothing known","low","demersal","continental shelf","NA","NA"
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","Ateleopus natalensis (larva)","larva","juvenile",NA,"almost nothing known","low","epipelagic","continental shelf","NA","NA"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","Lestidiops sphyrenoides (adult)","adult","juvenile",NA,"almost nothing known, or species level info","low","mesopelagic","oceanic","1.0","1.0"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","Lestidiops sphyrenoides (juvenile)","juvenile","juvenile",NA,"almost nothing known, or species level info","low","epipelagic","oceanic","1.0","1.0"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","Lestidiops sphyrenoides (larva)","larva","juvenile",NA,"almost nothing known, or species level info","low","epipelagic","oceanic","1.0","1.0"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","Beryx splendens (adult)","adult","juvenile",NA,"species level info, but not a lot out there","medium","demersal","continental slope","1.0","1.0"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","Beryx splendens (juvenile)","juvenile","juvenile",NA,"species level info, but not a lot out there","medium","epipelagic","continental slope","1.0","1.0"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","Beryx splendens (larva)","larva","juvenile",NA,"species level info, but not a lot out there","medium","epipelagic","continental slope","1.0","1.0"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","Diretmus argenteus (adult)","adult","juvenile",NA,"almost nothing known, or species level info","low","demersal","continental slope","NA","1.0"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","Diretmus argenteus (juvenile)","juvenile","juvenile",NA,"almost nothing known, or species level info","low","mesopelagic","oceanic","NA","1.0"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","Diretmus argenteus (larva)","larva","juvenile",NA,"almost nothing known, or species level info","low","mesopelagic","oceanic","NA","1.0"
"Actinopterygii","Gadiformes","Moridae","Antimora rostrata","Antimora rostrata (adult)","adult","juvenile","More likely y-o-y based on size and trait information","almost nothing known, or species level info","low","benthic","continental slope","1.0","0.0"
"Actinopterygii","Gadiformes","Moridae","Antimora rostrata","Antimora rostrata (juvenile)","juvenile","juvenile","More likely y-o-y based on size and trait information","almost nothing known, or species level info","low","bathypelagic","continental slope","1.0","0.0"
"Actinopterygii","Gadiformes","Moridae","Antimora rostrata","Antimora rostrata (larva)","larva","juvenile","More likely y-o-y based on size and trait information","almost nothing known, or species level info","low","bathypelagic","continental slope","1.0","NA"
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","Ceratoscopelus warmingii (adult)","adult","adult",NA,"species level info, but not a lot out there","medium","mesopelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","Ceratoscopelus warmingii (juvenile)","juvenile","adult",NA,"almost nothing known","low","mesopelagic","oceanic","0.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","Ceratoscopelus warmingii (larva)","larva","adult",NA,"almost nothing known","low","epipelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","Diaphus ostenfeldi (adult)","adult","adult",NA,"almost nothing known, or species level info","low","mesopelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","Diaphus ostenfeldi (juvenile)","juvenile","adult",NA,"almost nothing known, or species level info","low","epipelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","Diaphus ostenfeldi (larva)","larva","adult",NA,"almost nothing known, or species level info","low","epipelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","Hygophum hygomii (adult)","adult","adult",NA,"species level info, but not a lot out there","medium","mesopelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","Hygophum hygomii (juvenile)","juvenile","adult",NA,"species level info, but not a lot out there","medium","mesopelagic","oceanic","0.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","Hygophum hygomii (larva)","larva","adult",NA,"species level info, but not a lot out there","medium","epipelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","Lampadena luminosa (adult)","adult","juvenile",NA,"almost nothing known, or species level info","low","mesopelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","Lampadena luminosa (juvenile)","juvenile","juvenile",NA,"almost nothing known, or species level info","low","mesopelagic","oceanic","0.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","Lampadena luminosa (larva)","larva","juvenile",NA,"almost nothing known, or species level info","low","epipelagic","oceanic","0.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Protomyctophum crockeri","Protomyctophum crockeri (adult)","adult","adult",NA,"almost nothing known, or species level info","low","mesopelagic","oceanic","1.0","1.0"
"Actinopterygii","Myctophiformes","Myctophidae","Protomyctophum crockeri","Protomyctophum crockeri (juvenile)","juvenile","adult",NA,"almost nothing known, or species level info","low","mesopelagic","oceanic","1.0","0.0"
