"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","SampleMethod","SampleDepth","stomachs_used","pred_life","pred_life_est","pred_age","pred_age_est","pred_flmean","pred_flmean_se","pred_flmean_est","pred_flmin","pred_flmax","pred_flest","est_note","est_ref","pred_life_adjust","rep_ID"
"Aloncle1973","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"troll","surface","1754","juvenile","Estimated: by meta-analysis","1–5 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",39,83,"Measured: study reported","Synthesis effort estimated mean from ICCAT data and FL range reported by the study, then age and life stage using N Atlantic growth curves and age structure.","Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005)","juvenile","Aloncle1973_1"
"Bello1999","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"troll, trawl, commercial","100–700 m","35","juvenile","Estimated: by meta-analysis","1+ yo","Estimated: study estimated age",47.23,NA,"Estimated: by meta-analysis",45,60,"Estimated: by meta-analysis","Synthesis effort estimated mean FL and range, based on N Atlantic growth curves and reported age by the study","Santiago & Arrizabalaga (2005)","juvenile","Bello1999_2"
"Bello1999","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"troll, trawl, commercial","750–1150 m","21","juvenile","Estimated: by meta-analysis","2+ yo","Estimated: study estimated age",65,NA,"Estimated: by meta-analysis",60,100,"Estimated: by meta-analysis","Synthesis effort estimated mean FL and range, based on N Atlantic growth curves and reported age by the study","Santiago & Arrizabalaga (2005)","juvenile","Bello1999_3"
"Bernard1985","1985.0","N Pacific","NE Pacific","Southern CA",35.358333,-121.9083335,"Aug–Sep",1983,"troll, pole-line","surface","94","juvenile","Estimated: by meta-analysis","2–3 yo","Estimated: by meta-analysis",69.3,NA,"Estimated: by meta-analysis",61.13,77.47,"Measured: study reported","Bernard (1985) reported FL range, meta-analysis used range to estimate age range, mean of that age group from N Pacific growth curves.","Bernard (1985); ISC (2006); Xu et al. (2014)","juvenile","Bernard1985_4"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Oct",1928,"troll","NA","1","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Bouxin&Legendre_5"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1930,"troll","NA","9","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Bouxin&Legendre_7"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1931,"troll","NA","25","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Bouxin&Legendre_8"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1932,"troll","NA","35","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Bouxin&Legendre_9"
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Nov",1933,"troll","NA","54","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Bouxin&Legendre_10"
