"","StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatLatitude","LocatLongitude","YearEnd","lat_cat","province","code","pred_life","pred_flmean","grouped_id","Alepisaurus ferox","Anchylomera blossevillei","Ancistroteuthis lichtensteinii","Arctozenus risso","Argonauta argo","Argonauta nodosus","Belone belone","Benthosema glaciale","Beryx splendens","Brachyscelus crusculum","Ceratoscopelus warmingii","Cololabis saira","Diaphus effulgens","Diaphus lucidus","Diaphus perspicillatus","Diaphus theta","Doryteuthis opalescens","Dosidicus gigas","Electrona rissoi","Engraulis capensis","Engraulis encrasicolus","Engraulis japonicus","Engraulis mordax","Entelurus aequoreus","Eucleoteuthis luminosa","Funchalia taaningi","Funchalia woodwardi","Gonatopsis borealis","Heterocarpus laevigatus","Histioteuthis reversa","Hyaloteuthis pelagica","Illex coindetii","Janicella spinicauda","Lampadena luminosa","Lampanyctodes hectoris","Leptocotis tenuirostris","Lycoteuthis lorigera","Lysiosquilla tredecimdentata","Macroramphosus scolopax","Makaira mazara","Maurolicus imperatorius","Maurolicus muelleri","Medialuna californiensis","Meganyctiphanes norvegica","Merluccius productus","Micromesistius poutassou","Myctophum asperum","Nematoscelis megalops","Nyctiphanes australis","Ocythoe tuberculata","Odontodactylus scyllarus","Ommastrephes bartramii","Onychoteuthis banksii","Onychoteuthis borealijaponica","Oplophorus typus","Ornithoteuthis volatilis","Parapronoe crustulum","Phrosina semilunata","Platyscelus serratulus","Pleuroncodes planipes","Ranzania laevis","Sardina pilchardus","Sardinella aurita","Sardinops sagax","Scomber japonicus","Scomber scombrus","Scomberesox saurus","Scyllarus arctus","Sthenoteuthis oualaniensis","Streetsia challengeri","Symbolophorus barnardi","Themisto gaudichaudii","Thysanoteuthis rhombus","Todarodes pacificus","Todarodes sagittatus","Todaropsis eblanae","Trachurus japonicus","Trachurus symmetricus","Trachurus trachurus","Triphoturus mexicanus","Vibilia gibbosa","Vinciguerria lucetia"
"1","Consoli2008","Consoli et al.","2008.0","Mediterranean","Mediterranean",38.744181,15.059509,2006,"temperate","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","juvenile, adult",94.4,1,0,0.76,0.71,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,2.79,0,0,0,0,0,0,0,0,0,0.08,0,0.06,0,0,0,0.41,0,0,0,0,0,0,0,0,0,1.29,0.08,0,0,7.68,0.86,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0
"2","Glaser2015","Glaser et al.","2015.0","N Pacific","NE Pacific",42,-128.992307,2006,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",75.6,1,0,0,0,0,0.4,0,0,0,0,0,0,20,0,0,0,0.1,3.3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3","Goni2011","Goni et al.","2011.0","Mediterranean","Mediterranean",40.158082,5,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile",64.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9,0,0,0,4.2,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Goni2011","Goni et al.","2011.0","Mediterranean","Mediterranean",40.158082,5,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile",64.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Goni2011","Goni et al.","2011.0","Mediterranean","Mediterranean",41.824403,16.766758,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile",64.4,2,0,0.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Goni2011","Goni et al.","2011.0","Mediterranean","Mediterranean",41.824403,16.766758,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile",64.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Goni2011","Goni et al.","2011.0","Mediterranean","Mediterranean",40.658373,11.445351,2008,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",75,3,0,3.3,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Goni2011","Goni et al.","2011.0","Mediterranean","Mediterranean",40.658373,11.445351,2008,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Goni2011","Goni et al.","2011.0","Mediterranean","Mediterranean",40.658373,11.445351,2008,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2004,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"11","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2004,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",48,-13,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0
"13","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",48,-13,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",48,-13,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
