"","StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatLatitude","LocatLongitude","YearEnd","lat_cat","province","code","pred_life","pred_flmean","grouped_id","Alepisaurus ferox","Anchylomera blossevillei","Ancistroteuthis lichtensteinii","Arctozenus risso","Argonauta argo","Benthosema glaciale","Berryteuthis anonychus","Beryx splendens","Brachyscelus crusculum","Brama orcini","Canthidermis maculata","Ceratoscopelus townsendi","Ceratoscopelus warmingii","Cololabis saira","Cookeolus japonicus","Coryphaena hippurus","Cymatogaster aggregata","Dactyloptena orientalis","Diaphus effulgens","Diaphus lucidus","Diaphus perspicillatus","Diaphus theta","Doryteuthis opalescens","Dosidicus gigas","Electrona rissoi","Eledone cirrhosa","Engraulis capensis","Engraulis encrasicolus","Engraulis japonicus","Engraulis mordax","Eucleoteuthis luminosa","Euphausia pacifica","Eusergestes similis","Funchalia taaningi","Funchalia woodwardi","Gonatopsis borealis","Heterocarpus laevigatus","Histioteuthis bonnellii","Histioteuthis heteropsis","Histioteuthis reversa","Illex coindetii","Janicella spinicauda","Katsuwonus pelamis","Lampadena luminosa","Lampanyctodes hectoris","Leptocotis tenuirostris","Leuroglossus stilbius","Lobianchia gemellarii","Lycoteuthis lorigera","Lysiosquilla tredecimdentata","Makaira mazara","Masturus lanceolatus","Maurolicus imperatorius","Maurolicus muelleri","Medialuna californiensis","Meganyctiphanes norvegica","Merluccius productus","Microgadus proximus","Micromesistius poutassou","Myctophum asperum","Nannobrachium ritteri","Nematoscelis megalops","Ocythoe tuberculata","Odontodactylus scyllarus","Ommastrephes bartramii","Onychoteuthis banksii","Onychoteuthis borealijaponica","Opisthoteuthis californiana","Oplophorus typus","Ornithoteuthis volatilis","Ostracion cubicus","Parapronoe crustulum","Parribacus antarcticus","Phrosina semilunata","Platyscelus serratulus","Pleuroncodes planipes","Pteroctopus tetracirrhus","Ranzania laevis","Sardina pilchardus","Sardinella aurita","Sardinops sagax","Scaeurgus unicirrhus","Scomber japonicus","Scomber scombrus","Scomberesox saurus","Sternoptyx diaphana","Sthenoteuthis oualaniensis","Streetsia challengeri","Symbolophorus barnardi","Tetragonurus cuvieri","Themisto gaudichaudii","Todarodes pacificus","Todarodes sagittatus","Trachurus japonicus","Trachurus symmetricus","Trachurus trachurus","Triphoturus mexicanus","Vampyroteuthis infernalis","Vibilia gibbosa","Vinciguerria lucetia"
"1","Bello1999","Bello, G","1999.0","Mediterranean","Mediterranean",41.2,17.512247,1994,"temperate","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","juvenile",65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0
"2","Bello1999","Bello, G","1999.0","Mediterranean","Mediterranean",41.096462,17.512247,1992,"temperate","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","juvenile",47.23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0
"3","Bernard1985","Bernard, HJ, JB Hedgepeth, SB Reilly","1985.0","N Pacific","NE Pacific",35.358333,-121.9083335,1983,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile",69.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.938768479977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Consoli2008","Consoli et al.","2008.0","Mediterranean","Mediterranean",38.744181,15.059509,2006,"temperate","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","juvenile, adult",94.4,1,0,1.65,0.3,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.29,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,2.51,0.06,0,0,0,5.8,0.86,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0.24,0
"5","Glaser2015","Glaser et al.","2015.0","N Pacific","NE Pacific",42,-128.992307,2006,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",75.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Glaser2015","Glaser et al.","2015.0","N Pacific","NE Pacific",42,-128.992307,2006,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",75.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Iversen1962","Iversen, RTB","1962.0","N Pacific","NE Pacific",15,-150,1957,"tropical","Trades - N. Pacific Tropical Gyre Province","NPTG","juvenile",67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.843823947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Iversen1962","Iversen, RTB","1962.0","N Pacific","NE Pacific",15,-150,1957,"tropical","Trades - N. Pacific Tropical Gyre Province","NPTG","juvenile",67,1,0,0,0,0,0,0,0,0,0,0.4732607667,0,0,0,0,0,0.04732607667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42593469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14197823,0,0,0,0,0,0,0,0,0,0
"9","Madigan2015","Madigan et al.","2015.0","N Pacific","NE Pacific",34.633208,-124.292542,2010,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile",75.6,1,0,0,0,0,0.994644223412395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765110941086457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765110941086457,0,0,0,0,0,0,0,0.0765110941086457,0,0,0,0,0,0,0,0,0,0,0,0,0.153022188217291,0,0,0,0,0,0,0.306044376434583,0,0,0,0,0,0,0,0,0,0,0,13.6954858454476,0,0.459066564651875,0,0,0
"10","Madigan2015","Madigan et al.","2015.0","N Pacific","NE Pacific",34.633208,-124.292542,2010,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile",75.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04437643458301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30068859984698,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90206579954093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
