ID,prey_class,prey_order,prey_family,prey_sp,prey_common,energy_density,percent_protein,percent_lipid
1,Actinopterygii,Aulopiformes,Anotopteridae,Anotopterus pharao,daggertooth,10.87,NA,NA
2,Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,shortnose greeneye,NA,22.34,0.53
3,Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,shortnose greeneye,4.43,NA,NA
4,Actinopterygii,Aulopiformes,Omusdidae,Omosudis lowii,hammerjaw,NA,NA,NA
5,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,spotted barracudina,4.3,15.8,2.5
6,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,spotted barracudina,NA,NA,6.73
7,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,NA,NA,NA,NA
8,Actinopterygii,Aulopiformes,Paralepididae,Macroparalepis affinis,NA,NA,NA,NA
9,Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,sharpchin barracudina,NA,NA,NA
10,Actinopterygii,Aulopiformes,Paralepididae,Paralepis speciosa,NA,NA,NA,NA
11,Actinopterygii,Aulopiformes,Paralepididae,Sudis hyalina,NA,NA,NA,NA
12,Actinopterygii,Beloniformes,Belonidae,Belone belone,garfish,6.2,20.1,2.9
13,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,Atlantic saury,5.8,22.9,2.1
14,Actinopterygii,Clupeiformes,Clupeidae,Sardina pilchardus,European sardine,8.7,17.8,11.7
15,Actinopterygii,Clupeiformes,Clupeidae,Sardina pilchardus,European sardine,6.03,NA,NA
16,Actinopterygii,Clupeiformes,Clupeidae,Sardinella aurita,round sardinella,NA,19.85125,7.155
17,Actinopterygii,Clupeiformes,Clupeidae,Sardinella aurita,round sardinella,5.64,NA,NA
18,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,European anchovy,5.8,19.6,3.4
19,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,European anchovy,5.35,NA,NA
20,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,European anchovy,5.8,NA,NA
21,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,European anchovy,NA,19.65,2
22,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,European anchovy,4.645,NA,NA
23,Actinopterygii,Clupeiformes,Engraulidae,Engraulis japonicus,Japanese anchovy,6.29,18.3,7.7
24,Actinopterygii,Clupeiformes,Engraulidae,Engraulis japonicus,Japanese anchovy,4.54,NA,NA
25,Actinopterygii,Gadiformes,Gadidae,Micromesistius poutassou,blue whiting,4.4,17.4,1.5
26,Actinopterygii,Gadiformes,Gadidae,Micromesistius poutassou,blue whiting,4.9,NA,NA
27,Actinopterygii,Gadiformes,Gadidae,Micromesistius poutassou,blue whiting,NA,16.1,3.9
28,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus vulgaris,three-bearded rockling,5.5,17.2,2.6
29,Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,glacier lantern fish,8.26,NA,NA
30,Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,glacier lantern fish,5.9,13.9,7.5
