dendlabs,prey_class,prey_order,prey_family,prey_sp,vertical habitat,horizontal habitat,diel migrant,refuge use,seasonal migrant,gregarious,adult.clust.num
1,Hydrozoa,Siphonophorae,Diphyidae,Chelophyes appendiculata,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
4,Actinopterygii,Perciformes,Scombridae,Katsuwonus pelamis,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
5,Actinopterygii,Perciformes,Scombridae,Scomber scombrus,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
6,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis borealijaponica,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
14,Cephalopoda,Oegopsida,Ommastrephidae,Eucleoteuthis luminosa,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
15,Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes bartramii,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
17,Cephalopoda,Myopsida,Loliginidae,Doryteuthis opalescens,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
18,Cephalopoda,Oegopsida,Ommastrephidae,Illex argentinus,epipelagic,continental slope,diel (yes),refuge (no),season (yes),schooling,1
19,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes pacificus,demersal,oceanic,diel (yes),refuge (no),season (yes),schooling,1
20,Cephalopoda,Oegopsida,Onychoteuthidae,Ancistroteuthis lichtensteinii,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
22,Cephalopoda,Oegopsida,Ommastrephidae,Illex coindetii,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
24,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
28,Cephalopoda,Octopoda,Argonautidae,Argonauta argo,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,1
29,Cephalopoda,Octopoda,Argonautidae,Argonauta nodosus,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,1
37,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
48,Actinopterygii,Perciformes,Mugilidae,Mugil cephalus,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
51,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus crocodilus,bathypelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
52,Actinopterygii,Clupeiformes,Clupeidae,Sardinops sagax,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
53,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
55,Actinopterygii,Beloniformes,Scomberesocidae,Cololabis saira,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,1
56,Actinopterygii,Clupeiformes,Engraulidae,Engraulis mordax,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
58,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
70,Actinopterygii,Perciformes,Bramidae,Brama brama,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
73,Actinopterygii,Perciformes,Carangidae,Trachurus japonicus,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
75,Actinopterygii,Perciformes,Sparidae,Boops boops,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
79,Actinopterygii,Perciformes,Scombridae,Scomber japonicus,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
81,Actinopterygii,Clupeiformes,Clupeidae,Sardinella aurita,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
82,Actinopterygii,Perciformes,Carangidae,Trachurus symmetricus,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
87,Actinopterygii,Perciformes,Carangidae,Trachinotus ovatus,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,1
88,Actinopterygii,Atheriniformes,Atherinidae,Atherinopsis californiensis,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,1
89,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,mesopelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
90,Actinopterygii,Clupeiformes,Engraulidae,Engraulis japonicus,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
94,Actinopterygii,Beloniformes,Belonidae,Belone belone,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,1
95,Actinopterygii,Clupeiformes,Clupeidae,Sardina pilchardus,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
96,Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
99,Actinopterygii,Clupeiformes,Clupeidae,Clupea pallasii pallasii,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
101,Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,demersal,continental shelf,diel (no),refuge (no),season (yes),schooling,1
107,Actinopterygii,Gadiformes,Merlucciidae,Merluccius productus,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
108,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys pacificus,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
116,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena hippurus,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,1
117,Actinopterygii,Perciformes,Bramidae,Brama orcini,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
126,Hexanauplia,Calanoida,Calanidae,Calanus finmarchicus,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
127,Hexanauplia,Calanoida,Calanidae,Cosmocalanus darwinii,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
129,Hexanauplia,Cyclopoida,Corycaeidae,Farranula gibbula,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
133,Malacostraca,Amphipoda,Hyperiidae,Themisto gaudichaudii,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
134,Malacostraca,Amphipoda,Oxyccephalidae,Leptocotis tenuirostris,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
135,Malacostraca,Amphipoda,Oxyccephalidae,Streetsia challengeri,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
136,Malacostraca,Amphipoda,Phrosinidae,Anchylomera blossevillei,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
137,Malacostraca,Amphipoda,Phrosinidae,Phrosina semilunata,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
138,Malacostraca,Amphipoda,Platyscelidae,Platyscelus serratulus,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
146,Malacostraca,Decapoda,Sergestidae,Eusergestes similis,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
148,Malacostraca,Euphausiacea,Euphausiidae,Meganyctiphanes norvegica,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
149,Malacostraca,Euphausiacea,Euphausiidae,Nematoscelis megalops,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,1
150,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes australis,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
151,Malacostraca,Euphausiacea,Euphausiidae,Stylocheiron abbreviatum,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,1
156,Actinopterygii,Clupeiformes,Engraulidae,Engraulis capensis,epipelagic,coastal,diel (yes),refuge (no),season (yes),schooling,1
168,Actinopterygii,Perciformes,Gempylidae,Lepidocybium flavobrunneum,mesopelagic,continental slope,diel (yes),refuge (no),season (yes),schooling,1
2,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra pelagica,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
3,Malacostraca,Decapoda,Oplophpridae,Systellaspis debilis,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
7,Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis volatilis,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
8,Cephalopoda,Oegopsida,Ommastrephidae,Hyaloteuthis pelagica,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,2
10,Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis antillarum,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,2
11,Cephalopoda,Oegopsida,Gonatidae,Berryteuthis anonychus,mesopelagic,oceanic,diel (yes),refuge (yes),season (yes),schooling,2
12,Cephalopoda,Oegopsida,Gonatidae,Gonatus onyx,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,2
13,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis borealis,mesopelagic,oceanic,diel (yes),refuge (yes),season (no),schooling,2
16,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis reversa,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,2
31,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis bonnellii,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,2
32,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis heteropsis,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,2
33,Cephalopoda,Oegopsida,Lycoteuthidae,Lycoteuthis lorigera,mesopelagic,oceanic,diel (yes),refuge (yes),season (no),schooling,2
35,Cephalopoda,Oegopsida,Ommastrephidae,Sthenoteuthis oualaniensis,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
40,Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
42,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,2
43,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus alatus,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
44,Actinopterygii,Myctophiformes,Myctophidae,Nannobrachium ritteri,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
46,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus maderensis,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
47,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus warmingii,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
49,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus intricarius,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
59,Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
60,Actinopterygii,Myctophiformes,Myctophidae,Electrona rissoi,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
61,Actinopterygii,Myctophiformes,Myctophidae,Lobianchia gemellarii,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
62,Actinopterygii,Myctophiformes,Myctophidae,Myctophum punctatum,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
64,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus imperatorius,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
65,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx obscura,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,2
66,Actinopterygii,Stomiiformes,Stomiidae,Photonectes margarita,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,2
69,Actinopterygii,Gadiformes,Gadidae,Micromesistius poutassou,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
74,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus gigas,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
76,Actinopterygii,Myctophiformes,Myctophidae,Diaphus theta,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
77,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus townsendi,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,2
78,Actinopterygii,Stomiiformes,Phosichthyidae,Vinciguerria lucetia,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
84,Actinopterygii,Myctophiformes,Myctophidae,Triphoturus mexicanus,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
85,Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus atlanticus,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
92,Actinopterygii,Myctophiformes,Myctophidae,Nannobrachium regale,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
93,Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus cuvieri,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
98,Cephalopoda,Vampyromorpha,Vampyroteuthidae,Vampyroteuthis infernalis,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,2
100,Actinopterygii,Argentiniformes,Bathylagidae,Leuroglossus stilbius,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
121,Actinopterygii,Stomiiformes,Stomiidae,Melanostomias valdiviae,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,2
153,Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus ferox,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
158,Actinopterygii,Myctophiformes,Myctophidae,Diaphus effulgens,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,2
159,Actinopterygii,Myctophiformes,Myctophidae,Diaphus lucidus,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
160,Actinopterygii,Myctophiformes,Myctophidae,Diaphus ostenfeldi,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
161,Actinopterygii,Myctophiformes,Myctophidae,Diaphus perspicillatus,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
162,Actinopterygii,Myctophiformes,Myctophidae,Hygophum hygomii,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
163,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctodes hectoris,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
164,Actinopterygii,Myctophiformes,Myctophidae,Lampadena luminosa,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
165,Actinopterygii,Myctophiformes,Myctophidae,Myctophum asperum,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
166,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus barnardi,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
167,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus evermanni,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,2
170,Actinopterygii,Perciformes,Nomeidae,Cubiceps pauciradiatus ,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,2
174,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus aculeatus,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,2
176,Actinopterygii,Tetraodontiformes,Molidae,Masturus lanceolatus,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,2
179,Cephalopoda,Oegopsida,Thysanoteuthidae,Thysanoteuthis rhombus,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,2
9,Cephalopoda,Octopoda,Octopodidae,Octopus vulgaris,benthic,reef-associated,diel (no),refuge (yes),season (yes),solitary,3
21,Cephalopoda,Octopoda,Octopodidae,Scaeurgus unicirrhus,benthic,continental shelf,diel (yes),refuge (yes),season (yes),solitary,3
26,Cephalopoda,Octopoda,Octopodidae,Pteroctopus tetracirrhus,benthic,continental shelf,diel (yes),refuge (yes),season (yes),solitary,3
38,Cephalopoda,Sepiida,Sepiolidae,Sepietta oweniana,benthic,continental shelf,diel (yes),refuge (yes),season (yes),schooling,3
72,Cephalopoda,Octopoda,Eledonidae,Eledone cirrhosa,benthic,continental shelf,diel (yes),refuge (yes),season (yes),solitary,3
106,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus imperialis,benthic,continental shelf,diel (yes),refuge (yes),season (yes),solitary,3
110,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys sordidus,demersal,continental shelf,diel (yes),refuge (yes),season (yes),solitary,3
114,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma fimbria,demersal,continental shelf,diel (yes),refuge (yes),season (yes),solitary,3
143,Malacostraca,Decapoda,Palinuridae,Palinurus mauritanicus,benthic,continental shelf,diel (no),refuge (yes),season (yes),solitary,3
144,Malacostraca,Decapoda,Scyllaridae,Scyllarus arctus,benthic,reef-associated,diel (yes),refuge (yes),season (yes),solitary,3
30,Cephalopoda,Octopoda,Opisthoteuthidae,Opisthoteuthis californiana,benthic,continental slope,diel (yes),refuge (yes),season (no),solitary,4
140,Malacostraca,Decapoda,Alpheidae,Alpheus glaber,benthic,coastal,diel (yes),refuge (yes),season (no),schooling,4
181,Malacostraca,Decapoda,Oplophoroidae,Janicella spinicauda,bathypelagic,continental slope,diel (yes),refuge (no),season (no),schooling,4
182,Malacostraca,Decapoda,Oplophoroidae,Oplophorus typus,mesopelagic,continental slope,diel (yes),refuge (no),season (no),schooling,4
183,Malacostraca,Decapoda,Pandalidae,Heterocarpus laevigatus,benthic,continental slope,diel (yes),refuge (yes),season (yes),schooling,4
185,Malacostraca,Decapoda,Penaeidae,Funchalia woodwardi,mesopelagic,continental slope,diel (yes),refuge (no),season (no),schooling,4
36,Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis eblanae,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
41,Actinopterygii,Perciformes,Pomacentridae,Chromis punctipinnis,demersal,reef-associated,diel (yes),refuge (yes),season (no),schooling,5
50,Actinopterygii,Perciformes,Ammodytidae,Ammodytes tobianus,demersal,continental shelf,diel (yes),refuge (yes),season (no),schooling,5
54,Actinopterygii,Gadiformes,Gadidae,Microgadus proximus,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
80,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes helvomaculatus,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
83,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes zacentrus,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
102,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes aleutianus,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
109,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes wilsoni,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
112,Actinopterygii,Pleuronectiformes,Pleutonectidae,Microstomus pacificus,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
122,Actinopterygii,Sygnathiformes,Centriscidae,Macroramphosus scolopax,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
132,Malacostraca,Amphipoda,Hyperiidae,Hyperia galba,epipelagic,oceanic,diel (yes),refuge (yes),season (yes),schooling,5
142,Malacostraca,Decapoda,Munididae,Pleuroncodes planipes,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
145,Malacostraca,Decapoda,Sergestidae,Eusergestes arcticus,demersal,continental shelf,diel (yes),refuge (yes),season (yes),schooling,5
155,Actinopterygii,Beryciformes,Berycidae,Beryx splendens,demersal,continental slope,diel (yes),refuge (yes),season (no),schooling,5
39,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,mesopelagic,oceanic,diel (no),refuge (no),season (no),solitary,6
67,Gastropoda,Caenogastropoda,Epitoniodea,Janthina exigua,epipelagic,oceanic,diel (no),refuge (no),season (no),solitary,6
68,Gastropoda,Littorinimorpha,Atlantidae,Atlanta peronii,epipelagic,oceanic,diel (yes),refuge (no),season (no),solitary,6
124,Branchiopoda,Onychopoda,Podonidae,Pseudevadne tergestina,epipelagic,oceanic,diel (no),refuge (no),season (no),schooling,6
125,Cephalopoda,Oegopsida,Ocythoidae,Ocythoe tuberculata,epipelagic,oceanic,diel (no),refuge (no),season (yes),solitary,6
147,Malacostraca,Euphausiacea,Euphausiidae,Euphausia pacifica,epipelagic,oceanic,diel (yes),refuge (no),season (no),schooling,6
169,Actinopterygii,Perciformes,Istiophoridae,Makaira mazara,epipelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,6
177,Actinopterygii,Tetraodontiformes,Molidae,Ranzania laevis,epipelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,6
45,Actinopterygii,Perciformes,Gempylidae,Diplospinus multistriatus,mesopelagic,continental shelf,diel (yes),refuge (no),season (no),solitary,7
128,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus furcatus,epipelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,7
130,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus crusculum,epipelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,7
131,Malacostraca,Amphipoda,Eupronoidae,Parapronoe crustulum,epipelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,7
139,Malacostraca,Amphipoda,Vibiliidae,Vibilia gibbosa,epipelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,7
141,Malacostraca,Decapoda,Benthesicymidae,Gennadas elegans,demersal,continental shelf,diel (yes),refuge (no),season (no),schooling,7
184,Malacostraca,Decapoda,Penaeidae,Funchalia taaningi,mesopelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,7
57,Actinopterygii,Perciformes,Mullidae,Mullus barbatus barbatus,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,8
63,Actinopterygii,Perciformes,Sparidae,Spondyliosoma cantharus,demersal,coastal,diel (no),refuge (yes),season (yes),schooling,8
71,Actinopterygii,Perciformes,Sparidae,Diplodus sargus,demersal,reef-associated,diel (no),refuge (yes),season (yes),schooling,8
86,Actinopterygii,Perciformes,Kyphosidae,Medialuna californiensis,demersal,reef-associated,diel (no),refuge (yes),season (yes),schooling,8
97,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii,benthic,continental shelf,diel (no),refuge (yes),season (yes),schooling,8
103,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes brevispinis,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,8
104,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes diploproa,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,8
105,Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla gurnardus,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,8
111,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes proriger,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,8
118,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster aggregata,demersal,coastal,diel (no),refuge (yes),season (yes),schooling,8
152,Malacostraca,Isopoda,Idoteidae,Idotea metallica,epipelagic,continental shelf,diel (no),refuge (yes),season (yes),schooling,8
175,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis maculata,epipelagic,reef-associated,diel (no),refuge (yes),season (no),schooling,8
91,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus vulgaris,demersal,continental shelf,diel (no),refuge (yes),season (no),solitary,9
113,Actinopterygii,Pleutonectiformes,Pleuronectidae,Glyptocephalus zachirus,demersal,continental shelf,diel (no),refuge (yes),season (yes),solitary,9
115,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys ocellatus,demersal,continental shelf,diel (no),refuge (yes),season (no),solitary,9
119,Actinopterygii,Perciformes,Labridae,Halichoeres nicholsi,demersal,reef-associated,diel (no),refuge (yes),season (no),solitary,9
123,Actinopterygii,Syngnathiformes,Syngnathidae,Entelurus aequoreus,demersal,continental shelf,diel (no),refuge (yes),season (yes),solitary,9
171,Actinopterygii,Perciformes,Priacanthidae,Cookeolus japonicus,demersal,reef-associated,diel (no),refuge (yes),season (yes),solitary,9
173,Actinopterygii,Scorpaeniformes,Dactylopteridae,Dactyloptena orientalis,benthic,reef-associated,diel (no),refuge (yes),season (no),solitary,9
178,Actinopterygii,Tetraodontiformes,Ostraciidae,Ostracion cubicus,demersal,reef-associated,diel (no),refuge (yes),season (no),solitary,9
186,Malacostraca,Decapoda,Scyllaridae,Parribacus antarcticus,benthic,reef-associated,diel (no),refuge (yes),season (no),solitary,9
187,Malacostraca,Stomatopoda,Lysiosquillidae,Lysiosquilla tredecimdentata,benthic,coastal,diel (no),refuge (yes),season (no),solitary,9
188,Malacostraca,Stomatopoda,Odontodacylidae,Odontodactylus scyllarus,benthic,reef-associated,diel (no),refuge (yes),season (no),solitary,9
