,StudyID,CiteYear,OceanBasinQ,LocatLatitude,LocatLongitude,YearEnd,pred_life,lat_cat
41,Jordan1880,1880,NE Pacific,34.345859,-119.723274,1880,juvenile,temperate
46,Monaco1888,1888,Mediterranean,34.061761,19.209595,1888,adult,temperate
42,Joubin1918,1918,NE Atlantic,46.307336,-12.25,1918,adult,temperate
34,Hart1948,1948,NE Pacific,49.117928,-127.546089,1941,juvenile,temperate
35,Hart1948,1948,NE Pacific,47.046499,-124.79124,1941,juvenile,temperate
36,Hart1948,1948,NE Pacific,47.046499,-124.79124,1945,juvenile,temperate
37,Hart1948,1948,NE Pacific,49.117928,-127.546089,1946,juvenile,temperate
38,Hart1948,1948,NE Pacific,47.046499,-124.79124,1946,juvenile,temperate
39,Hart1948,1948,NE Pacific,47.046499,-124.79124,1947,juvenile,temperate
45,McHugh1952,1952,NE Pacific,32.5,-121,1949,juvenile,temperate
40,Iversen1962,1962,NE Pacific,15,-150,1957,juvenile,tropical
11,Clemens&Iselin1963,1963,NE Pacific,38,-124,1961,juvenile,temperate
12,Clemens&Iselin1963,1963,NE Pacific,36.046601,-123.6211254,1961,juvenile,temperate
13,Clemens&Iselin1963,1963,NE Pacific,32.5,-121.835632,1961,juvenile,temperate
14,Clemens&Iselin1963,1963,NE Pacific,33.5,-121.835632,1961,juvenile,temperate
15,Clemens&Iselin1963,1963,NE Pacific,31.5,-119.5,1961,juvenile,temperate
16,Clemens&Iselin1963,1963,NE Pacific,30,-120,1961,juvenile,temperate
17,Clemens&Iselin1963,1963,NE Pacific,26,-115,1961,juvenile,temperate
49,Pinkas1971,1971,NE Pacific,45,-126,1968,mixed,temperate
50,Pinkas1971,1971,NE Pacific,35.28333333,-122,1968,mixed,temperate
52,Pinkas1971,1971,NE Pacific,32,-119.5,1968,mixed,temperate
48,Pinkas1971,1971,NE Pacific,45,-126,1969,mixed,temperate
51,Pinkas1971,1971,NE Pacific,32,-119.5,1969,mixed,temperate
1,Aloncle1973,1973,NE Atlantic,44.632016,-5.5,1971,mixed,temperate
44,Matthews1977,1977,NW Atlantic,38,-56,1964,adult,temperate
4,Bernard1985,1985,NE Pacific,35.358333,-121.9083335,1983,juvenile,temperate
47,OrtizZarate1987,1987,NE Atlantic,46.986108,-5.407589,1968,mixed,temperate
2,Bello1999,1999,Mediterranean,41.096462,17.512247,1992,juvenile,temperate
3,Bello1999,1999,Mediterranean,41.2,17.512247,1994,juvenile,temperate
19,DosSantos&Haimovici2002,2002,SW Atlantic,-30,-47.035828,1998,NA,temperate
62,Watanabe-etal2004,2004,NW Pacific,40,163,2001,juvenile,temperate
61,Watanabe-etal2004,2004,NW Pacific,36,160,2002,juvenile,temperate
53,Pusineri2005,2005,NE Atlantic,45,-17.5,1993,juvenile,temperate
18,Consoli2008,2008,Mediterranean,38.744181,15.059509,2006,mixed,temperate
60,Salman&Karakulak2009,2009,Mediterranean,36.5,31.5,2007,juvenile,temperate
68,Young2010,2010,SW Pacific,-31,160,2006,adult,temperate
69,Young2010,2010,SW Pacific,-30,160,2006,mixed,temperate
24,Goni2011,2011,NE Atlantic,47.8,-10,2004,mixed,temperate
21,Goni2011,2011,Mediterranean,40.158082,5,2005,juvenile,temperate
25,Goni2011,2011,NE Atlantic,48,-13,2005,mixed,temperate
26,Goni2011,2011,NE Atlantic,47.8,-10,2005,mixed,temperate
27,Goni2011,2011,NE Atlantic,46.7,-5.6,2005,mixed,temperate
28,Goni2011,2011,NE Atlantic,44,-2.7,2005,mixed,temperate
22,Goni2011,2011,Mediterranean,41.824403,16.766758,2006,juvenile,temperate
29,Goni2011,2011,NE Atlantic,47.8,-10,2006,mixed,temperate
30,Goni2011,2011,NE Atlantic,46.7,-5.6,2006,mixed,temperate
