"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","stomachs_used","pred_life","lat_cat","pred_life_adjust","province","code","optional"
"Aloncle1973","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile, adult","temperate","mixed","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bello1999","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"35","juvenile","temperate","juvenile","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Bello1999","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"21","juvenile","temperate","juvenile","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Bernard1985","1985.0","N Pacific","NE Pacific","Southern CA",35.358333,-121.9083335,"Aug–Sep",1983,"94","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Oct",1928,"1","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"6","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1930,"9","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1930,"6","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1931,"9","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1931,"25","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1931,"35","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1932,"35","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1932,"54","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Nov",1933,"54","adult","temperate","adult","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A",38,-124,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A-B",36.046601,-123.6211254,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A-B-C",32.5,-121.835632,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","B",33.5,-121.835632,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Coastal - California Upwelling Coastal Province","CCAL",TRUE
