"","StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust"
"1","Aloncle1973","Aloncle1973_1","1971","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","juvenile"
"2","Bello1999","Bello1999_2","1992","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"3","Bello1999","Bello1999_3","1994","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"4","Bernard1985","Bernard1985_4","1983","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"5","Bouxin&Legendre","Bouxin&Legendre_5","1928","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"6","Bouxin&Legendre","Bouxin&Legendre_6","1929","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"7","Bouxin&Legendre","Bouxin&Legendre_7","1930","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"8","Bouxin&Legendre","Bouxin&Legendre_8","1931","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"9","Bouxin&Legendre","Bouxin&Legendre_9","1932","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"10","Bouxin&Legendre","Bouxin&Legendre_10","1933","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"11","Clemens&Iselin1963","Clemens&Iselin1963_11","1961","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"12","Clemens&Iselin1963","Clemens&Iselin1963_12","1961","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"13","Clemens&Iselin1963","Clemens&Iselin1963_13","1961","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"14","Clemens&Iselin1963","Clemens&Iselin1963_14","1961","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"15","Clemens&Iselin1963","Clemens&Iselin1963_15","1961","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"16","Clemens&Iselin1963","Clemens&Iselin1963_16","1961","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"17","Clemens&Iselin1963","Clemens&Iselin1963_17","1961","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"18","Consoli2008","Consoli2008_18","2006","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","mixed"
"19","Glaser2015","Glaser2015_20","2006","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"20","Goni2011","Goni2011_21","2005","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"21","Goni2011","Goni2011_22","2006","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"22","Goni2011","Goni2011_23","2008","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"23","Goni2011","Goni2011_24","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"24","Goni2011","Goni2011_25","2004","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"25","Goni2011","Goni2011_26","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"26","Goni2011","Goni2011_27","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"27","Goni2011","Goni2011_28","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"28","Goni2011","Goni2011_29","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"29","Goni2011","Goni2011_30","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"30","Goni2011","Goni2011_31","2005","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed"
"31","Goni2011","Goni2011_32","2006","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed"
"32","Goni2011","Goni2011_33","2007","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed"
"33","Hart1948","Hart1948_34","1941","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"34","Hart1948","Hart1948_35","1941","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"35","Hart1948","Hart1948_36","1945","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"36","Hart1948","Hart1948_37","1946","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"37","Hart1948","Hart1948_38","1946","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"38","Hart1948","Hart1948_39","1947","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"39","Hart1948","Hart1948_40","1947","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"40","Iversen1962","Iversen1962_41","1957","N Pacific","NE Pacific","Trades - N. Pacific Tropical Gyre Province","NPTG","tropical","juvenile"
"41","Jordan1880","Jordan1880_42","1880","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
