"StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","stomachs_used","pred_life","pred_life_est","pred_age","pred_age_est","pred_flmean","pred_flmean_se","pred_flmean_est","pred_flmin","pred_flmax","pred_flest","est_note","est_ref","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","prey_age_reported_2","prey_age_use","Include","FO","pFOuse","N","pN","Total Mass (g)","pM","maxl_use","maxl_type","gape_lmax","gape_height_limit","b_shape_r","eye_body_r","standard_total","maxtl_use","measure","l_adult","l_juve","l_larva","larva_adult","juve_adult","larva_adult_u","juve_adult_u","larva_adult_use","juve_adult_use","prey_length","prey_frac","prey_proba","life_stage"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","none",NA,"0","Yes",0,10,0,0,0,0,120,"TL",7.75767,6.39634,4.70501050417852,0.0648165101356274,0.796390424852737,120,"l_max",107,49.475,14.6,13.6448598130841,46.2383177570093,7.06602519861735,30.6191588785047,13.6448598130841,46.2383177570093,12,11.214953271028,"larva","larva"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Euphausiacea","Euphausiidae","Nematoscelis megalops","adult",NA,"3","Yes",0,15.5,0,0,0,0,40,"TL",7.75767,6.39634,NA,NA,NA,40,"l_max",2.6,NA,NA,NA,NA,13.2277038321486,48.8211077844311,13.2277038321486,48.8211077844311,4,100,"adult","adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","adult",NA,"3","Yes",15,0.1,173,0,0,0,0,"NO",7.75767,6.39634,3.76001132176856,0.0373931413000973,0.839270023685461,0,"l_max",16,2.1,2.8,17.5,13.125,13.75,13.125,17.5,13.125,7.75767,48.4854375,"adult","adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","none",NA,"0","Yes",0,30,0,0,0,0,0,"NO",7.75767,6.39634,4.17374262668894,0.0748579500793388,0.864082841873616,0,"l_max",20,6.5,NA,NA,32.5,9.15408758669816,32.5,9.15408758669816,32.5,7.75767,38.78835,"adult","adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,6.23705788599511,0.0221404596661903,0.800545022150694,0,"l_max",27,2.8,NA,NA,10.3703703703704,13.2277038321486,10.3703703703704,13.2277038321486,10.3703703703704,7.75767,28.7321111111111,"adult","adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,10.7012438507586,0.0407191255136835,0.929965209781006,0,"l_max",29.0333441681739,18.6028464484966,5.41955757805913,18.6666666666667,64.074074074074,10.9322069467605,36.0741393203333,18.6666666666667,64.074074074074,7.75767,26.7198637368956,"juvenile","juvenile"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,13.1973470810214,0.0307084096156233,0.916094246251108,0,"l_max",32.7477223252604,NA,1.52822704184548,4.66666666666665,NA,10.9322069467605,36.0741393203333,4.66666666666665,36.0741393203333,7.75767,23.6891895043828,"juvenile","juvenile"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","none",NA,"0","Yes",0,8.25,0,0,0,0,0,"NO",7.75767,6.39634,9.11753676406396,0.0420292661291814,0.889706862308886,0,"l_max",56.1982852085063,12.87,3.3,5.87206529123865,22.9010546358307,10.9322069467605,36.0741393203333,5.87206529123865,22.9010546358307,7.75767,13.8041044690555,"juvenile","juvenile"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","none",NA,"0","Yes",0,16,0,0,0,0,0,"NO",7.75767,6.39634,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes norvegica","adult",NA,"3","Yes",0,34.25,0,0,0,0,0,"NO",7.75767,6.39634,10.4618702268278,0.0467019428692065,0.826092344196988,0,"l_max",4,1.75,NA,NA,43.75,13.2277038321486,48.8211077844311,13.2277038321486,43.75,4,100,"adult","adult"
