"prey_sp","prey_age_reported_1","maxTL","meanGAPE","l_adult","meanLENGTH","meanFRAC","larva_adult_use","juve_adult_use","life_stage","maxFO"
"Abralia redfieldi","none",0,9.15677,6.83428234797388,6.83428234797388,100,21.8839285714285,80.5555555555556,"adult",5
"Abraliopsis affinis","none",0,7.97988,9.41080912162716,7.97988,84.7948342896604,21.8839285714285,59.0277777777778,"adult",1.16279069767442
"Abraliopsis felis","none",0,7.42580896666667,17.4557079803295,7.42580896666667,42.5408638540165,6.625,37.5,"adult",36.4
"Abraliopsis gilchristi","none",0,9.61765,12.0727221190135,9.61765,79.6643035861235,21.8839285714285,59.0277777777778,"adult",0.7
"Abraliopsis morisii","none",0,9.61765,10.0189824057196,9.61765,95.9942797634769,37.142857142857,59.0277777777778,"adult",4.9
"Acanthephyra pelagica","adult",0,7.75767,27,7.75767,28.7321111111111,13.2277038321486,10.3703703703704,"adult",38.8888888888889
"Alepisaurus ferox","none",0,9.61765,215,9.61765,4.47332558139535,10.4054536978785,40.2230160108363,"larva",2.7
"Alloteuthis subulata","none",0,8.639926,28.9632962758189,8.639926,29.8306032494422,14.2857142857143,37.1428571428572,"juvenile",1
"Alpheus glaber","none",0,7.75767,0.43,0.43,100,13.2277038321486,28.0637965930401,"adult",11.1111111111111
"Anarrhichthys ocellatus","none",0,7.38732,240,7.38732,3.07805,3.41666666666667,20.8333333333333,"larva",33.33333333
"Anchylomera blossevillei","none",0,7.893465,1.1,1.1,100,13.2277038321486,35.9384836382273,"adult",4.2
"Ancistrocheirus lesueurii","none",0,9.2446664,98.7486856111936,9.2446664,9.36181210188389,6.09756097560976,24.8780487804878,"juvenile",7
"Ancistroteuthis lichtensteinii","none",22.8552801943751,8.219373,53.5670629555666,11.9937755485938,22.3902056353967,5.33333333333334,66.6666666666667,"juvenile",33
"Anoplopoma fimbria","none",0,7.38732,120,7.38732,6.1561,3.4320442688711,44,"juvenile",33.33333333
"Anotopterus nikparini","none",0,7.97988,146,7.97988,5.46567123287671,5.20833333333335,29.4520547945205,"juvenile",1
"Anotopterus pharao","none",0,7.53546,103.466278573886,7.53546,7.28301056524312,5.20833333333335,79.0625000000003,"juvenile",11.1111111111111
"Antigonia capros","none",0,10.0703,30.5,10.0703,33.0173770491803,4.87857020853057,39.344262295082,"juvenile",3
"Antimora rostrata","none",0,9.61765,80,9.61765,12.0220625,4.54964248169341,51.25,"juvenile",0.7
"Arctozenus risso","none",22.2684511811771,7.75767,32.7477223252604,22.2684511811771,68,4.66666666666665,36.0741393203333,"adult",52
"Argonauta argo","none",0,8.75288275,29.9960625970498,8.75288275,29.1801056277995,9.02460995505148,21.3333333333333,"adult",13.11
"Argonauta nodosus","none",0,9.18146,31.0242350001808,9.18146,29.5944767048938,9.02460995505148,16.4137931034483,"adult",5
"Argonauta nouryi","none",0,7.38732,17.4,7.38732,42.4558620689655,9.02460995505148,11.4942528735632,"adult",0.5
"Argyropelecus aculeatus","none",0,9.61765,9.86711726325134,9.61765,97.4717310375904,24.7947748227462,25.3012048192771,"adult",0.5
"Argyropelecus olfersii","none",8.95052974699482,7.75767,11,7.95647995783247,72.3316359802952,24.7947748227462,42.8309830230011,"adult",100
"Arnoglossus imperialis","none",0,7.75767,25,7.75767,31.03068,15.1837130515041,24,"adult",24.0740740740741
"Ateleopus natalensis","none",0,9.61765,60,9.61765,16.0294166666667,9.15408758669816,43,"juvenile",0.5
"Atherinopsis californiensis","none",9.46,7.97988,45,9.46,21.0222222222222,5.25055219190287,35.5555555555556,"juvenile",0
"Atlanta peronii","none",0,7.75767,1.1,1.1,100,NA,NA,"adult",1.85185185185185
"Axius stirhynchus","none",0,7.75767,0.21,0.21,100,13.2277038321486,28.0637965930401,"adult",4
"Balistes punctatus","none",0,9.61765,60,9.61765,16.0294166666667,1.58621304194619,19.9694884660958,"juvenile",1.1
"Barathronus parfaiti","none",0,7.75767,10,7.75767,77.5767,17.3267326732673,42.1173584659917,"adult",1.85185185185185
"Bathophilus flemingi","none",0,7.38732,16,7.38732,46.17075,17.1075038453087,45.5147864184009,"adult",0.5
"Bathyagonus pentacanthus","none",0,7.97988,23,7.97988,34.6951304347826,6.52173913043478,10.8695652173913,"adult",0
"Bathylagoides wesethi","none",0,7.38732,15.7127376077956,7.38732,47.014849890543,15.9106583614027,42.1173584659917,"adult",0
"Belone belone","none",0,6.96010818181818,103.5,6.96010818181818,6.72474220465525,2.15458937198068,27.536231884058,"juvenile",8.7
"Benthosema glaciale","none",0,6.856485,13.392827940037,6.856485,51.1951996299675,12.3300970873786,46.1165048543688,"adult",10.3
"Berryteuthis anonychus","none",0,7.38732,24.715869386552,7.38732,29.8889749110726,5.73333333333331,66.6666666666665,"juvenile",38.5
"Beryx splendens","none",0,9.61765,70,9.61765,13.7395,2.72307244510636,47.4285714285714,"juvenile",1.6
"Blennius ocellaris","none",0,7.75767,20,7.75767,38.78835,4.87857020853057,48.65,"juvenile",5.55555555555556
"Boops boops","none",0,7.75767,40,7.75767,19.394175,3.7012951746064,35.75,"juvenile",11.1111111111111
