prey_sp,prey_age_reported_1,maxTL,meanGAPE,l_adult,meanLENGTH,meanFRAC,larva_adult_use,juve_adult_use,life_stage,maxFO,maxN,maxM
Abralia redfieldi,none,0,9.15677,6.834282348,6.834282348,100,21.88392857,80.55555556,adult,5,0,0
Abraliopsis affinis,none,0,7.97988,9.410809122,7.97988,84.79483429,21.88392857,59.02777778,adult,1.162790698,0.076511094,0.006092434
Abraliopsis felis,none,0,7.425808967,17.45570798,7.425808967,42.54086385,6.625,37.5,adult,36.4,11.3,2.132352045
Abraliopsis gilchristi,none,0,9.61765,12.07272212,9.61765,79.66430359,21.88392857,59.02777778,adult,0.7,0.2,0.1
Abraliopsis morisii,none,0,9.61765,10.01898241,9.61765,95.99427976,37.14285714,59.02777778,adult,4.9,3.4,3.4
Acanthephyra pelagica,adult,0,7.75767,27,7.75767,28.73211111,13.22770383,10.37037037,adult,38.88888889,0,0
Alepisaurus ferox,none,0,9.61765,215,9.61765,4.473325581,10.4054537,40.22301601,larva,2.7,0.3,1
Alloteuthis subulata,none,0,8.639926,28.96329628,8.639926,29.83060325,14.28571429,37.14285714,juvenile,1,0.43,0.08
Alpheus glaber,none,0,7.75767,0.43,0.43,100,13.22770383,28.06379659,adult,11.11111111,0,0
Anarrhichthys ocellatus,none,0,7.38732,240,7.38732,3.07805,3.416666667,20.83333333,larva,33.33333333,0,0
Anchylomera blossevillei,none,0,7.893465,1.1,1.1,100,13.22770383,35.93848364,adult,4.2,1.65,3.3
Ancistrocheirus lesueurii,none,0,9.2446664,98.74868561,9.2446664,9.361812102,6.097560976,24.87804878,juvenile,7,0.4,0.5
Ancistroteuthis lichtensteinii,none,22.85528019,8.219373,53.56706296,11.99377555,22.39020564,5.333333333,66.66666667,juvenile,33,4.9,0.71
Anoplopoma fimbria,none,0,7.38732,120,7.38732,6.1561,3.432044269,44,juvenile,33.33333333,0,0
Anotopterus nikparini,none,0,7.97988,146,7.97988,5.465671233,5.208333333,29.45205479,juvenile,1,0,0
Anotopterus pharao,none,0,7.53546,103.4662786,7.53546,7.283010565,5.208333333,79.0625,juvenile,11.11111111,0,0
Antigonia capros,none,0,10.0703,30.5,10.0703,33.01737705,4.878570209,39.3442623,juvenile,3,0,0
Antimora rostrata,none,0,9.61765,80,9.61765,12.0220625,4.549642482,51.25,juvenile,0.7,0,0.5
Arctozenus risso,none,22.26845118,7.75767,32.74772233,22.26845118,68,4.666666667,36.07413932,adult,52,4,0
Arctozenus risso,none,0,7.300905,32.74772233,7.300905,22.29439021,4.666666667,36.07413932,juvenile,38.88888889,0,0.5
Argonauta argo,none,0,8.75288275,29.9960626,8.75288275,29.18010563,9.024609955,21.33333333,adult,13.11,2.37,1.6
Argonauta nodosus,none,0,9.18146,31.024235,9.18146,29.5944767,9.024609955,16.4137931,adult,5,0,0.1
Argonauta nouryi,none,0,7.38732,17.4,7.38732,42.45586207,9.024609955,11.49425287,adult,0.5,0.1,0
Argyropelecus aculeatus,none,0,9.61765,9.867117263,9.61765,97.47173104,24.79477482,25.30120482,adult,0.5,0,0
Argyropelecus olfersii,none,8.950529747,7.75767,11,7.956479958,72.33163598,24.79477482,42.83098302,adult,100,0,0
Arnoglossus imperialis,none,0,7.75767,25,7.75767,31.03068,15.18371305,24,adult,24.07407407,0,0
Ateleopus natalensis,none,0,9.61765,60,9.61765,16.02941667,9.154087587,43,juvenile,0.5,0.3,0.5
Atherinopsis californiensis,none,9.46,7.97988,45,9.46,21.02222222,5.250552192,35.55555556,juvenile,0,0,0
Atlanta peronii,none,0,7.75767,1.1,1.1,100,NA,NA,adult,1.851851852,0,0
Axius stirhynchus,none,0,7.75767,0.21,0.21,100,13.22770383,28.06379659,adult,4,0,0
Balistes punctatus,none,0,9.61765,60,9.61765,16.02941667,1.586213042,19.96948847,juvenile,1.1,0.2,0.2
Barathronus parfaiti,none,0,7.75767,10,7.75767,77.5767,17.32673267,42.11735847,adult,1.851851852,0,0
Bathophilus flemingi,none,0,7.38732,16,7.38732,46.17075,17.10750385,45.51478642,adult,0.5,0.1,0
Bathyagonus pentacanthus,none,0,7.97988,23,7.97988,34.69513043,6.52173913,10.86956522,adult,0,0,0
Bathylagoides wesethi,none,0,7.38732,15.71273761,7.38732,47.01484989,15.91065836,42.11735847,adult,0,0,0
Belone belone,none,0,6.960108182,103.5,6.960108182,6.724742205,2.154589372,27.53623188,juvenile,8.7,0,7.1
Benthosema glaciale,none,0,6.856485,13.39282794,6.856485,51.19519963,12.33009709,46.11650485,adult,10.3,0,0.7
Benthosema glaciale,none,3.250686393,7.75767,13.39282794,3.250686393,24.27184466,12.33009709,46.11650485,juvenile,2,0.1,0
Berryteuthis anonychus,none,0,7.38732,24.71586939,7.38732,29.88897491,5.733333333,66.66666667,juvenile,38.5,9,0
Beryx splendens,none,0,9.61765,70,9.61765,13.7395,2.723072445,47.42857143,juvenile,1.6,0.2,0.4
Blennius ocellaris,none,0,7.75767,20,7.75767,38.78835,4.878570209,48.65,juvenile,5.555555556,0,0
Boops boops,none,0,7.75767,40,7.75767,19.394175,3.701295175,35.75,juvenile,11.11111111,0,0
Brachioteuthis riisei,none,0,7.75767,26.34107216,7.75767,29.45085133,18.52941176,38.82352941,juvenile,29.62962963,0,0
Brachyscelus crusculum,adult,0,7.75767,0.21,0.21,100,13.22770383,35.93848364,adult,92.59259259,0,0
Brachyscelus crusculum,none,0,8.32728476,0.21,0.21,100,13.22770383,35.93848364,adult,14.5,6.2,2.2
Brachyscelus macrocephalus,none,0,7.38732,0.5,0.5,100,13.22770383,35.93848364,adult,0,0,0
Brama brama,none,0,7.38732,100,7.38732,7.38732,1.32037692,31.53626374,juvenile,0,0,0
Brama orcini,none,0,8.6712,42,8.6712,20.64571429,1.852653113,31.53626374,juvenile,3,0,0
Bregmaceros mcclellandi,none,0,9.61765,10.533531,9.61765,91.30509037,4.549642482,34.49136289,adult,2.1,0.3,0.2
