"StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust","Abraliopsis affinis","Abraliopsis felis","Abraliopsis gilchristi","Abraliopsis morisii","Alepisaurus ferox","Alloteuthis subulata","Anchylomera blossevillei","Ancistrocheirus lesueurii","Ancistroteuthis lichtensteinii","Arctozenus risso","Argonauta argo","Argonauta nouryi","Ateleopus natalensis","Balistes punctatus","Bathophilus flemingi","Benthosema glaciale","Berryteuthis anonychus","Beryx splendens","Brachyscelus crusculum","Brama orcini","Bregmaceros mcclellandi","Canthidermis maculata","Capros aper","Ceratias tentaculatus","Ceratoscopelus townsendi","Ceratoscopelus warmingii","Chiasmodon niger","Chiroteuthis veranii","Cololabis saira","Cookeolus japonicus","Coryphaena hippurus","Cranchia scabra","Cubiceps capensis","Cubiceps pauciradiatus","Cymatogaster aggregata","Cyphocaris faurei","Dactyloptena orientalis","Decapterus macarellus","Diacria trispinosa","Diaphus effulgens","Diaphus lucidus","Diaphus perspicillatus","Diaphus theta","Diretmus argenteus","Doryteuthis opalescens","Dosidicus gigas","Echinosquilla guerinii","Electrona rissoi","Eledone cirrhosa","Engraulis capensis","Engraulis encrasicolus","Engraulis japonicus","Engraulis mordax","Eucleoteuthis luminosa","Euphausia pacifica","Eusergestes similis","Funchalia taaningi","Funchalia woodwardi","Gempylus serpens","Gonatopsis borealis","Gonatus berryi","Gonatus steenstrupi","Heterocarpus laevigatus","Heteroteuthis dispar","Histioteuthis bonnellii","Histioteuthis heteropsis","Histioteuthis reversa","Illex coindetii","Janicella spinicauda","Japetella diaphana","Katsuwonus pelamis","Lactoria diaphana","Lampadena luminosa","Lampanyctodes hectoris","Leptocotis tenuirostris","Lestidiops similis","Lestrolepis intermedia","Leuroglossus stilbius","Lobianchia gemellarii","Lycoteuthis lorigera","Lysiosquilla tredecimdentata","Magnisudis atlantica","Makaira mazara","Mastigoteuthis dentata","Masturus lanceolatus","Maurolicus imperatorius","Maurolicus muelleri","Medialuna californiensis","Meganyctiphanes norvegica","Melamphaes lugubris","Merluccius productus","Microgadus proximus","Micromesistius poutassou","Myctophum asperum","Nannobrachium ritteri","Nansenia macrolepis","Natosquilla investigatoris","Nematoscelis megalops","Neoanchisquilla tuberculata","Neognathophausia gigas","Octopoteuthis rugosa","Octopoteuthis sicula","Octopus bimaculatus","Ocythoe tuberculata","Odontodactylus hansenii","Odontodactylus scyllarus","Ommastrephes bartramii","Omosudis lowii","Onychoteuthis banksii","Onychoteuthis borealijaponica","Onykia robusta","Opisthoteuthis californiana","Oplophorus typus","Ornithoteuthis volatilis","Ostracion cubicus","Paralepis coregonoides","Paralepis speciosa","Parapronoe crustulum","Parribacus antarcticus","Peprilus simillimus","Phrosina semilunata","Platyscelus ovoides","Platyscelus serratulus","Pleuroncodes planipes","Primno macropa","Protomyctophum crockeri","Pteroctopus tetracirrhus","Pterycombus petersii","Pterygioteuthis giardi","Pyroteuthis margaritifera","Ranzania laevis","Rexea prometheoides","Salpa maxima","Sardina pilchardus","Sardinella aurita","Sardinops sagax","Scaeurgus unicirrhus","Scomber japonicus","Scomber scombrus","Scomberesox saurus","Scopelarchus analis","Scopelogadus mizolepis bispinosus","Spirula spirula","Stenobrachius leucopsarus","Sternoptyx diaphana","Sthenoteuthis oualaniensis","Stigmatoteuthis dofleini","Stigmatoteuthis hoylei","Streetsia challengeri","Sudis hyalina","Symbolophorus barnardi","Taningia danae","Tarletonbeania crenularis","Tetragonurus cuvieri","Teuthowenia megalops","Themisto gaudichaudii","Thyrsitoides marleyi","Todarodes pacificus","Todarodes sagittatus","Trachurus japonicus","Trachurus symmetricus","Trachurus trachurus","Tremoctopus gracilis","Tremoctopus violaceus","Triphoturus mexicanus","Vampyroteuthis infernalis","Vibilia gibbosa","Vinciguerria lucetia","Walvisteuthis rancureli"
"Bello1999","Bello1999_2",1992,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0
"Bello1999","Bello1999_3",1994,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,0
"Bernard1985","Bernard1985_4",1983,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.938768479977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Consoli2008","Consoli2008_22",2006,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","mixed",0,0,0,0,0,0.43,1.65,0,0.3,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0.86,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.29,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.38,17.1,0,0,0,2.51,0.01,0.06,0,0.49,0,0,0,0,0,0,0,0,5.8,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0
"Glaser2015","Glaser2015_24",2006,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iversen1962","Iversen1962_45",1957,"N Pacific","NE Pacific","Trades - N. Pacific Tropical Gyre Province","NPTG","tropical","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190077932,0,0,0,0,0,0,0.0190077932,0,3.953620985,0,0.0190077932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03801558639,0,0,0,0,0,0,0,0,0,0,0,0.8933662802,0,0,0,0,0,0,0,0,0,0,0,0.1710701388,0.0190077932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05702337959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05702337959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madigan2015","Madigan2015_48",2010,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0.0765110941086457,1.45371078806427,0,0,0,0,0,0,0,0,0.994644223412395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53557765876052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04437643458301,0.0765110941086457,0,0,0,0,0,0,0.459066564651875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765110941086457,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45371078806427,1.8362662586075,0.0765110941086457,0,0,0,0,0,1.30068859984698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153022188217291,0,0,0,0,0,0,0,0,0,0,0,3.90206579954093,0,0.306044376434583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6954858454476,0,0,0,0.459066564651875,0,0,0,0
"OrtizZarate1987","OrtizZarate1987_52",1968,"N Atlantic","NE Atlantic","Coastal - NE Atlantic Shelves Province","NECS","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,0,0,0,0,0,0,0
"Pinkas1971","Pinkas1971_53",1968,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,1.8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.8,0,0,0,0,0,0,0,1.5,0,43.1,1.4,0,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,1.8,0,0,0,0,0,0.1,0.1,0.3,0,0,0.1,0,0,0,0,0.1,0,1.5,1.7,0.1,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinkas1971","Pinkas1971_54",1968,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.7,0,0,0,0,0,0,0,40.4,0,0.2,52.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
