"Abraliopsis_felis","Acanthephyra_pelagica","Alpheus_glaber","Anarrhichthys_ocellatus","Anchylomera_blossevillei","Ancistrocheirus_lesueurii","Ancistroteuthis_lichtensteinii","Anoplopoma_fimbria","Anotopterus_pharao","Antigonia_capros","Arctozenus_risso","Argonauta_argo","Argyropelecus_olfersii","Arnoglossus_imperialis","Axius_stirhynchus","Belone_belone","Benthosema_glaciale","Berryteuthis_anonychus","Blennius_ocellaris","Boops_boops","Brachioteuthis_riisei","Brachyscelus_crusculum","Brama_orcini","Calanus_finmarchicus","Capros_aper","Carinaria_lamarckii","Ceratoscopelus_maderensis","Ceratoscopelus_townsendi","Ceratoscopelus_warmingii","Chelophyes_appendiculata","Chiroteuthis_veranii","Chlorophthalmus_agassizi","Chtenopteryx_sicula","Clio_pyramidata","Cololabis_saira","Cubiceps_gracilis","Diaphus_luetkeni","Diaphus_theta","Diplodus_sargus","Diplospinus_multistriatus","Doryteuthis_opalescens","Electrona_risso","Eledone_cirrhosa","Engraulis_encrasicolus","Engraulis_japonicus","Engraulis_mordax","Entelurus_aequoreus","Euphausia_pacifica","Eusergestes_arcticus","Eusergestes_similis","Eutrigla_gurnardus","Gaidropsarus_vulgaris","Galiteuthis_armata","Gempylus_serpens","Gennadas_elegans","Gonatopsis_borealis","Gonatus_steenstrupi","Helicocranchia_pfefferi","Helicolenus_dactylopterus","Heteroteuthis_dispar","Histioteuthis_bonnellii","Histioteuthis_reversa","Hyperia_galba","Idotea_metallica","Illex_coindetii","Janthina_exigua","Lampanyctus_alatus","Lampanyctus_crocodilus","Lampanyctus_intricarius","Leptocotis_tenuirostris","Lestidiops_ringens","Lestidiops_sphyrenoides","Lobianchia_gemellarii","Macroparalepis_affinis","Macroramphosus_scolopax","Magnisudis_atlantica","Mastigoteuthis_dentata","Maurolicus_imperatorius","Maurolicus_muelleri","Meganyctiphanes_norvegica","Melamphaes_lugubris","Merluccius_productus","Microgadus_proximus","Micromesistius_poutassou","Myctophum_punctatum","Nealotus_tripes","Nematoscelis_megalops","Neognathophausia_ingens","Nesiarchus_nasutus","Notoscopelus_kroyeri","Octopoteuthis_sicula","Octopus_bimaculatus","Octopus_vulgaris","Ocythoe_tuberculata","Ommastrephes_bartramii","Onychoteuthis_banksii","Onychoteuthis_borealijaponica","Onykia_robusta","Palinurus_mauritanicus","Paralepis_coregonoides","Parapasiphae_sulcatifrons","Peristedion_gracile","Phrosina_semilunata","Platyscelus_ovoides","Pleuroncodes_planipes","Pleuronichthys_decurrens","Polybius_henslowii","Primno_macropa","Protomyctophum_crockeri","Psenes_pellucidus","Pteroctopus_tetracirrhus","Robustosergia_robusta","Sardina_pilchardus","Sardinops_sagax","Scaeurgus_unicirrhus","Scomber_japonicus","Scomber_scombrus","Scomberesox_saurus","Scopelogadus_bispinosus","Scyllarus_arctus","Selene_setapinnis","Sepietta_oweniana","Soestia_zonaria","Stenobrachius_leucopsarus","Sternoptyx_diaphana","Sthenoteuthis_oualaniensis","Streetsia_challengeri","Stylocheiron_abbreviatum","Systellaspis_debilis","Tarletonbeania_crenularis","Tetragonurus_atlanticus","Teuthowenia_megalops","Thaleichthys_pacificus","Themisto_gaudichaudii","Todarodes_sagittatus","Trachurus_japonicus","Trachurus_symmetricus","Trachurus_trachurus","Tremoctopus_violaceus","Triphoturus_mexicanus","Vinciguerria_lucetia"
0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,30,0,0,0,16,34.25,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,33.3333333333333,0,0,0,33.3333333333333,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0,0,0,0,50,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,16.6666666666667,0,0,66.6666666666667,0,0,0,33.3333333333333,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,16.6666666666667,0,0,0,0,33.3333333333333,0,0,0,0,0,0,16.6666666666667,0,0,33.3333333333333,0,0,33.3333333333333,0,0,0
0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,33.3333333333333,11.1111111111111,0,0,0,0,0,11.1111111111111,0,33.3333333333333,0,0,0,0,0,0,0,0,11.1111111111111,0,11.1111111111111,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,11.1111111111111,0,22.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5555555555556,0,0,0,0,0,0,0,33.3333333333333,11.1111111111111,0,0,0,0,0,0,0,55.5555555555556,0,0,0,66.6666666666667,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222,0,11.1111111111111,0,0,0,0,44.4444444444444,0,0,0,0,0,0,0,0,0,44.4444444444444,0,0,11.1111111111111,0,0,0
0,0,11.1111111111111,0,0,0,0,0,11.1111111111111,0,0,0,28,24,4,0,0,0,0,0,28,80,0,0,0,32,8,0,0,16,16,0,12,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,52,0,4,8,28,0,4,0,0,4,16,48,8,28,0,0,0,4,0,16,8,0,0,0,4,0,0,0,0,0,64,0,0,0,0,0,16,0,60,0,0,4,4,0,12,4,0,48,0,0,8,32,4,0,28,0,0,0,24,0,0,0,0,0,0,0,0,0,0,40,0,16,0,0,0,0,4,0,40,4,8,0,8,8,0,0,32,0,0,20,0,0,0
0,5.71428571428571,2.85714285714286,0,0,0,0,0,0,0,17.1428571428571,0,8.57142857142857,14.2857142857143,0,2.85714285714286,0,0,2.85714285714286,8.57142857142857,17.1428571428571,71.4285714285714,0,0,14.2857142857143,34.2857142857143,20,0,0,5.71428571428571,17.1428571428571,2.85714285714286,11.4285714285714,0,0,0,2.85714285714286,0,2.85714285714286,0,0,5.71428571428571,0,14.2857142857143,0,0,2.85714285714286,0,42.8571428571429,0,0,2.85714285714286,54.2857142857143,0,0,0,0,5.71428571428571,14.2857142857143,28.5714285714286,0,8.57142857142857,5.71428571428571,2.85714285714286,0,5.71428571428571,0,48.5714285714286,25.7142857142857,0,0,8.57142857142857,0,0,0,0,0,0,85.7142857142857,5.71428571428571,0,0,0,0,37.1428571428571,0,80,0,0,2.85714285714286,11.4285714285714,0,0,0,0,80,0,0,5.71428571428571,65.7142857142857,0,0,62.8571428571429,2.85714285714286,0,0,51.4285714285714,2.85714285714286,0,0,0,2.85714285714286,0,0,0,0,0,40,0,2.85714285714286,0,2.85714285714286,8.57142857142857,0,31.4285714285714,0,8.57142857142857,5.71428571428571,0,0,14.2857142857143,2.85714285714286,0,0,37.037037037037,0,0,35.1851851851852,0,0,0
0,0,1.85185185185185,0,0,0,0,0,5.55555555555556,0,38.8888888888889,0,12.962962962963,24.0740740740741,0,0,0,0,5.55555555555556,0,29.6296296296296,92.5925925925926,0,3.7037037037037,11.1111111111111,33.3333333333333,29.6296296296296,0,0,7.40740740740741,7.40740740740741,0,33.3333333333333,1.85185185185185,0,0,0,0,0,0,0,1.85185185185185,1.85185185185185,25.9259259259259,0,0,5.55555555555556,0,3.7037037037037,0,0,3.7037037037037,29.6296296296296,0,0,0,0,7.40740740740741,9.25925925925926,14.8148148148148,0,25.9259259259259,0,3.7037037037037,0,1.85185185185185,5.55555555555556,40.7407407407407,37.037037037037,0,0,31.4814814814815,0,0,0,0,0,0,72.2222222222222,1.85185185185185,0,0,0,0,68.5185185185185,0,70.3703703703704,0,0,0,9.25925925925926,0,3.7037037037037,0,0,83.3333333333333,0,0,5.55555555555556,81.4814814814815,3.7037037037037,0,59.2592592592593,9.25925925925926,0,0,1.85185185185185,0,0,0,0,0,0,0,0,0,0,64.8148148148148,0,1.85185185185185,0,0,0,0,31.4814814814815,0,25.9259259259259,16.6666666666667,0,0,9.25925925925926,1.85185185185185,0,0,66.6666666666667,0,0,42.5925925925926,0,0,0
