"prey_class","prey_order","prey_family","prey_sp","life_stage","l_type","measure","length","l_type_use","b_shape_r","eye_body_r","standard_total","length_tl"
"Hydrozoa","Siphonophorae","Diphyidae","Chelophyes appendiculata","adult",NA,"l_min",NA,NA,4.10585429301604,0,1,NA
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","adult","CL","l_min",2.8,"TL",6.23705788599511,0.0221404596661903,0.800545022150694,2.8
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","juvenile",NA,"l_min",NA,NA,6.23705788599511,0.0221404596661903,0.800545022150694,NA
"Malacostraca","Decapoda","Munididae","Pleuroncodes planipes","larva","CL","l_min",0.26,"TL",2.74890108810733,0.076695823464348,0.881384669985547,0.26
"Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","adult","CL","l_min",1.054,"TL",8.42589990803702,0.0253097464428363,0.859183753943344,1.054
"Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","juvenile",NA,"l_min",NA,NA,8.42589990803702,0.0253097464428363,0.859183753943344,NA
"Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","larva","CL","l_min",0.319,"TL",8.42589990803702,0.0253097464428363,0.859183753943344,0.319
"Malacostraca","Decapoda","Polybiidae","Polybius henslowii","adult","CL","l_min",3.78,"TL",NA,NA,NA,3.78
"Malacostraca","Decapoda","Polybiidae","Polybius henslowii","juvenile",NA,"l_min",NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","adult","FL","l_min",40,"TL",3.51737223401035,0.039496938235589,0.909395083791833,40
"Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","juvenile","FL","l_min",2.7,"TL",3.51737223401035,0.039496938235589,0.909395083791833,2.7
"Actinopterygii","Perciformes","Scombridae","Scomber scombrus","adult","FL","l_min",28.7,"TL",5.5988379343569,0.0405641994153137,0.87977308096772,28.7
"Actinopterygii","Perciformes","Scombridae","Scomber scombrus","juvenile","SL","l_min",4.2,"SL",5.5988379343569,0.0405641994153137,0.87977308096772,4.77395829772394
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","larva","SL","l_min",0.37,"SL",5.51641012123528,0.0235684456096152,0.780066691479545,0.474318419234418
"Cephalopoda","Oegopsida","Cranchiidae","Teuthowenia megalops","juvenile","GL","l_min",8.5,"SL",5.12634433631194,0.103749234778993,0.639194148890172,13.2979940676217
"Cephalopoda","Oegopsida","Cranchiidae","Teuthowenia megalops","larva","GL","l_min",0.4,"SL",5.12634433631194,0.103749234778993,0.639194148890172,0.625787956123373
"Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis borealijaponica","adult","ML","l_min",25,"SL",5.51448267771059,0.0376700668718009,0.665533340197078,37.5638581721495
"Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis borealijaponica","juvenile","ML","l_min",0.35,"SL",5.51448267771059,0.0376700668718009,0.665533340197078,0.525894014410094
