"","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","body_shape","phys_defense","transparent","col_disrupt","silver","countershade","gregarious","maxFO","maxN","maxM","prob.clust.num"
"Acanthephyra_pelagica","Acanthephyra_pelagica","adult","mesopelagic","oceanic","diel (yes)","season (yes)","elongated","1","0","0","0","0","schooling","38.88888889","0","0","1"
"Alpheus_glaber","Alpheus_glaber","adult","benthic","coastal","diel (yes)","season (no)","elongated","1","0","0","0","0","schooling","11.11111111","0","0","2"
"Anchylomera_blossevillei","Anchylomera_blossevillei","adult","epipelagic","continental shelf","diel (yes)","season (yes)","fusiform","1","0","0","0","0","schooling","4.2","1.65","3.3","3"
"Ancistroteuthis_lichtensteinii","Ancistroteuthis_lichtensteinii","juvenile","demersal","continental shelf","diel (yes)","season (yes)","fusiform","0","0","1","0","0","schooling","33","4.9","0.71","3"
"Anoplopoma_fimbria","Anoplopoma_fimbria","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","fusiform","1","0","1","0","1","schooling","33.33333333","0","0","4"
"Arctozenus_risso","Arctozenus_risso","adult","mesopelagic","oceanic","diel (yes)","season (yes)","elongated","0","0","0","1","0","solitary","52","4","0","1"
"Argonauta_argo","Argonauta_argo","adult","epipelagic","oceanic","diel (no)","season (yes)","compressiform","1","0","1","0","0","schooling","13.11","2.37","1.6","4"
"Argonauta_nodosus","Argonauta_nodosus","adult","epipelagic","oceanic","diel (no)","season (yes)","compressiform","1","0","1","0","0","schooling","5","0","0.1","4"
"Arnoglossus_imperialis","Arnoglossus_imperialis","adult","benthic","continental shelf","diel (yes)","season (yes)","depressiform","0","0","1","0","0","solitary","24.07407407","0","0","3"
"Atlanta_peronii","Atlanta_peronii","adult","epipelagic","oceanic","diel (yes)","season (no)","compressiform","1","1","0","0","0","solitary","1.851851852","0","0","2"
"Belone_belone","Belone_belone","juvenile","epipelagic","coastal","diel (no)","season (yes)","elongated","0","0","0","1","1","schooling","8.7","0","7.1","4"
"Benthosema_glaciale","Benthosema_glaciale","adult","mesopelagic","oceanic","diel (yes)","season (yes)","fusiform","0","0","1","1","0","schooling","10.3","0","0.7","1"
"Berryteuthis_anonychus","Berryteuthis_anonychus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","fusiform","0","0","1","0","0","schooling","38.5","9","0","5"
"Beryx_splendens","Beryx_splendens","juvenile","mesopelagic","continental slope","diel (yes)","season (yes)","fusiform","1","0","0","1","1","schooling","1.6","0.2","0.4","5"
"Boops_boops","Boops_boops","juvenile","demersal","continental shelf","diel (yes)","season (no)","fusiform","1","0","1","1","1","schooling","11.11111111","0","0","2"
"Brachyscelus_crusculum","Brachyscelus_crusculum","adult","epipelagic","continental shelf","diel (yes)","season (no)","fusiform","1","0","0","0","0","schooling","92.59259259","6.2","2.2","2"
"Calanus_finmarchicus","Calanus_finmarchicus","adult","epipelagic","oceanic","diel (yes)","season (yes)","fusiform","1","1","0","0","0","schooling","3.703703704","0","0","1"
"Canthidermis_maculata","Canthidermis_maculata","juvenile","epipelagic","coastal","diel (no)","season (no)","compressiform","1","0","1","0","1","schooling","1.6","0.1","0","7"
"Ceratoscopelus_maderensis","Ceratoscopelus_maderensis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","fusiform","0","0","1","1","1","schooling","29.62962963","0","0","1"
"Ceratoscopelus_townsendi","Ceratoscopelus_townsendi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","fusiform","0","0","1","1","1","schooling","7.7","0.6","0","2"
"Ceratoscopelus_warmingii","Ceratoscopelus_warmingii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","fusiform","0","0","1","1","1","schooling","5.6","0.8","0.2","1"
"Chelophyes_appendiculata","Chelophyes_appendiculata","adult","epipelagic","continental shelf","diel (yes)","season (yes)","fusiform","1","1","0","0","0","schooling","16","0","0","3"
"Chlorophthalmus_agassizi","Chlorophthalmus_agassizi","juvenile","demersal","continental shelf","diel (no)","season (yes)","elongated","0","0","1","1","0","schooling","2.857142857","0","0","4"
