"prey_sp","prey_order","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num"
"Abraliopsis_felis","Oegopsida","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Acanthephyra_pelagica","Decapoda","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Alpheus_glaber","Decapoda","larva","epipelagic","coastal","diel (yes)","season (no)","schooling",3
"Anarrhichthys_ocellatus","Perciformes","juvenile","epipelagic","continental shelf","diel (no)","season (no)","schooling",4
"Anchylomera_blossevillei","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1
"Ancistrocheirus_lesueurii","Oegopsida","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Ancistroteuthis_lichtensteinii","Oegopsida","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",1
"Anoplopoma_fimbria","Scorpaeniformes","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",4
"Anotopterus_pharao","Aulopiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Antigonia_capros","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",3
"Arctozenus_risso","Aulopiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","non-schooling",2
"Argonauta_argo","Octopoda","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",4
"Argyropelecus_olfersii","Stomiiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Arnoglossus_imperialis","Pleuronectiformes","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",1
"Axius_stirhynchus","Decapoda","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",5
"Belone_belone","Beloniformes","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",4
"Benthosema_glaciale","Myctophiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Berryteuthis_anonychus","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Blennius_ocellaris","Perciformes","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling",4
"Boops_boops","Perciformes","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",3
"Brachioteuthis_riisei","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Brachyscelus_crusculum","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",3
"Brama_orcini","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1
"Calanus_finmarchicus","Calanoida","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Capros_aper","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",3
"Carinaria_lamarckii","Littorinimorpha","adult","epipelagic","oceanic","diel (yes)","season (yes)","non-schooling",5
"Ceratoscopelus_maderensis","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
