"","prey_sp","prey_order","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num"
"Abraliopsis_affinis","Abraliopsis_affinis","Oegopsida","adult","epipelagic","oceanic","diel (yes)","season (no)","schooling",5
"Abraliopsis_felis","Abraliopsis_felis","Oegopsida","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Acanthephyra_pelagica","Acanthephyra_pelagica","Decapoda","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Alloteuthis_subulata","Alloteuthis_subulata","Myopsida","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",6
"Alpheus_glaber","Alpheus_glaber","Decapoda","larva","epipelagic","coastal","diel (yes)","season (no)","schooling",6
"Anarrhichthys_ocellatus","Anarrhichthys_ocellatus","Perciformes","juvenile","epipelagic","continental shelf","diel (no)","season (no)","schooling",3
"Anchylomera_blossevillei","Anchylomera_blossevillei","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",6
"Ancistrocheirus_lesueurii","Ancistrocheirus_lesueurii","Oegopsida","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Ancistroteuthis_lichtensteinii","Ancistroteuthis_lichtensteinii","Oegopsida","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",6
"Anoplopoma_fimbria","Anoplopoma_fimbria","Scorpaeniformes","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",3
"Anotopterus_nikparini","Anotopterus_nikparini","Aulopiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Anotopterus_pharao","Anotopterus_pharao","Aulopiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Antigonia_capros","Antigonia_capros","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",6
"Arctozenus_risso","Arctozenus_risso","Aulopiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","non-schooling",2
"Argonauta_argo","Argonauta_argo","Octopoda","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",3
"Argonauta_nodosus","Argonauta_nodosus","Octopoda","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",3
"Argonauta_nouryi","Argonauta_nouryi","Octopoda","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",3
"Argyropelecus_olfersii","Argyropelecus_olfersii","Stomiiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Arnoglossus_imperialis","Arnoglossus_imperialis","Pleuronectiformes","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",6
"Atherinopsis_californiensis","Atherinopsis_californiensis","Atheriniformes","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",3
"Atlanta_peronii","Atlanta_peronii","Littorinimorpha","adult","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",5
"Axius_stirhynchus","Axius_stirhynchus","Decapoda","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",5
"Barathronus_parfaiti","Barathronus_parfaiti","Ophidiiformes","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",2
"Bathophilus_flemingi","Bathophilus_flemingi","Stomiiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",2
"Bathyagonus_pentacanthus","Bathyagonus_pentacanthus","Scorpaeniformes","juvenile","epipelagic","continental shelf","diel (no)","season (no)","non-schooling",3
"Bathylagoides_wesethi","Bathylagoides_wesethi","Argentiniformes","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",1
"Belone_belone","Belone_belone","Beloniformes","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",3
"Benthosema_glaciale","Benthosema_glaciale","Myctophiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Berryteuthis_anonychus","Berryteuthis_anonychus","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Blennius_ocellaris","Blennius_ocellaris","Perciformes","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling",3
"Boops_boops","Boops_boops","Perciformes","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",6
"Brachioteuthis_riisei","Brachioteuthis_riisei","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Brachyscelus_crusculum","Brachyscelus_crusculum","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",6
"Brama_brama","Brama_brama","Perciformes","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Brama_orcini","Brama_orcini","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",6
"Calanus_finmarchicus","Calanus_finmarchicus","Calanoida","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Capros_aper","Capros_aper","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",6
"Carinaria_lamarckii","Carinaria_lamarckii","Littorinimorpha","adult","epipelagic","oceanic","diel (yes)","season (yes)","non-schooling",5
"Cavolinia_tridentata","Cavolinia_tridentata","Pteropoda","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Centrolophus_niger","Centrolophus_niger","Perciformes","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Ceratoscopelus_maderensis","Ceratoscopelus_maderensis","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Ceratoscopelus_townsendi","Ceratoscopelus_townsendi","Myctophiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",2
"Ceratoscopelus_warmingii","Ceratoscopelus_warmingii","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Chelophyes_appendiculata","Chelophyes_appendiculata","Siphonophorae","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",6
"Chiasmodon_niger","Chiasmodon_niger","Perciformes","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",2
"Chilara_taylori","Chilara_taylori","Ophidiiformes","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",6
"Chiroteuthis_veranii","Chiroteuthis_veranii","Oegopsida","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling",5
"Chlorophthalmus_agassizi","Chlorophthalmus_agassizi","Aulopiformes","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",4
"Chromis_punctipinnis","Chromis_punctipinnis","Perciformes","juvenile","demersal","coastal","diel (no)","season (yes)","schooling",4
"Chtenopteryx_sicula","Chtenopteryx_sicula","Decapodiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Citharichthys_sordidus","Citharichthys_sordidus","Pleuronectiformes","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",6
"Clio_pyramidata","Clio_pyramidata","Pteropoda","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"Clupea_pallasii","Clupea_pallasii","Clupeiformes","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",5
"Cololabis_saira","Cololabis_saira","Beloniformes","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",3
"Coryphaena_hippurus","Coryphaena_hippurus","Perciformes","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",3
"Cranchia_scabra","Cranchia_scabra","Oegopsida","juvenile","epipelagic","oceanic","diel (no)","season (no)","non-schooling",3
"Cubiceps_gracilis","Cubiceps_gracilis","Perciformes","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",3
"Cymatogaster_aggregata","Cymatogaster_aggregata","Perciformes","adult","demersal","coastal","diel (no)","season (yes)","schooling",4
"Diaphus_luetkeni","Diaphus_luetkeni","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Diaphus_theta","Diaphus_theta","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2
"Diplodus_sargus","Diplodus_sargus","Perciformes","juvenile","demersal","coastal","diel (no)","season (yes)","schooling",4
