"","StudyID","rep_ID","YearEnd","OceanBasin","prob.clust.num","clustFO","totalFO","relFO"
"1","Aloncle1973","Aloncle1973_1",1971,"N Atlantic","1",95.85,174,0.550862068965517
"2","Aloncle1973","Aloncle1973_1",1971,"N Atlantic","2",8.35,174,0.0479885057471264
"3","Aloncle1973","Aloncle1973_1",1971,"N Atlantic","3",0.1,174,0.000574712643678161
"4","Aloncle1973","Aloncle1973_1",1971,"N Atlantic","4",26,174,0.149425287356322
"5","Aloncle1973","Aloncle1973_1",1971,"N Atlantic","5",35.45,174,0.203735632183908
"6","Aloncle1973","Aloncle1973_1",1971,"N Atlantic","6",8.25,174,0.0474137931034483
"7","Bello1999","Bello1999_2",1992,"Mediterranean","1",25.8,90.4,0.285398230088496
"8","Bello1999","Bello1999_2",1992,"Mediterranean","2",6.5,90.4,0.0719026548672566
"9","Bello1999","Bello1999_2",1992,"Mediterranean","3",58.1,90.4,0.642699115044248
"10","Bello1999","Bello1999_3",1994,"Mediterranean","1",73.7,194.8,0.378336755646817
"11","Bello1999","Bello1999_3",1994,"Mediterranean","2",63.2,194.8,0.324435318275154
"12","Bello1999","Bello1999_3",1994,"Mediterranean","3",57.9,194.8,0.297227926078029
"13","Bernard1985","Bernard1985_4",1983,"N Pacific","5",69.7,69.7,1
"14","Bouxin&Legendre","Bouxin&Legendre_10",1933,"N Atlantic","1",359.259259258889,1381.48148148111,0.260053619302751
"15","Bouxin&Legendre","Bouxin&Legendre_10",1933,"N Atlantic","2",346.296296296296,1381.48148148111,0.25067024128693
"16","Bouxin&Legendre","Bouxin&Legendre_10",1933,"N Atlantic","3",131.481481481481,1381.48148148111,0.09517426273461
"17","Bouxin&Legendre","Bouxin&Legendre_10",1933,"N Atlantic","4",142.592592592593,1381.48148148111,0.103217158176971
"18","Bouxin&Legendre","Bouxin&Legendre_10",1933,"N Atlantic","5",275.925925925926,1381.48148148111,0.199731903485308
"19","Bouxin&Legendre","Bouxin&Legendre_10",1933,"N Atlantic","6",120.37037037037,1381.48148148111,0.0871313672922486
"20","Bouxin&Legendre","Bouxin&Legendre_10",1933,"N Atlantic","7",5.55555555555555,1381.48148148111,0.0040214477211807
"21","Bouxin&Legendre","Bouxin&Legendre_5",1928,"N Atlantic","2",100,100,1
"22","Bouxin&Legendre","Bouxin&Legendre_6",1929,"N Atlantic","1",166.666666666667,550,0.303030303030303
"23","Bouxin&Legendre","Bouxin&Legendre_6",1929,"N Atlantic","2",50,550,0.0909090909090909
"24","Bouxin&Legendre","Bouxin&Legendre_6",1929,"N Atlantic","3",33.3333333333333,550,0.0606060606060605
"25","Bouxin&Legendre","Bouxin&Legendre_6",1929,"N Atlantic","4",33.3333333333334,550,0.0606060606060607
"26","Bouxin&Legendre","Bouxin&Legendre_6",1929,"N Atlantic","5",200,550,0.363636363636364
"27","Bouxin&Legendre","Bouxin&Legendre_6",1929,"N Atlantic","6",66.6666666666666,550,0.121212121212121
"28","Bouxin&Legendre","Bouxin&Legendre_7",1930,"N Atlantic","1",188.888888888889,572.222222222222,0.330097087378641
"29","Bouxin&Legendre","Bouxin&Legendre_7",1930,"N Atlantic","2",94.4444444444444,572.222222222222,0.16504854368932
"30","Bouxin&Legendre","Bouxin&Legendre_7",1930,"N Atlantic","3",55.5555555555555,572.222222222222,0.0970873786407767
"31","Bouxin&Legendre","Bouxin&Legendre_7",1930,"N Atlantic","4",22.2222222222222,572.222222222222,0.0388349514563107
"32","Bouxin&Legendre","Bouxin&Legendre_7",1930,"N Atlantic","5",100,572.222222222222,0.174757281553398
"33","Bouxin&Legendre","Bouxin&Legendre_7",1930,"N Atlantic","6",111.111111111111,572.222222222222,0.194174757281553
"34","Bouxin&Legendre","Bouxin&Legendre_8",1931,"N Atlantic","1",332,1030.22222222222,0.322260569456428
"35","Bouxin&Legendre","Bouxin&Legendre_8",1931,"N Atlantic","2",187.111111111111,1030.22222222222,0.181622088006902
"36","Bouxin&Legendre","Bouxin&Legendre_8",1931,"N Atlantic","3",151.111111111111,1030.22222222222,0.146678170836928
"37","Bouxin&Legendre","Bouxin&Legendre_8",1931,"N Atlantic","4",112,1030.22222222222,0.108714408973253
