"prey_class","prey_order","prey_family","prey_sp","measure","l_adult","l_juve","l_larva","larva_adult","juve_adult","larva_adult_u","juve_adult_u","larva_adult_use","juve_adult_use"
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","l_max",15.7127376077956,NA,2.5,15.9106583614027,NA,18.3359303556639,42.1173584659917,15.9106583614027,42.1173584659917
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","l_max",15,NA,3.11418035248877,20.7612023499251,NA,18.3359303556639,42.1173584659917,20.7612023499251,42.1173584659917
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","l_max",60,25.8,NA,NA,43,9.15408758669817,43,9.15408758669817,43
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","l_max",45,16,2.36274848635629,5.25055219190287,35.5555555555556,5.25055219190287,35.5555555555556,5.25055219190287,35.5555555555556
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","l_max",215,NA,NA,NA,NA,10.4054536978785,40.2230160108363,10.4054536978785,40.2230160108363
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","l_max",146,43,NA,NA,29.4520547945205,5.20833333333335,54.2572773972605,5.20833333333335,29.4520547945205
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","l_max",103.466278573886,81.803026497479,5.38886867572325,5.20833333333335,79.0625000000004,5.20833333333335,54.2572773972605,5.20833333333335,79.0625000000004
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","l_max",40,11.5,3,7.5,28.75,7.5,28.75,7.5,28.75
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","l_max",15.7987346714369,NA,NA,NA,NA,10.4054536978785,40.2230160108363,10.4054536978785,40.2230160108363
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","l_max",26.635115813539,NA,2,7.50888418883229,NA,7.50888418883229,40.2230160108363,7.50888418883229,40.2230160108363
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","l_max",32.7477223252604,NA,1.52822704184549,4.66666666666668,NA,10.9322069467605,36.0741393203333,4.66666666666668,36.0741393203333
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","l_max",21,NA,4.00053647638855,19.0501736970883,NA,10.9322069467605,36.0741393203333,19.0501736970883,36.0741393203333
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","l_max",20,NA,NA,NA,NA,10.9322069467605,36.0741393203333,10.9322069467605,36.0741393203333
