"prey_class","prey_order","prey_family","prey_sp","measure","adult","juvenile","larva","larva_adult","juve_adult"
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","l_max",15.7127376077956,NA,2.5,15.9106583614027,NA
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","l_min",NA,2.5,0.698343893679804,NA,NA
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","l_max",15,NA,3.11418035248877,20.7612023499251,NA
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","l_min",NA,3.11418035248877,0.346020039165419,NA,NA
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","l_max",60,25.8,NA,NA,43
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","l_max",45,16,2.36274848635629,5.25055219190287,35.5555555555556
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","l_min",16,2.36274848635629,0.908749417829343,5.67968386143339,14.7671780397268
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","l_max",215,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","l_min",44,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","l_max",146,43,NA,NA,29.4520547945205
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","l_min",43,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","l_max",103.466278573886,81.803026497479,5.38886867572325,5.20833333333335,79.0625000000004
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","l_min",81.803026497479,5.38886867572325,0.38,0.464530490215678,6.58761528326745
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","l_max",40,11.5,3,7.5,28.75
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","l_min",11.5,3,0.79,6.8695652173913,26.0869565217391
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","l_max",15.7987346714369,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","l_min",12.6389877371495,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","l_max",26.635115813539,NA,2,7.50888418883229,NA
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","l_min",NA,2,NA,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","l_max",32.7477223252604,NA,1.52822704184549,4.66666666666668,NA
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","l_min",NA,1.52822704184549,0.545795372087673,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","l_max",21,NA,4.00053647638855,19.0501736970883,NA
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","l_min",NA,4.00053647638855,0.78,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","l_max",20,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","l_max",29.0333441681739,18.6028464484966,5.41955757805913,18.6666666666667,64.074074074074
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","l_min",18.6028464484966,5.41955757805913,0.806481782449275,4.33526011560694,29.1329479768786
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","l_max",36.0761118547275,NA,4,11.0876693589025,NA
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","l_min",NA,4,0.8,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","l_max",55,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","l_max",63.5833173002259,11.0135388895034,3.97395733126412,6.25,17.3214285714285
"Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","l_min",11.0135388895034,3.97395733126412,0.965103923307001,8.76288659793816,36.0824742268042
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","l_max",56.1982852085063,12.87,3.3,5.87206529123865,22.9010546358307
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","l_min",12.87,3.3,0.8,6.21600621600622,25.6410256410256
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","l_max",NA,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","l_max",100,40,NA,NA,40
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","l_min",40,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","l_max",14.0319507043528,NA,2.56,18.2440777760563,NA
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","l_min",NA,NA,NA,NA,NA
"Actinopterygii","Beloniformes","Belonidae","Belone belone","l_max",103.5,28.5,2.23,2.15458937198068,27.536231884058
"Actinopterygii","Beloniformes","Belonidae","Belone belone","l_min",28.5,2.23,0.9,3.15789473684211,7.82456140350877
"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","l_max",91,NA,7.52345223414224,8.26752992762883,NA
"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","l_min",NA,7.52345223414224,0.685961821348263,NA,NA
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","l_max",44.7516792857244,25.3965779946486,4.47516792857244,10,56.75
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","l_min",25.3965779946486,4.47516792857244,0.559395991071554,2.20264317180616,17.6211453744493
"Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus saurus","l_max",55.7063187335586,11.1412637467117,2.78531593667793,5,20
"Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus saurus","l_min",11.1412637467117,2.78531593667793,0.668475824802703,6.00000000000001,25
