"l_adult","larva_adult_use","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","life_stage","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","gregarious_primary","l_max","body_shape","b_shape_r","eye_body_r","standard_total","phys_defense","transparent","col_disrupt","silver","countershade","energy_density","percent_protein","percent_lipid","maxFO","maxN","maxM","maxTL","trophic_level","fisheries_status"
6.83428234797388,21.8839285714285,"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia redfieldi","none","adult","mesopelagic","oceanic",1,"diel_yes",0,"refuge_no",NA,"season_NA",NA,3.6,"fusiform",3.91441550657428,0.0848775355631824,0.526756112303038,0,1,1,0,0,NA,NA,NA,5,0,0,0,NA,"none"
9.41080912162716,21.8839285714285,"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis affinis","none","adult","mesopelagic","oceanic",1,"diel_yes",0,"refuge_no",NA,"season_NA",NA,4.3,"fusiform",5.34538495821609,0.0697949529570643,0.456921391606816,0,1,1,0,0,NA,NA,NA,1.16279069767442,0.0765110941086457,0.00609243441494352,0,NA,"none"
17.4557079803295,6.625,"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis felis","none","adult","mesopelagic","oceanic",1,"diel_yes",0,"refuge_no",NA,"season_NA",NA,8,"fusiform",5.28057889844523,0.050754532481781,0.458302808973147,0,1,1,0,0,4.4,17.4,NA,36.4,11.3,2.13235204523023,0,NA,"none"
12.0727221190135,21.8839285714285,"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis gilchristi","none","adult","mesopelagic","continental slope",1,"diel_yes",0,"refuge_no",NA,"season_NA",NA,5.1,"fusiform",5.63084699136462,0.0501037359549266,0.422439939371084,0,0,0,0,0,NA,NA,NA,0.7,0.2,0.1,0,NA,"none"
10.0189824057196,37.142857142857,"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis morisii","none","adult","mesopelagic","oceanic",1,"diel_yes",0,"refuge_no",NA,"season_NA",NA,3.5,"fusiform",8.38990602283222,0.0421377421237308,0.349336874571408,0,0,0,0,0,NA,NA,NA,4.9,3.4,3.4,0,NA,"none"
27,13.2277038321486,"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","adult","adult","mesopelagic","oceanic",1,"diel_yes",0,"refuge_no",1,"season_yes","schooling",27,"elongated",6.23705788599511,0.0221404596661903,0.800545022150694,1,0,0,0,0,NA,NA,6.5375,38.8888888888889,0,0,0,NA,"none"
215,10.4054536978785,"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","none","larva","epipelagic","oceanic",1,"diel_yes",0,"refuge_no",NA,"season_NA","schooling",NA,"elongated",14.3410788483398,0.0260265732773525,0.881745650515243,0,1,0,1,0,1.7,NA,NA,2.7,0.3,1,0,NA,"none"
28.9632962758189,14.2857142857143,"Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","none","juvenile","demersal","continental shelf",NA,"diel_UN",0,"refuge_no",1,"season_yes","schooling",7.8,"fusiform",7.0034787439957,0.0558524682657779,0.72505559450195,0,0,1,0,0,3.9,16.4,1.3,1,0.43,0.08,0,NA,"none"
0.43,13.2277038321486,"Malacostraca","Decapoda","Alpheidae","Alpheus glaber","none","adult","benthic","coastal",1,"diel_yes",1,"refuge_yes",0,"season_no","shoaling",0.43,"elongated",5.77047205247166,0.0282400040246912,0.880318216897512,1,0,0,0,0,NA,NA,NA,11.1111111111111,0,0,0,NA,"none"
240,3.41666666666667,"Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","none","larva","epipelagic","continental shelf",NA,"diel_UN",0,"refuge_no",NA,"season_NA","schooling",8.2,"eel-like",9.95801472670632,0.016591182179499,1,0,1,0,0,0,NA,NA,NA,33.33333333,0,0,0,NA,"none"
