"prey_sp","energy_density","percent_protein","percent_lipid"
"Abralia redfieldi",NA,NA,NA
"Abraliopsis affinis",NA,NA,NA
"Abraliopsis felis",4.4,17.4,NA
"Abraliopsis gilchristi",NA,NA,NA
"Abraliopsis morisii",NA,NA,NA
"Acanthephyra pelagica",NA,NA,6.5375
"Alepisaurus ferox",1.7,NA,NA
"Alloteuthis subulata",3.9,16.4,1.3
"Alpheus glaber",NA,NA,NA
"Anarrhichthys ocellatus",NA,NA,NA
"Anchylomera blossevillei",NA,NA,NA
"Ancistrocheirus lesueurii",NA,NA,NA
"Ancistroteuthis lichtensteinii",NA,NA,NA
"Anoplopoma fimbria",5.28055,11.1868571428571,7.8175
"Anotopterus nikparini",NA,NA,NA
"Anotopterus pharao",10.87,NA,NA
"Antigonia capros",6.59,15.95,2.16
"Antimora rostrata",4.32825,NA,0.29
"Arctozenus risso",4.3,15.8,4.615
"Argonauta argo",NA,NA,NA
"Argonauta nodosus",NA,NA,NA
"Argonauta nouryi",NA,NA,NA
"Argyropelecus aculeatus",3.428,11.3,1
"Argyropelecus olfersii",3.5,14.8,1.3
"Arnoglossus imperialis",5.4,18.8,1.8
"Ateleopus natalensis",NA,NA,NA
"Atherinopsis californiensis",NA,NA,1.484
"Atlanta peronii",NA,NA,NA
"Axius stirhynchus",NA,NA,NA
"Balistes punctatus",NA,NA,NA
"Barathronus parfaiti",NA,NA,NA
"Bathophilus flemingi",NA,NA,NA
"Bathyagonus pentacanthus",NA,NA,NA
"Bathylagoides wesethi",2.85,8.5,2.4
"Belone belone",6.2,20.1,2.9
"Benthosema glaciale",7.08,13.95,10.6
"Berryteuthis anonychus",4.26,10.6,1.35
"Beryx splendens",NA,19.71,2.615
"Blennius ocellaris",NA,NA,NA
"Boops boops",8,19.8,5.8
"Brachioteuthis riisei",NA,NA,NA
"Brachyscelus crusculum",NA,NA,NA
"Brachyscelus macrocephalus",NA,NA,NA
"Brama brama",NA,NA,NA
"Brama orcini",NA,NA,NA
"Bregmaceros mcclellandi",NA,15,1.6
"Calanus finmarchicus",6.36,11,7.96
"Canthidermis maculata",1.92,20.58,0.59
"Capros aper",6.2,17.2,4.8
"Carinaria lamarckii",NA,NA,NA
"Centrolophus niger",NA,17.25,6.074
"Ceratias tentaculatus",NA,NA,NA
"Ceratoscopelus maderensis",7.22,NA,8.2
"Ceratoscopelus townsendi",7.15666666666667,9.2,11.1666666666667
"Ceratoscopelus warmingii",NA,11.5,6.24
"Chelophyes appendiculata",NA,NA,NA
"Chiasmodon niger",NA,NA,56.89
"Chilara taylori",3.39,NA,NA
"Chiroteuthis veranii",NA,NA,1.2
"Chlorophthalmus agassizi",4.43,22.34,0.53
"Chromis punctipinnis",NA,NA,NA
"Chtenopteryx sicula",NA,NA,NA
"Citharichthys sordidus",3.47,17,11.8666666666667
"Clupea pallasii pallasii",7.49544117647059,15.6473333333333,10.9368927536232
"Cololabis saira",6.29712,19.776069,8.53161555555556
"Cookeolus japonicus",NA,NA,NA
"Coryphaena hippurus",NA,NA,NA
"Cranchia scabra",NA,NA,NA
"Cubiceps capensis",NA,NA,NA
"Cubiceps gracilis",3.809,NA,18.9
"Cubiceps pauciradiatus",NA,NA,NA
"Cymatogaster aggregata",4.68,13.7,2.50842105263158
"Cyphocaris faurei",NA,NA,NA
"Dactyloptena orientalis",NA,NA,NA
"Decapterus macarellus",6.52704,NA,NA
"Decapterus macrosoma",NA,38.59,6.55
"Desmodema polystictum",NA,NA,NA
"Diaphus effulgens",NA,16.54,4.86
"Diaphus lucidus",NA,NA,NA
"Diaphus luetkeni",NA,NA,NA
"Diaphus ostenfeldi",NA,NA,NA
"Diaphus perspicillatus",NA,NA,3.15
"Diaphus theta",9.234,11.7093333333333,11.5583333333333
"Diplodus sargus",NA,18.7,2.01
"Diplospinus multistriatus",10.21,NA,NA
"Diretmus argenteus",NA,NA,NA
"Doryteuthis opalescens",3.49725,16.5,1
"Dosidicus gigas",5.3945,14.5,0.366666666666667
"Echinosquilla guerinii",NA,NA,NA
"Electrona rissoi",5.155,NA,NA
"Eledone cirrhosa",4.7,16.2,2.8
"Engraulis capensis",5.13,12.0460666666667,4.231
"Engraulis encrasicolus",5.39875,19.625,2.7
"Engraulis japonicus",5.415,18.3,7.7
"Engraulis mordax",6.632,13.8,6.12333333333333
"Entelurus aequoreus",4.7,14.7,1.9
"Eucleoteuthis luminosa",NA,NA,1.5
"Euphausia pacifica",NA,11.3078,2.53854210526316
"Eusergestes arcticus",NA,15.5,9.4
"Eutrigla gurnardus",NA,NA,1.55
"Funchalia taaningi",NA,NA,NA
"Funchalia woodwardi",NA,NA,NA
"Gaidropsarus vulgaris",5.5,17.2,2.6
"Galiteuthis armata",NA,NA,NA
"Galiteuthis phyllura",3.51,9.3,3.3
"Gempylus serpens",NA,NA,NA
"Gennadas elegans",NA,NA,5.6
"Glyptocephalus zachirus",2.7235,12.89625,0.877333333333333
"Gonatopsis borealis",4.13034285714286,8.6975,4.186
"Gonatus berryi",5,8.9,6.2
"Gonatus californiensis",NA,NA,NA
"Gonatus onyx",39.33,NA,NA
"Gonatus pyros",NA,NA,NA
"Gonatus steenstrupi",3.78,NA,NA
"Grimalditeuthis bonplandi",NA,1.84,NA
"Halichoeres nicholsi",NA,NA,NA
"Haliphron atlanticus",NA,NA,NA
"Helicocranchia pfefferi",NA,NA,NA
"Helicolenus dactylopterus",6.36,19.225,6.51
"Heterocarpus laevigatus",NA,NA,NA
"Heteroteuthis dispar",NA,NA,NA
"Histioteuthis bonnellii",NA,NA,NA
"Histioteuthis heteropsis",NA,NA,NA
"Histioteuthis meleagroteuthis",NA,NA,NA
"Histioteuthis reversa",NA,NA,NA
"Hyaloteuthis pelagica",NA,NA,NA
"Hygophum hygomii",6.06,NA,1.75
"Hyperia galba",1.9491,6.46725,1.9899
"Icichthys lockingtoni",NA,NA,NA
"Idotea metallica",NA,NA,NA
"Illex argentinus",5.014,16,1.12
"Illex coindetii",4.3,17.3,1.46
"Janicella spinicauda",NA,NA,NA
"Janthina exigua",NA,NA,NA
"Japetella diaphana",NA,NA,NA
"Japetella heathi",2.8,9.275,NA
"Katsuwonus pelamis",6.12956,23.79125,1.69875
"Lactoria diaphana",NA,NA,NA
"Lagocephalus lagocephalus",NA,NA,NA
"Lampadena luminosa",3.971,11.2,1
"Lampanyctodes hectoris",NA,14.7,18.4
"Lampanyctus alatus",3.838,13.8,1.3
"Lampanyctus crocodilus",4.1,16.1,1.6
"Lampanyctus intricarius",NA,NA,NA
"Lampanyctus mexicanus",NA,NA,NA
"Lanceola sayana",NA,NA,NA
"Lepidocybium flavobrunneum",10.16,16.7926666666667,19.6745
"Leptocotis tenuirostris",NA,NA,NA
"Lestidiops ringens",NA,NA,NA
"Lestidiops similis",NA,NA,NA
"Lestidiops sphyrenoides",NA,NA,NA
"Lestrolepis intermedia",NA,NA,NA
"Leuroglossus stilbius",3.899,6.9,6.2
"Liocranchia reinhardtii",NA,NA,NA
"Lobianchia gemellarii",5.7415,14.15,5.1
"Lycoteuthis lorigera",NA,NA,3.2
"Lysiosquilla tredecimdentata",NA,NA,NA
"Macroparalepis affinis",NA,NA,NA
"Macroramphosus scolopax",4.407,NA,NA
"Magnisudis atlantica",NA,NA,6.19
"Makaira mazara",NA,24.4,2.7
"Mastigoteuthis dentata",NA,NA,NA
"Masturus lanceolatus",NA,NA,NA
"Maurolicus imperatorius",NA,NA,NA
"Maurolicus muelleri",4.097,13.6,9.6
"Medialuna californiensis",NA,19.8,NA
"Meganyctiphanes norvegica",3.9,14.584,3.121
"Melamphaes lugubris",15.27,10.2,32.3
"Melanostomias valdiviae",NA,NA,NA
"Merluccius productus",4.07112,14.6226,1.859
"Microgadus proximus",3.83125,10.96,2.73914
"Micromesistius poutassou",4.65,16.75,2.7
"Microstomus pacificus",3.145,12.96,2.71746666666667
"Monacoa grimaldii",NA,NA,NA
"Mugil cephalus",4.96467380413793,17.02,4.1412
"Mullus barbatus barbatus",4.79,18.855,4.405
"Myctophum asperum",NA,NA,10.8
"Myctophum punctatum",NA,NA,NA
"Nannobrachium regale",7.6,11.8,12.1
"Nannobrachium ritteri",7.43925,9.6022,12.8728125
"Nansenia macrolepis",NA,NA,NA
"Natosquilla investigatoris",NA,NA,NA
"Nealotus tripes",NA,NA,NA
"Nematoscelis megalops",NA,NA,2.0625
"Neoanchisquilla tuberculata",NA,NA,NA
"Neognathophausia gigas",NA,NA,NA
"Neognathophausia ingens",2.005,3.8679,4.05356666666667
"Nesiarchus nasutus",NA,NA,NA
"Notoscopelus kroyeri",7.9,16.6,11.9
"Nyctiphanes australis",3,NA,NA
"Octopoteuthis nielseni",NA,NA,NA
"Octopoteuthis rugosa",NA,NA,NA
"Octopoteuthis sicula",3.79,17.4,NA
"Octopus bimaculatus",NA,NA,NA
"Octopus vulgaris",3.42,16.0925,0.823
"Ocythoe tuberculata",NA,NA,NA
"Odontodactylus hansenii",NA,NA,NA
"Odontodactylus scyllarus",NA,NA,NA
"Ommastrephes bartramii",NA,NA,0.96
"Omosudis lowii",NA,NA,NA
"Onychoteuthis banksii",4.4,NA,NA
"Onychoteuthis borealijaponica",5.47538181818182,12.8,NA
"Onykia loennbergii",NA,NA,NA
"Onykia robusta",NA,NA,NA
"Opisthoteuthis californiana",NA,NA,1.2
"Oplophorus typus",NA,NA,NA
"Ornithoteuthis antillarum",NA,NA,NA
"Ornithoteuthis volatilis",NA,NA,NA
"Ostracion cubicus",NA,NA,NA
"Palinurus mauritanicus",NA,NA,NA
"Paralepis coregonoides",NA,NA,NA
"Paralepis speciosa",NA,NA,NA
"Parapasiphae sulcatifrons",NA,NA,14.6
"Parapronoe crustulum",NA,NA,NA
"Parribacus antarcticus",NA,NA,NA
"Peprilus simillimus",NA,NA,NA
"Peristedion gracile",NA,NA,NA
"Photonectes margarita",NA,NA,NA
"Phrosina semilunata",NA,NA,NA
"Platyscelus armatus",NA,NA,NA
"Platyscelus ovoides",NA,NA,NA
"Platyscelus serratulus",NA,NA,NA
"Pleuroncodes planipes",6.69166666666667,20.25,0.85
"Pleuronichthys decurrens",NA,NA,NA
"Polybius henslowii",4.2,14.1,1.4
"Primno macropa",4.076,6.525,2.995
"Protomyctophum crockeri",NA,NA,3.73333333333333
"Psenes pellucidus",NA,NA,NA
"Pteroctopus tetracirrhus",NA,NA,NA
"Pterycombus petersii",NA,NA,NA
"Pterygioteuthis giardi",NA,NA,NA
"Pterygioteuthis microlampas",NA,NA,NA
"Pyroteuthis margaritifera",NA,NA,NA
"Ranzania laevis",NA,NA,NA
"Rexea prometheoides",NA,NA,NA
"Rhinogobiops nicholsii",NA,NA,NA
"Robustosergia robusta",NA,NA,NA
"Salpa maxima",NA,NA,NA
"Sardina pilchardus",7.365,17.8,11.7
"Sardinella aurita",5.64,19.85125,7.155
"Sardinops sagax",7.92666666666667,17.3355555555556,8.95257142857143
"Scaeurgus unicirrhus",NA,NA,NA
"Scomber japonicus",6.7735,19.81,7.9325
"Scomber scombrus",7.82333333333333,14.9,11.85
"Scomberesox saurus",5.8,22.9,2.1
"Scombrolabrax heterolepis",NA,NA,NA
"Scopelarchus analis",NA,NA,NA
"Scopelogadus mizolepis bispinosus",2.33,6.5149,1.92285
"Scopelosaurus hoedti",NA,NA,NA
"Scyllarus arctus",NA,NA,NA
"Sebastes aleutianus",NA,NA,NA
"Sebastes brevispinis",NA,NA,NA
"Sebastes diploproa",2.9288,11.057,0.645
"Sebastes helvomaculatus",NA,NA,NA
"Sebastes maliger",NA,NA,NA
"Sebastes miniatus",NA,NA,NA
"Sebastes proriger",NA,NA,NA
"Sebastes wilsoni",NA,NA,NA
"Sebastes zacentrus",NA,NA,NA
"Selene setapinnis",NA,NA,NA
"Sepietta oweniana",NA,NA,NA
"Sergestes",3.89057142857143,12.9,2.95875
"Spirula spirula",NA,NA,NA
"Spondyliosoma cantharus",6.9,18.3,6.8
"Stenobrachius leucopsarus",8.7608,11.1755,16.264924625
"Sternoptyx diaphana",2.7868,8.605,3.75166666666667
"Sternoptyx obscura",2.85,10.7721,1.449
"Sthenoteuthis oualaniensis",NA,NA,NA
"Stigmatoteuthis dofleini",2.65,NA,NA
"Stigmatoteuthis hoylei",NA,NA,NA
"Streetsia challengeri",NA,NA,NA
"Strongylura exilis",NA,NA,NA
"Stylocheiron abbreviatum",NA,NA,2.03
"Sudis hyalina",NA,NA,NA
"Symbolophorus barnardi",NA,NA,NA
