"","prey_class","prey_order","prey_family","prey_sp","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status"
"1","Hydrozoa","Siphonophorae","Diphyidae","Chelophyes appendiculata","epipelagic","continental shelf","1","diel_yes","0","refuge_no","1","season_yes","fusiform",0.2,1,"1","0","0","0","schooling","NA","none"
"2","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",27,1,"0","0","0","0","schooling","NA","none"
"3","Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",1.7,1,"0","0","0","0","schooling","3.32","none"
"4","Malacostraca","Decapoda","Polybiidae","Polybius henslowii","epipelagic","continental shelf","NA","diel_UN","1","refuge_yes","0","season_no","depressiform",4.4,1,"0","1","0","0","shoaling","3.46","none"
"5","Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","epipelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",110,1,"0","1","1","1","schooling","4.43","highly commercial"
"6","Actinopterygii","Perciformes","Scombridae","Scomber scombrus","epipelagic","continental shelf","1","diel_yes","0","refuge_no","1","season_yes","fusiform",60,1,"0","1","1","1","schooling","3.63","highly commercial"
"7","Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis borealijaponica","epipelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",37,0,"0","1","0","0","schooling","4.5","commercial"
"8","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis felis","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","fusiform",8,0,"1","1","0","0","NA","NA","none"
"9","Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis volatilis","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",31,0,"0","1","0","0","schooling","3.67","potential"
"10","Cephalopoda","Oegopsida","Ommastrephidae","Hyaloteuthis pelagica","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","fusiform",9,0,"0","1","0","0","schooling","3.8","none"
"11","Cephalopoda","Octopoda","Octopodidae","Octopus vulgaris","benthic","reef-associated","0","diel_no","1","refuge_yes","1","season_yes","fusiform",25,0,"0","1","0","0","solitary","3.74","commercial"
"12","Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis antillarum","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","fusiform",20,0,"0","0","0","0","schooling","4.1399999999999997","none"
"13","Cephalopoda","Oegopsida","Onychoteuthidae","Onykia robusta","demersal","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","fusiform",230,0,"0","0","0","0","shoaling","4.13","none"
"14","Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","mesopelagic","oceanic","1","diel_yes","1","refuge_yes","1","season_yes","fusiform",15,0,"0","1","0","0","schooling","NA","potential"
"15","Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","fusiform",14.5,0,"0","1","0","0","solitary","NA","none"
"16","Cephalopoda","Oegopsida","Gonatidae","Gonatopsis borealis","mesopelagic","oceanic","1","diel_yes","1","refuge_yes","0","season_no","fusiform",33,0,"0","0","0","0","schooling","NA","potential"
