prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant,diel_migrant_cat,refuge,refuge_cat,season_migrant,season_cat,gregarious_primary,l_max,body_shape,b_shape_r,eye_body_r,standard_total,phys_defense,transparent,col_disrupt,silver,countershade,energy_density,percent_protein,percent_lipid,maxFO,maxN,maxM,maxTL,trophic_level,fisheries_status
Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus olfersii,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,11,compressiform,1.974907725,0.087969379,0.759731568,1,0,0,1,0,3.5,14.8,1.3,100,0,0,8.950529747,3.36,none
Actinopterygii,Gadiformes,Merlucciidae,Merluccius productus,none,juvenile,demersal,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,34,elongated,6.497486191,0.048643077,0.837947924,0,0,0,1,1,4.07112,14.6226,1.859,100,0.1,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Tarletonbeania crenularis,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,12.7,fusiform,5.134167018,0.065547866,0.820391901,0,0,1,1,1,4.46,13.779,3.2,100,5.4,0,0,3.13,none
Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus crusculum,adult,adult,epipelagic,continental shelf,1,diel_yes,0,refuge_no,0,season_no,schooling,0.21,fusiform,4.254703321,0.117075715,0.778255217,1,0,0,0,0,NA,NA,NA,92.59259259,0,0,0,NA,none
Malacostraca,Euphausiacea,Euphausiidae,Meganyctiphanes norvegica,none,adult,epipelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,4,elongated,10.46187023,0.046701943,0.826092344,1,1,0,0,0,3.9,14.584,3.121,89.7,7.3,84.3,4,2.97,commercial
Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,none,adult,mesopelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,8,elongated,5.03513222,0.082607438,0.839241158,0,0,0,1,0,4.097,13.6,9.6,85.71428571,78.5,24.6,7.387626241,3.01,minor commercial
Actinopterygii,Clupeiformes,Engraulidae,Engraulis japonicus,juvenile,juvenile,epipelagic,continental shelf,0,diel_no,0,refuge_no,1,season_yes,schooling,7.955,elongated,6.266849616,0.053776089,0.843716615,0,0,1,1,1,5.415,18.3,7.7,85.4,52.8,95.2,0,NA,highly commercial
Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,NA,fusiform,4.895675318,0.043219802,0.788906648,0,0,1,0,0,4.4,NA,NA,83.33333333,12.32,5.5,0,NA,none
Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,none,juvenile,mesopelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,12.87,elongated,9.117536764,0.042029266,0.889706862,0,1,0,1,0,NA,NA,NA,81.48148148,0,0,0,NA,none
Malacostraca,Euphausiacea,Euphausiidae,Nematoscelis megalops,adult,adult,epipelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,2.6,elongated,NA,NA,NA,1,1,0,0,0,NA,NA,2.0625,80,0,0,4,NA,none
Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,juvenile,juvenile,demersal,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,23.2,fusiform,6.735344663,0.045715427,0.474768542,0,1,1,0,0,4.01,NA,6.36,73.7,39.5,0,0,NA,none
Actinopterygii,Gadiformes,Gadidae,Micromesistius poutassou,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,15,fusiform,5.85376539,0.05986516,0.834431125,0,0,0,1,1,4.65,16.75,2.7,72.4,0,68.5,0,NA,none
Actinopterygii,Perciformes,Nomeidae,Cubiceps pauciradiatus,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,20,fusiform,4.568366727,0.074177413,0.826186563,1,0,0,1,0,NA,NA,NA,70.7,69.4,69.4,0,3.6,none
Actinopterygii,Clupeiformes,Engraulidae,Engraulis mordax,juvenile,juvenile,epipelagic,coastal,1,diel_yes,0,refuge_no,1,season_yes,schooling,9.6,elongated,5.941955363,0.050728534,0.851299406,0,0,0,1,1,6.632,13.8,6.123333333,69.7,40.4,23,5.520971785,NA,commercial
Actinopterygii,Myctophiformes,Myctophidae,Myctophum punctatum,adult,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,11,fusiform,5.26346683,0.084260432,0.840052571,0,0,1,1,1,NA,NA,NA,68.51851852,0,0,0,3.390000105,none
NA,NA,NA,Heteroteuthis dispar,adult,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,88.2,3.68,0,NA,NA
Malacostraca,Amphipoda,Phrosinidae,Phrosina semilunata,none,adult,epipelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,3,globiform,NA,NA,NA,1,1,1,0,0,NA,NA,NA,65,4.2,6.5,0,NA,none
NA,NA,NA,Scomberesox saurus,none,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,22.9,2.1,64.81481481,2.1,26.3,1.5,NA,NA
Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis bonnellii,juvenile,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,7,fusiform,4.800146324,0.067840871,0.29053492,0,0,1,0,0,NA,NA,NA,63.2,38.4,0,0,NA,none
Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis borealijaponica,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,25,fusiform,5.514482678,0.037670067,0.66553334,0,0,1,0,0,5.475381818,12.8,NA,58.5,13.4,3.3,0.8,NA,none
Actinopterygii,Beloniformes,Scomberesocidae,Cololabis saira,adult,adult,epipelagic,oceanic,0,diel_no,0,refuge_no,1,season_yes,schooling,40,elongated,8.494012747,0.031817545,0.893821207,0,0,0,1,1,6.29712,19.776069,8.531615556,54.35,0,23.3,0,3.71,highly commercial
Malacostraca,Amphipoda,Hyperiidae,Themisto gaudichaudii,none,adult,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,2.8,fusiform,6.253562155,0.08403762,0.710987936,1,0,0,0,0,2.9935,7.5,2.4475,54.3,5.1,27.3,1.8,3.96,none
Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis armata,none,juvenile,epipelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,NA,35,fusiform,6.802688894,0.060188395,0.807175183,0,1,1,0,0,NA,NA,NA,54.28571429,0,0,0,NA,none
Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,solitary,30,elongated,13.19734708,0.03070841,0.916094246,0,0,0,1,0,4.3,15.8,4.615,52,4,0,22.26845118,3.22,none
Malacostraca,Decapoda,Sergestidae,Eusergestes arcticus,adult,adult,demersal,continental shelf,1,diel_yes,1,refuge_yes,1,season_yes,schooling,1.4,elongated,8.858099276,0.030981942,0.820557586,1,1,0,0,0,NA,15.5,9.4,52,0,0,0,3.2,none
