"prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","refuge_cat","season_cat"
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","adult","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","juvenile","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","larva","epipelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","larva","epipelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","adult","benthic","continental shelf","diel_UN","refuge_NA","season_NA"
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","juvenile","demersal","continental shelf","diel_UN","refuge_NA","season_NA"
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","larva","epipelagic","continental shelf","diel_UN","refuge_NA","season_NA"
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","adult","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","juvenile","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","larva","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","larva","epipelagic","oceanic","diel_yes","refuge_no","season_NA"
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","larva","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","larva","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","adult","demersal","continental shelf","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","juvenile","demersal","continental shelf","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","larva","epipelagic","continental shelf","diel_UN","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_NA"
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_NA"
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","larva","epipelagic","oceanic","diel_UN","refuge_no","season_NA"
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_NA"
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_NA"
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","larva","mesopelagic","oceanic","diel_yes","refuge_no","season_NA"
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","larva","epipelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","larva","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","larva","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","juvenile","epipelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","larva","epipelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","adult","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","juvenile","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","larva","epipelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","adult","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","juvenile","epipelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","larva","epipelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","adult","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","juvenile","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","larva","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","adult","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","juvenile","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","larva","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","adult","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","juvenile","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","larva","epipelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","adult","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","juvenile","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","larva","mesopelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","adult","mesopelagic","oceanic","diel_yes","refuge_no","season_no"
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_no"
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","larva","epipelagic","oceanic","diel_yes","refuge_no","season_no"
"Actinopterygii","Beloniformes","Belonidae","Belone belone","adult","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Belonidae","Belone belone","juvenile","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Belonidae","Belone belone","larva","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","adult","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","juvenile","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","larva","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","adult","epipelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","juvenile","epipelagic","oceanic","diel_no","refuge_yes","season_yes"
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","larva","epipelagic","oceanic","diel_no","refuge_yes","season_yes"
"Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","adult","epipelagic","oceanic","diel_yes","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","juvenile","epipelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","larva","epipelagic","oceanic","diel_no","refuge_no","season_yes"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","adult","demersal","continental slope","diel_yes","refuge_yes","season_yes"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","juvenile","epipelagic","continental slope","diel_yes","refuge_no","season_yes"
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","larva","epipelagic","continental slope","diel_yes","refuge_no","season_yes"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","adult","demersal","continental slope","diel_yes","refuge_NA","season_NA"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","juvenile","mesopelagic","oceanic","diel_yes","refuge_no","season_NA"
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","larva","mesopelagic","oceanic","diel_yes","refuge_no","season_NA"
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","adult","epipelagic","coastal","diel_yes","refuge_no","season_yes"
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","juvenile","epipelagic","coastal","diel_yes","refuge_no","season_yes"
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","larva","epipelagic","coastal","diel_no","refuge_no","season_yes"
"Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","adult","epipelagic","coastal","diel_yes","refuge_no","season_yes"
