dendlabs,prey_class,prey_order,prey_family,prey_sp,life_stage,vertical habitat,horizontal habitat,diel migrant,refuge use,seasonal migrant,gregarious,prob.clust.num
1,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra pelagica,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
7,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,1
10,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus aculeatus,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,1
14,Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
15,Cephalopoda,Oegopsida,Gonatidae,Berryteuthis anonychus,juvenile,mesopelagic,oceanic,diel (yes),refuge (yes),season (yes),schooling,1
23,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus maderensis,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
24,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus townsendi,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,1
25,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus warmingii,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
33,Actinopterygii,Perciformes,Nomeidae,Cubiceps pauciradiatus ,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,1
35,Actinopterygii,Myctophiformes,Myctophidae,Diaphus effulgens,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,1
36,Actinopterygii,Myctophiformes,Myctophidae,Diaphus lucidus,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
37,Actinopterygii,Myctophiformes,Myctophidae,Diaphus perspicillatus,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
38,Actinopterygii,Myctophiformes,Myctophidae,Diaphus theta,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
42,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus gigas,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
43,Actinopterygii,Myctophiformes,Myctophidae,Electrona rissoi,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
59,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis borealis,juvenile,mesopelagic,oceanic,diel (yes),refuge (yes),season (no),schooling,1
60,Cephalopoda,Oegopsida,Gonatidae,Gonatus onyx,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
63,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis bonnellii,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,1
64,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis heteropsis,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,1
65,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis reversa,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,1
66,Cephalopoda,Oegopsida,Ommastrephidae,Hyaloteuthis pelagica,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,1
67,Actinopterygii,Myctophiformes,Myctophidae,Hygophum hygomii,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
72,Actinopterygii,Myctophiformes,Myctophidae,Lampadena luminosa,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (no),schooling,1
73,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctodes hectoris,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
74,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus alatus,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
75,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus crocodilus,adult,bathypelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
76,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus intricarius,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
80,Actinopterygii,Argentiniformes,Bathylagidae,Leuroglossus stilbius,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
81,Actinopterygii,Myctophiformes,Myctophidae,Lobianchia gemellarii,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
82,Cephalopoda,Oegopsida,Lycoteuthidae,Lycoteuthis lorigera,juvenile,mesopelagic,oceanic,diel (yes),refuge (yes),season (no),schooling,1
87,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus imperatorius,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
93,Actinopterygii,Gadiformes,Gadidae,Micromesistius poutassou,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
97,Actinopterygii,Myctophiformes,Myctophidae,Myctophum asperum,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
98,Actinopterygii,Myctophiformes,Myctophidae,Myctophum punctatum,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
100,Actinopterygii,Myctophiformes,Myctophidae,Nannobrachium ritteri,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
110,Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis volatilis,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
137,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx obscura,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,1
138,Cephalopoda,Oegopsida,Ommastrephidae,Sthenoteuthis oualaniensis,juvenile,mesopelagic,oceanic,diel (no),refuge (no),season (yes),schooling,1
141,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus barnardi,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
142,Actinopterygii,Myctophiformes,Myctophidae,Symbolophorus evermanni,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
143,Malacostraca,Decapoda,Oplophpridae,Systellaspis debilis,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
155,Actinopterygii,Myctophiformes,Myctophidae,Triphoturus mexicanus,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
157,Actinopterygii,Stomiiformes,Phosichthyidae,Vinciguerria lucetia,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
2,Malacostraca,Decapoda,Alpheidae,Alpheus glaber,adult,benthic,coastal,diel (yes),refuge (yes),season (no),schooling,2
11,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus imperialis,adult,benthic,continental shelf,diel (yes),refuge (yes),season (yes),solitary,2
44,Cephalopoda,Octopoda,Eledonidae,Eledone cirrhosa,juvenile,benthic,continental shelf,diel (yes),refuge (yes),season (no),solitary,2
62,Malacostraca,Decapoda,Pandalidae,Heterocarpus laevigatus,adult,benthic,continental slope,diel (yes),refuge (yes),season (yes),schooling,2
117,Cephalopoda,Octopoda,Octopodidae,Pteroctopus tetracirrhus,juvenile,benthic,continental shelf,diel (yes),refuge (yes),season (yes),solitary,2
129,Malacostraca,Decapoda,Scyllaridae,Scyllarus arctus,adult,benthic,reef-associated,diel (yes),refuge (yes),season (yes),solitary,2
133,Cephalopoda,Sepiida,Sepiolidae,Sepietta oweniana,adult,benthic,continental shelf,diel (yes),refuge (yes),season (yes),schooling,2
3,Malacostraca,Amphipoda,Phrosinidae,Anchylomera blossevillei,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
5,Cephalopoda,Oegopsida,Onychoteuthidae,Ancistroteuthis lichtensteinii,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
16,Actinopterygii,Beryciformes,Berycidae,Beryx splendens,juvenile,mesopelagic,continental slope,diel (yes),refuge (no),season (yes),schooling,3
17,Actinopterygii,Perciformes,Sparidae,Boops boops,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (no),schooling,3
19,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus crusculum,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,3
41,Cephalopoda,Myopsida,Loliginidae,Doryteuthis opalescens,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
54,Malacostraca,Decapoda,Penaeidae,Funchalia taaningi,adult,mesopelagic,continental shelf,diel (yes),refuge (no),season (no),schooling,3
55,Malacostraca,Decapoda,Penaeidae,Funchalia woodwardi,adult,mesopelagic,continental slope,diel (yes),refuge (no),season (no),schooling,3
57,Malacostraca,Decapoda,Benthesicymidae,Gennadas elegans,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (no),schooling,3
69,Cephalopoda,Oegopsida,Ommastrephidae,Illex coindetii,juvenile,demersal,continental shelf,diel (yes),refuge (no),season (no),schooling,3
70,Malacostraca,Decapoda,Oplophoroidae,Janicella spinicauda,adult,bathypelagic,continental slope,diel (yes),refuge (no),season (no),schooling,3
77,Actinopterygii,Perciformes,Gempylidae,Lepidocybium flavobrunneum,juvenile,mesopelagic,continental slope,diel (yes),refuge (no),season (yes),schooling,3
88,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,adult,mesopelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
90,Malacostraca,Euphausiacea,Euphausiidae,Meganyctiphanes norvegica,adult,epipelagic,continental shelf,diel (yes),refuge (no),season (yes),schooling,3
