"","StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatLatitude","LocatLongitude","YearEnd","lat_cat","province","code","pred_life","pred_flmean"
"1","Aloncle1973","Aloncle, H.","1973","N Atlantic","NE Atlantic","44.632016","-5.5","1971","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","mixed","72.9"
"2","Bello1999","Bello, G","1999","Mediterranean","Mediterranean","41.2","17.512247","1994","temperate","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","juvenile","65"
"3","Bello1999","Bello, G","1999","Mediterranean","Mediterranean","41.096462","17.512247","1992","temperate","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","juvenile","47.23"
"4","Bernard1985","Bernard, HJ, JB Hedgepeth, SB Reilly","1985","N Pacific","NE Pacific","35.358333","-121.9083335","1983","temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile","69.3"
"5","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1929","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"6","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1929","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"7","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1929","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"8","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1930","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"9","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1930","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"10","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1930","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"11","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1931","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"12","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1931","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"13","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1931","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"14","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1931","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"15","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1931","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"16","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1932","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"17","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1932","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"18","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1932","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"19","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1932","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"20","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1932","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"21","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1932","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"22","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1933","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"23","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1933","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"24","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1933","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"25","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1933","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"26","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1933","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"27","Bouxin&Legendre","Legendre, R.; Bouxin, J.","1934; 1936; 1940","N Atlantic","NE Atlantic","48","-11.680527","1933","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","adult","72.9"
"28","DosSantos&Haimovici2002","Roberta Aguiar dos Santos and Manuel Haimovici","2002","S Atlantic","SW Atlantic","-30","-47.035828","1998","temperate","Trades - South Atlantic Gyral Province (SATG)","SATL","mixed","89.9"
"30","DosSantos&Haimovici2002","Roberta Aguiar dos Santos and Manuel Haimovici","2002","S Atlantic","SW Atlantic","-30","-47.035828","1998","temperate","Trades - South Atlantic Gyral Province (SATG)","SATL","mixed","89.9"
"31","Glaser2015","Glaser et al.","2015","N Pacific","NE Pacific","42","-128.992307","2006","temperate","Coastal - California Upwelling Coastal Province","CCAL","mixed","75.6"
"32","Glaser2015","Glaser et al.","2015","N Pacific","NE Pacific","42","-128.992307","2006","temperate","Coastal - California Upwelling Coastal Province","CCAL","mixed","75.6"
"33","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","40.158082","5","2005","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile","64.4"
"34","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","40.158082","5","2005","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile","64.4"
"36","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","40.158082","5","2005","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile","64.4"
"37","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","41.824403","16.766758","2006","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile","64.4"
"38","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","41.824403","16.766758","2006","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile","64.4"
"39","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","41.824403","16.766758","2006","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile","64.4"
"40","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","40.658373","11.445351","2008","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","mixed","75"
"41","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","40.658373","11.445351","2008","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","mixed","75"
"42","Goni2011","Goni et al.","2011","Mediterranean","Mediterranean","40.658373","11.445351","2008","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","mixed","75"
"43","Goni2011","Goni et al.","2011","N Atlantic","NE Atlantic","47.8","-10","2004","temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","mixed","63.2"
