"StudyID","YearEnd","OceanBasin","prey_order","maxFO"
"Aloncle1973",1971,"N Atlantic","Amphipoda",27
"Aloncle1973",1971,"N Atlantic","Beloniformes",16
"Aloncle1973",1971,"N Atlantic","Euphausiacea",34.25
"Aloncle1973",1971,"N Atlantic","Stomiiformes",16
"Aloncle1973",1971,"N Atlantic","Sygnathiformes",30
"Bello1999",1992,"Mediterranean","Oegopsida",25.8
"Bello1999",1992,"Mediterranean","Sepiida",58.1
"Bello1999",1994,"Mediterranean","Oegopsida",73.7
"Bello1999",1994,"Mediterranean","Sepiida",57.9
"Bernard1985",1983,"N Pacific","Clupeiformes",69.7
"Bouxin&Legendre",1928,"N Atlantic","Stomiiformes",100
"Bouxin&Legendre",1929,"N Atlantic","Amphipoda",33.3333333333333
"Bouxin&Legendre",1929,"N Atlantic","Aulopiformes",33.3333333333333
"Bouxin&Legendre",1929,"N Atlantic","Beloniformes",16.6666666666667
"Bouxin&Legendre",1929,"N Atlantic","Clupeiformes",16.6666666666667
"Bouxin&Legendre",1929,"N Atlantic","Decapoda",33.3333333333333
"Bouxin&Legendre",1929,"N Atlantic","Decapodiformes",33.3333333333333
"Bouxin&Legendre",1929,"N Atlantic","Euphausiacea",33.3333333333333
"Bouxin&Legendre",1929,"N Atlantic","Littorinimorpha",33.3333333333333
"Bouxin&Legendre",1929,"N Atlantic","Octopoda",16.6666666666667
"Bouxin&Legendre",1929,"N Atlantic","Oegopsida",66.6666666666667
"Bouxin&Legendre",1929,"N Atlantic","Perciformes",33.3333333333333
"Bouxin&Legendre",1929,"N Atlantic","Stomiiformes",50
"Bouxin&Legendre",1930,"N Atlantic","Amphipoda",33.3333333333333
"Bouxin&Legendre",1930,"N Atlantic","Aulopiformes",66.6666666666667
"Bouxin&Legendre",1930,"N Atlantic","Beloniformes",22.2222222222222
"Bouxin&Legendre",1930,"N Atlantic","Decapoda",33.3333333333333
"Bouxin&Legendre",1930,"N Atlantic","Decapodiformes",11.1111111111111
"Bouxin&Legendre",1930,"N Atlantic","Euphausiacea",33.3333333333333
"Bouxin&Legendre",1930,"N Atlantic","Lophogastrida",11.1111111111111
"Bouxin&Legendre",1930,"N Atlantic","Oegopsida",55.5555555555556
"Bouxin&Legendre",1930,"N Atlantic","Perciformes",11.1111111111111
"Bouxin&Legendre",1930,"N Atlantic","Pleuronectiformes",11.1111111111111
