"prey_sp","maxFO","maxN","maxM"
"Abralia redfieldi",5,0,0
"Abraliopsis affinis",1.162790698,0.076511094,0.006092434
"Abraliopsis felis",36.4,11.3,2.132352045
"Abraliopsis gilchristi",0.7,0.2,0.1
"Abraliopsis morisii",4.9,3.4,3.4
"Acanthephyra pelagica",38.88888889,0,0
"Alepisaurus ferox",2.7,0.3,1
"Alloteuthis subulata",1,0.43,0.08
"Alpheus glaber",11.11111111,0,0
"Anarrhichthys ocellatus",33.33333333,0,0
"Anchylomera blossevillei",4.2,1.65,3.3
"Ancistrocheirus lesueurii",7,0.4,0.5
"Ancistroteuthis lichtensteinii",33,4.9,0.71
"Anoplopoma fimbria",33.33333333,0,0
"Anotopterus nikparini",1,0,0
"Anotopterus pharao",11.11111111,0,0
"Antigonia capros",3,0,0
"Antimora rostrata",0.7,0,0.5
"Arctozenus risso",52,4,0.5
"Argonauta argo",13.11,2.37,1.6
"Argonauta nodosus",5,0,0.1
"Argonauta nouryi",0.5,0.1,0
"Argyropelecus aculeatus",0.5,0,0
"Argyropelecus olfersii",100,0,0
"Arnoglossus imperialis",24.07407407,0,0
"Ateleopus natalensis",0.5,0.3,0.5
"Atherinopsis californiensis",0,0,0
"Atlanta peronii",1.851851852,0,0
"Axius stirhynchus",4,0,0
"Balistes punctatus",1.1,0.2,0.2
"Barathronus parfaiti",1.851851852,0,0
"Bathophilus flemingi",0.5,0.1,0
"Bathyagonus pentacanthus",0,0,0
"Bathylagoides wesethi",0,0,0
"Belone belone",8.7,0,7.1
"Benthosema glaciale",10.3,0.1,0.7
"Berryteuthis anonychus",38.5,9,0
"Beryx splendens",1.6,0.2,0.4
"Blennius ocellaris",5.555555556,0,0
"Boops boops",11.11111111,0,0
"Brachioteuthis riisei",29.62962963,0,0
"Brachyscelus crusculum",92.59259259,6.2,2.2
"Brachyscelus macrocephalus",0,0,0
"Brama brama",0,0,0
"Brama orcini",3,0.159311773,0
"Bregmaceros mcclellandi",2.1,0.3,0.2
"Calanus finmarchicus",3.703703704,0,0
"Canthidermis maculata",1.6,0.1,0
"Capros aper",14.28571429,0.22,0.06
"Carinaria lamarckii",34.28571429,0,0
"Cavolinia tridentata",10,0,0.1
"Centrolophus niger",1.851851852,0,0
"Ceratias tentaculatus",0.5,0.1,0.3
"Ceratoscopelus maderensis",29.62962963,0,0
"Ceratoscopelus townsendi",7.7,0.6,0
"Ceratoscopelus warmingii",5.6,0.8,0.2
"Chelophyes appendiculata",16,0,0
"Chiasmodon niger",9.5,1.7,1.6
"Chilara taylori",0,0,0
"Chiroteuthis veranii",36.06,8.69,0
"Chlorophthalmus agassizi",2.857142857,0,0
"Chromis punctipinnis",0,0,0
"Chtenopteryx sicula",33.33333333,0,0
"Citharichthys sordidus",0,0,0
"Clio pyramidata",11.11111111,0,0
"Clupea pallasii",0,0,0
"Cololabis saira",54.35,11.1,23.3
"Cookeolus japonicus",0.5,0.2,0
"Coryphaena hippurus",0.3,0.015931177,0
"Cranchia scabra",1.1,0.1,0
"Cubiceps capensis",0.7,0.1,0.5
"Cubiceps gracilis",10,0,0
"Cubiceps pauciradiatus",70.7,69.4,69.4
"Cymatogaster aggregata",0.5,0.1,0
"Cyphocaris faurei",1.6,0.1,0
"Dactyloptena orientalis",1.1,0.1,0
"Decapterus macarellus",0.5,0.1,0
"Decapterus macrosoma",0.5,0,0.1
"Desmodema polystictum",0,0,0
"Diacria trispinosa",5.714285714,0.3,0.1
"Diaphus effulgens",2.1,0.2,0.2
"Diaphus lucidus",7.9,5.8,4.4
"Diaphus luetkeni",2.857142857,0,0
"Diaphus ostenfeldi",0.7,0,0
"Diaphus perspicillatus",7.9,5.8,5
"Diaphus theta",5.6,9.8,0.2
"Diplodus sargus",2.857142857,0,0
"Diplospinus multistriatus",8,0,0
"Diretmus argenteus",11.4,2.6,4.6
"Doryteuthis opalescens",13.4,6.044376435,22.66385602
"Dosidicus gigas",1.162790698,0.1,3.350838928
"Echinosquilla guerinii",0.6,0.031862355,0
"Electrona risso",5.714285714,0.1,0.1
"Eledone cirrhosa",8,0.16,0
"Engraulis capensis",10,3.8,4.4
"Engraulis encrasicolus",29.2,1.5,20
"Engraulis japonicus",85.4,52.8,95.2
"Engraulis mordax",69.7,40.4,23
"Entelurus aequoreus",41,0,35
"Eucleoteuthis luminosa",4.9,1.3,1.9
"Euphausia pacifica",38.9,43.1,0
"Eusergestes arcticus",52,0,0
"Eusergestes similis",45,76.5,0
"Eutrigla gurnardus",4,0,0
"Funchalia taaningi",1.6,0.2,0.3
"Funchalia woodwardi",0.7,0.1,0.1
"Gaidropsarus vulgaris",8,0,0
"Galiteuthis armata",54.28571429,0,0
"Galiteuthis phyllura",0,0,0
"Gempylus serpens",5.2,0.748765334,0.5
"Gennadas elegans",4,0,0
"Glyptocephalus zachirus",0,0,0
"Gonatopsis borealis",28.8,15.8,10.8
"Gonatus berryi",1.5,0.1,0.1
"Gonatus californiensis",0,0,0
"Gonatus onyx",1,0,0
"Gonatus pyros",0,0,0.1
"Gonatus steenstrupi",23.5,3.5,0.3
"Grimalditeuthis bonplandi",0.5,0,0
"Halichoeres nicholsi",0,0,0
"Haliphron atlanticus",5,0,0
"Helicocranchia pfefferi",7.407407407,0,0
"Helicolenus dactylopterus",16,0,0
"Heterocarpus laevigatus",3.2,0.3,0.1
"Heteroteuthis dispar",66,88.2,3.68
"Histioteuthis bonnellii",63.2,38.4,0
"Histioteuthis heteropsis",1.5,0.1,0
"Histioteuthis meleagroteuthis",0.5,0,0
"Histioteuthis reversa",28,2.05,0.86
"Hyaloteuthis pelagica",2.9,0,0.5
"Hygophum hygomii",0.7,0,0
"Hyperia galba",5.714285714,0,0
"Icichthys lockingtoni",1,0,0
"Idotea metallica",3.703703704,0,0
"Illex argentinus",12,0,0
"Illex coindetii",10.3,2.13,3.3
"Janicella spinicauda",2.2,0.5,0.1
"Janthina exigua",5.714285714,0,0
"Japetella diaphana",4.8,1,2.1
"Japetella heathi",7,0,0.6
"Katsuwonus pelamis",0.6,0.143380596,0
"Lactoria diaphana",0.3,0.015931177,0
"Lagocephalus lagocephalus",1.6,0,0
"Lampadena luminosa",0.5,0.3,0.5
"Lampanyctodes hectoris",23.4,11.7,10.8
"Lampanyctus alatus",5.555555556,0,0
"Lampanyctus crocodilus",48.57142857,0,0
"Lampanyctus intricarius",37.03703704,0,0
"Lampanyctus mexicanus",0.996677741,0,0
"Lanceola sayana",1.851851852,0,0
"Lepidocybium flavobrunneum",1.6,0,0
"Leptocotis tenuirostris",2.1,0.1,0.1
"Lestidiops ringens",4,0,0
"Lestidiops similis",1.6,0.2,0.1
"Lestidiops sphyrenoides",31.48148148,0,0
"Lestrolepis intermedia",16.3,4.4,4.9
"Leuroglossus stilbius",0.4,0.1,0
"Liocranchia reinhardtii",1.851851852,0,0
"Lobianchia gemellarii",4,0.1,0
"Lycoteuthis lorigera",32.8,17.3,25.8
"Lysiosquilla tredecimdentata",7.9,0.9,0.7
"Macroparalepis affinis",4,0,0
"Macroramphosus scolopax",30,0,0.07
"Magnisudis atlantica",8.2,2,2.4
"Makaira mazara",0.5,0.5,0.5
"Mastigoteuthis dentata",22.5,1.8,0.2
"Masturus lanceolatus",0.5,0.1,0
"Maurolicus imperatorius",4.2,0.2,0.1
"Maurolicus muelleri",85.71428571,78.5,24.6
"Medialuna californiensis",1.162790698,0.076511094,0.000609243
"Meganyctiphanes norvegica",89.7,7.3,84.3
"Melamphaes lugubris",5.9,1.1,0
"Melanostomias valdiviae",0,0,0
"Merluccius productus",100,19,30
"Microgadus proximus",33.33333333,0.5,0
"Micromesistius poutassou",72.4,4.5,68.5
"Microstomus pacificus",0,0,0
"Monacoa grimaldii",0.5,0,0
"Mugil cephalus",0,0,0
"Mullus barbatus barbatus",1.851851852,0,0
"Myctophum asperum",2.2,0.9,0.6
"Myctophum punctatum",68.51851852,0,0
"Nannobrachium regale",0.996677741,0,0
"Nannobrachium ritteri",1.8,0.1,0
"Nansenia macrolepis",13.6,5,4.2
"Natosquilla investigatoris",2,1.8,1.5
"Nealotus tripes",3,0,0.1
"Nematoscelis megalops",80,0.61,4.2
"Neoanchisquilla tuberculata",9.5,1.1,0.4
"Neognathophausia gigas",0.7,0.1,0
"Neognathophausia ingens",11.11111111,0,0
"Nesiarchus nasutus",3,0,0
"Notoscopelus kroyeri",15.8,0,6.3
"Nyctiphanes australis",27.9,0,20.4
"Octopoteuthis nielseni",0.332225914,0,0
"Octopoteuthis rugosa",1,0.1,0.2
"Octopoteuthis sicula",32.7,2.37,0.609243441
"Octopus bimaculatus",15.9,1.836266259,0.182773032
"Octopus vulgaris",16.66666667,0,0
"Ocythoe tuberculata",17.2,0.7,0.6
"Odontodactylus hansenii",0.3,0.047793532,0
"Odontodactylus scyllarus",27,5.1,2.4
"Ommastrephes bartramii",5,1.6,6.2
"Omosudis lowii",16.7,0.7,1.2
"Onychoteuthis banksii",83.33333333,12.32,5.5
"Onychoteuthis borealijaponica",58.5,13.4,3.3
"Onykia loennbergii",0.5,0,0.3
"Onykia robusta",6,0.5,0.3
"Opisthoteuthis californiana",0.5,0.1,0
"Oplophorus typus",3.2,0.5,0.3
"Ornithoteuthis antillarum",12,0,0
"Ornithoteuthis volatilis",20.7,3.3,2.8
"Ostracion cubicus",1.6,0.2,0
"Palinurus mauritanicus",8,0,0
"Paralepis coregonoides",81.48148148,20.38,26.89
"Paralepis speciosa",0.862068966,17.1,23.04
"Parapasiphae sulcatifrons",4,0,0
"Parapronoe crustulum",1.5,0.2,0.1
"Parribacus antarcticus",0.5,0.1,0
"Peprilus simillimus",0.5,0.1,0
"Peristedion gracile",3,0,0
"Photonectes margarita",0,0,0
"Phrosina semilunata",65,4.2,6.5
"Platyscelus armatus",0,0,0
