"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",156,156,156,156,156,156,156,156,156,156,156,156,156,156
"within.cluster.ss",23.32,19.75,13.66,10.9,9.93,7.87,7.31,6.53,5.95,5.43,5.28,5.08,4.78,4.61
"average.within",0.5,0.45,0.38,0.33,0.32,0.28,0.27,0.25,0.24,0.23,0.22,0.22,0.21,0.21
"average.between",0.61,0.56,0.6,0.59,0.59,0.58,0.57,0.57,0.57,0.56,0.56,0.56,0.55,0.55
"wb.ratio",0.82,0.8,0.63,0.56,0.54,0.49,0.47,0.44,0.42,0.41,0.4,0.39,0.38,0.37
"dunn2",1.2,1.15,1.13,1.01,1.25,1.2,1.25,0.97,0.97,0.9,0.97,0.97,0.83,0.83
"avg.silwidth",0.16,0.14,0.22,0.25,0.26,0.3,0.31,0.27,0.28,0.29,0.29,0.29,0.3,0.29
"Cluster- 1  size",152,92,73,73,73,56,56,56,56,45,45,45,45,45
"Cluster- 2  size",4,60,19,19,6,6,6,6,6,6,6,6,6,6
"Cluster- 3  size",0,4,60,23,23,23,23,23,12,12,12,12,12,12
"Cluster- 4  size",0,0,4,37,37,37,37,28,28,28,28,28,28,28
"Cluster- 5  size",0,0,0,4,13,17,17,17,11,11,11,11,11,11
"Cluster- 6  size",0,0,0,0,4,13,7,9,17,11,11,11,11,9
"Cluster- 7  size",0,0,0,0,0,4,6,7,9,17,17,17,6,6
"Cluster- 8  size",0,0,0,0,0,0,4,6,7,9,9,9,9,9
"Cluster- 9  size",0,0,0,0,0,0,0,4,6,7,7,7,7,7
"Cluster- 10  size",0,0,0,0,0,0,0,0,4,6,6,2,11,11
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,4,2,4,2,2
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,2,2,4,2
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,2,2,4
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,2
