"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",156,156,156,156,156,156,156,156,156,156,156,156,156,156
"within.cluster.ss",18.54,14.87,12.66,10.3,9.45,7.73,7.46,6.93,6.68,6.5,5.47,4.8,4.56,3.97
"average.within",0.44,0.39,0.37,0.31,0.29,0.26,0.25,0.24,0.24,0.23,0.21,0.2,0.19,0.18
"average.between",0.65,0.63,0.63,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57
"wb.ratio",0.68,0.62,0.58,0.53,0.5,0.44,0.43,0.42,0.41,0.4,0.37,0.35,0.34,0.32
"dunn2",1.4,1.27,1.35,1.06,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.76,1.06
"avg.silwidth",0.32,0.3,0.32,0.3,0.24,0.3,0.28,0.29,0.28,0.28,0.33,0.37,0.37,0.39
"Cluster- 1  size",107,86,86,31,31,31,31,31,31,31,31,31,31,31
"Cluster- 2  size",49,49,36,36,36,36,36,36,36,36,11,11,11,11
"Cluster- 3  size",0,21,21,55,47,26,22,22,22,22,22,22,22,22
"Cluster- 4  size",0,0,13,21,21,21,21,11,11,11,11,11,11,11
"Cluster- 5  size",0,0,0,13,8,8,4,4,4,4,25,16,16,16
"Cluster- 6  size",0,0,0,0,13,21,8,8,8,8,4,4,4,4
"Cluster- 7  size",0,0,0,0,0,13,21,21,21,21,8,8,8,8
"Cluster- 8  size",0,0,0,0,0,0,13,13,13,13,21,9,9,9
"Cluster- 9  size",0,0,0,0,0,0,0,10,8,6,13,21,21,21
"Cluster- 10  size",0,0,0,0,0,0,0,0,2,2,6,13,3,3
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,2,2,6,6,6
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,2,2,2,2
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,2,10,5
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,2,5
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,2
