"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",156,156,156,156,156,156,156,156,156,156,156,156,156,156
"within.cluster.ss",20.46,14.46,13.8,12.91,9.98,8.38,6.43,6.17,5.48,4.64,4.52,4.44,4.12,4.06
"average.within",0.46,0.37,0.36,0.35,0.3,0.27,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.19
"average.between",0.72,0.6,0.6,0.6,0.59,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57
"wb.ratio",0.63,0.61,0.6,0.57,0.51,0.46,0.42,0.41,0.39,0.36,0.35,0.35,0.34,0.34
"dunn2",1.57,1.34,1.18,1.24,1.44,1.38,1.25,1.21,1.21,1.08,1.17,1.03,0.97,0.97
"avg.silwidth",0.34,0.3,0.22,0.21,0.27,0.33,0.36,0.36,0.36,0.4,0.36,0.3,0.32,0.31
"Cluster- 1  size",142,68,68,68,68,53,48,48,48,48,48,47,43,43
"Cluster- 2  size",14,74,74,71,31,31,5,5,5,5,4,4,4,4
"Cluster- 3  size",0,14,11,11,40,40,31,31,31,25,25,25,25,25
"Cluster- 4  size",0,0,3,3,11,15,40,40,33,33,33,33,33,33
"Cluster- 5  size",0,0,0,3,3,11,15,15,15,15,15,15,15,15
"Cluster- 6  size",0,0,0,0,3,3,11,5,5,5,5,5,4,4
"Cluster- 7  size",0,0,0,0,0,3,3,3,7,6,6,6,5,5
"Cluster- 8  size",0,0,0,0,0,0,3,6,3,7,7,7,6,6
"Cluster- 9  size",0,0,0,0,0,0,0,3,6,3,3,3,7,7
"Cluster- 10  size",0,0,0,0,0,0,0,0,3,6,6,6,3,3
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,3,3,3,6,6
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,1,1,3,2
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,1
