"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",156,156,156,156,156,156,156,156,156,156,156,156,156,156
"within.cluster.ss",16.38,13.2,11.43,8.2,7.48,6.74,6.39,5.76,5.51,5.2,4.76,4.66,4.46,4.36
"average.within",0.4,0.36,0.34,0.28,0.27,0.26,0.25,0.23,0.22,0.22,0.21,0.21,0.2,0.2
"average.between",0.67,0.67,0.67,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59
"wb.ratio",0.6,0.54,0.51,0.46,0.44,0.42,0.41,0.39,0.38,0.37,0.35,0.35,0.34,0.34
"dunn2",1.23,1.12,1.22,1.04,1.3,1.23,1.12,1.02,0.92,0.92,0.95,0.95,0.95,0.95
"avg.silwidth",0.39,0.32,0.33,0.38,0.38,0.38,0.35,0.34,0.33,0.33,0.33,0.3,0.3,0.3
"Cluster- 1  size",105,105,105,73,73,73,70,70,70,70,70,70,70,70
"Cluster- 2  size",51,38,15,15,5,5,5,5,5,5,5,5,5,5
"Cluster- 3  size",0,13,13,13,13,13,13,13,13,10,10,10,10,10
"Cluster- 4  size",0,0,23,32,32,32,32,20,20,20,20,20,20,20
"Cluster- 5  size",0,0,0,23,23,8,8,8,8,8,8,8,8,8
"Cluster- 6  size",0,0,0,0,10,10,3,3,3,3,3,3,3,3
"Cluster- 7  size",0,0,0,0,0,15,10,12,9,9,9,9,9,9
"Cluster- 8  size",0,0,0,0,0,0,15,10,10,10,7,7,7,7
"Cluster- 9  size",0,0,0,0,0,0,0,15,15,15,15,1,1,1
"Cluster- 10  size",0,0,0,0,0,0,0,0,3,3,3,3,3,3
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,3,3,14,11,11
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,3,3,3,2
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,3,3,3
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,3,1
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,3
