"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",292,292,292,292,292,292,292,292,292,292,292,292,292,292
"within.cluster.ss",35.9,27.55,27.14,24.16,17.94,14.88,14.43,13.23,12.63,11.84,6.51,6.45,6.34,6.22
"average.within",0.44,0.38,0.38,0.35,0.3,0.27,0.26,0.25,0.24,0.23,0.16,0.16,0.16,0.15
"average.between",0.69,0.63,0.63,0.63,0.57,0.56,0.56,0.56,0.55,0.55,0.52,0.52,0.52,0.52
"wb.ratio",0.64,0.6,0.6,0.56,0.52,0.48,0.47,0.44,0.43,0.41,0.3,0.3,0.3,0.29
"dunn2",1.56,1.28,1.09,1.15,1.34,1.34,1.2,1.2,1.2,1.2,1.44,1.14,1.14,1.03
"avg.silwidth",0.32,0.32,0.25,0.23,0.29,0.32,0.31,0.28,0.3,0.29,0.46,0.44,0.44,0.42
"Cluster- 1  size",283,238,238,238,187,163,163,163,163,163,66,66,66,66
"Cluster- 2  size",9,45,41,30,30,24,24,24,24,19,97,97,97,97
"Cluster- 3  size",0,9,9,9,51,30,30,30,23,23,19,19,19,19
"Cluster- 4  size",0,0,4,11,9,51,51,36,36,36,23,23,23,23
"Cluster- 5  size",0,0,0,4,11,9,4,4,4,4,36,36,36,36
"Cluster- 6  size",0,0,0,0,4,11,11,15,15,15,4,4,4,4
"Cluster- 7  size",0,0,0,0,0,4,5,11,11,11,15,15,15,15
"Cluster- 8  size",0,0,0,0,0,0,4,5,7,5,11,11,11,7
"Cluster- 9  size",0,0,0,0,0,0,0,4,5,7,5,5,5,5
"Cluster- 10  size",0,0,0,0,0,0,0,0,4,5,7,7,5,5
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,4,5,5,5,5
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,4,3,3,3
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,1,1,4
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,2,1
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,2
