,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13,Test 14
cluster.number,2,3,4,5,6,7,8,9,10,11,12,13,14,15
n,292,292,292,292,292,292,292,292,292,292,292,292,292,292
within.cluster.ss,29.53,27.62,25.09,15.84,10.62,7.85,7.76,6.5,6.07,5.02,4.6,4.46,4.05,3.63
average.within,0.39,0.37,0.35,0.26,0.21,0.18,0.18,0.16,0.15,0.14,0.13,0.13,0.12,0.1
average.between,0.67,0.66,0.66,0.6,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57
wb.ratio,0.58,0.56,0.53,0.43,0.36,0.3,0.3,0.28,0.27,0.24,0.23,0.22,0.2,0.18
dunn2,1.71,1.31,1.25,1.04,1.28,1.43,1.19,1.19,1.57,1.57,1.47,1.47,1.53,1.53
avg.silwidth,0.41,0.24,0.23,0.4,0.49,0.54,0.51,0.54,0.54,0.54,0.54,0.53,0.57,0.61
Cluster- 1  size,77,12,12,12,12,12,11,11,11,11,11,8,8,8
Cluster- 2  size,215,215,215,88,88,88,88,88,88,88,88,88,88,88
Cluster- 3  size,0,65,51,51,51,51,51,40,40,40,40,40,13,13
Cluster- 4  size,0,0,14,14,14,14,14,14,8,8,8,8,8,8
Cluster- 5  size,0,0,0,127,55,55,55,55,55,44,44,44,44,44
Cluster- 6  size,0,0,0,0,72,44,44,44,44,44,44,44,27,15
Cluster- 7  size,0,0,0,0,0,28,1,1,6,6,6,6,44,44
Cluster- 8  size,0,0,0,0,0,0,28,28,1,1,1,1,6,12
Cluster- 9  size,0,0,0,0,0,0,0,11,28,28,25,25,1,6
Cluster- 10  size,0,0,0,0,0,0,0,0,11,11,11,11,25,1
Cluster- 11  size,0,0,0,0,0,0,0,0,0,11,11,11,11,25
Cluster- 12  size,0,0,0,0,0,0,0,0,0,0,3,3,11,11
Cluster- 13  size,0,0,0,0,0,0,0,0,0,0,0,3,3,11
Cluster- 14  size,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Cluster- 15  size,0,0,0,0,0,0,0,0,0,0,0,0,0,3
