"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",292,292,292,292,292,292,292,292,292,292,292,292,292,292
"within.cluster.ss",29.53,23.87,18.02,12.3,9.92,7.85,7.43,6.38,5.12,5.03,4.6,4.1,3.8,3.48
"average.within",0.39,0.33,0.28,0.22,0.19,0.18,0.17,0.15,0.14,0.14,0.13,0.12,0.11,0.1
"average.between",0.67,0.61,0.61,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57
"wb.ratio",0.58,0.54,0.46,0.37,0.34,0.3,0.29,0.27,0.24,0.24,0.23,0.21,0.19,0.18
"dunn2",1.71,1.26,1.13,1.06,0.99,1.43,1.4,0.94,0.94,0.94,1.47,1.47,1.47,1.47
"avg.silwidth",0.41,0.32,0.36,0.46,0.51,0.54,0.51,0.52,0.56,0.54,0.54,0.58,0.59,0.63
"Cluster- 1  size",215,44,44,44,44,44,44,44,44,44,44,14,14,14
"Cluster- 2  size",77,171,143,88,88,88,88,88,88,88,88,88,88,88
"Cluster- 3  size",0,77,28,28,28,28,25,25,25,25,25,25,25,10
"Cluster- 4  size",0,0,77,77,51,51,51,51,40,40,40,30,24,24
"Cluster- 5  size",0,0,0,55,55,55,55,44,44,44,44,40,6,6
"Cluster- 6  size",0,0,0,0,26,12,12,12,12,11,11,44,40,40
"Cluster- 7  size",0,0,0,0,0,14,14,11,11,11,11,11,44,44
"Cluster- 8  size",0,0,0,0,0,0,3,14,11,11,11,11,11,11
"Cluster- 9  size",0,0,0,0,0,0,0,3,14,14,6,11,11,15
"Cluster- 10  size",0,0,0,0,0,0,0,0,3,3,3,6,11,11
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,1,8,3,6,11
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,1,8,3,6
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,1,8,3
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,1,8
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,1
