"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",292,292,292,292,292,292,292,292,292,292,292,292,292,292
"within.cluster.ss",29.36,23.63,22.53,21.63,13.94,12.92,12.26,12.1,11.82,11.7,9.71,9.15,8.65,8.57
"average.within",0.39,0.35,0.34,0.33,0.26,0.25,0.25,0.24,0.24,0.24,0.22,0.21,0.2,0.2
"average.between",0.57,0.6,0.6,0.6,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54
"wb.ratio",0.68,0.59,0.57,0.56,0.47,0.46,0.44,0.44,0.44,0.43,0.4,0.38,0.37,0.36
"dunn2",1.4,1.35,1,1.15,1.2,1.2,1.11,1.18,1.21,1.15,1.39,0.83,0.83,0.83
"avg.silwidth",0.31,0.33,0.29,0.26,0.36,0.36,0.35,0.34,0.34,0.28,0.36,0.29,0.28,0.26
"Cluster- 1  size",61,61,51,51,51,51,45,45,45,45,45,7,7,7
"Cluster- 2  size",231,214,214,214,138,138,138,138,138,138,138,138,138,138
"Cluster- 3  size",0,17,17,9,76,5,5,5,5,5,5,38,31,31
"Cluster- 4  size",0,0,10,10,9,71,71,71,71,71,47,5,7,6
"Cluster- 5  size",0,0,0,8,10,9,9,2,2,2,2,47,5,5
"Cluster- 6  size",0,0,0,0,8,10,6,6,6,6,24,2,47,47
"Cluster- 7  size",0,0,0,0,0,8,10,10,10,10,6,24,2,2
"Cluster- 8  size",0,0,0,0,0,0,8,7,5,5,10,6,24,1
"Cluster- 9  size",0,0,0,0,0,0,0,8,2,2,5,10,6,24
"Cluster- 10  size",0,0,0,0,0,0,0,0,8,7,2,5,10,6
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,1,7,2,5,10
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,1,7,2,5
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,1,7,2
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,1
