"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",292,292,292,292,292,292,292,292,292,292,292,292,292,292
"within.cluster.ss",43,40.74,28.32,26.46,25.39,17.7,14.22,14.07,13.65,11.48,10.94,8.61,8.32,8.23
"average.within",0.49,0.48,0.39,0.37,0.36,0.3,0.26,0.26,0.25,0.23,0.22,0.2,0.19,0.19
"average.between",0.65,0.61,0.6,0.59,0.59,0.58,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
"wb.ratio",0.76,0.78,0.65,0.62,0.61,0.51,0.45,0.45,0.44,0.4,0.39,0.35,0.35,0.35
"dunn2",1.31,1.22,1.17,1.03,0.98,1.22,1.22,1.22,0.93,0.99,0.99,1.07,1.05,1.05
"avg.silwidth",0.22,0.08,0.22,0.19,0.17,0.29,0.31,0.28,0.27,0.33,0.34,0.4,0.39,0.37
"Cluster- 1  size",287,276,195,195,195,134,34,34,34,34,34,34,33,33
"Cluster- 2  size",5,11,81,64,59,59,100,100,100,100,100,82,82,82
"Cluster- 3  size",0,5,11,11,5,61,59,59,59,59,55,18,18,18
"Cluster- 4  size",0,0,5,17,11,5,61,61,61,15,15,55,55,55
"Cluster- 5  size",0,0,0,5,17,11,5,5,5,46,46,15,15,15
"Cluster- 6  size",0,0,0,0,5,17,11,11,5,5,5,46,1,1
"Cluster- 7  size",0,0,0,0,0,5,17,17,17,5,5,5,46,46
"Cluster- 8  size",0,0,0,0,0,0,5,4,6,17,4,5,5,5
"Cluster- 9  size",0,0,0,0,0,0,0,1,4,6,17,4,5,5
"Cluster- 10  size",0,0,0,0,0,0,0,0,1,4,6,17,4,4
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,1,4,6,17,17
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,1,4,6,6
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,1,4,3
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,1
