"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",292,292,292,292,292,292,292,292,292,292,292,292,292,292
"within.cluster.ss",35.4,27.94,20.37,18.92,15.59,15.08,14.42,13.89,12.94,11.79,11.16,9.38,9.26,9.04
"average.within",0.45,0.39,0.32,0.31,0.28,0.28,0.27,0.26,0.25,0.24,0.23,0.21,0.21,0.2
"average.between",0.64,0.55,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51
"wb.ratio",0.7,0.71,0.61,0.59,0.54,0.53,0.51,0.5,0.48,0.46,0.44,0.41,0.41,0.4
"dunn2",1.43,1.26,1.38,1.23,1.21,1.09,1.22,1.21,1.15,1.13,1.13,1.23,1.11,0.99
"avg.silwidth",0.26,0.22,0.26,0.26,0.29,0.26,0.25,0.23,0.24,0.24,0.24,0.28,0.27,0.26
"Cluster- 1  size",287,223,158,158,132,132,132,132,132,132,132,121,121,121
"Cluster- 2  size",5,64,65,65,65,65,65,65,65,47,42,42,42,42
"Cluster- 3  size",0,5,64,49,49,49,49,49,34,34,34,34,34,34
"Cluster- 4  size",0,0,5,15,26,26,21,6,6,6,6,6,6,6
"Cluster- 5  size",0,0,0,5,15,12,5,15,15,15,15,15,15,15
"Cluster- 6  size",0,0,0,0,5,5,12,5,5,5,5,11,11,11
"Cluster- 7  size",0,0,0,0,0,3,5,12,15,15,5,5,5,5
"Cluster- 8  size",0,0,0,0,0,0,3,5,12,12,15,5,5,5
"Cluster- 9  size",0,0,0,0,0,0,0,3,5,5,12,15,15,15
"Cluster- 10  size",0,0,0,0,0,0,0,0,3,18,5,12,12,7
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,3,18,5,3,3
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,3,18,18,18
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,3,2,5
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,3,2
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,3
