"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",292,292,292,292,292,292,292,292,292,292,292,292,292,292
"within.cluster.ss",30.44,28.89,27.62,26.74,18.43,17.19,16.79,16.58,16.42,11.74,11.15,9.97,9.81,8.08
"average.within",0.41,0.39,0.38,0.37,0.31,0.29,0.29,0.29,0.28,0.24,0.23,0.21,0.21,0.19
"average.between",0.63,0.62,0.61,0.61,0.59,0.58,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.56
"wb.ratio",0.65,0.63,0.62,0.61,0.52,0.51,0.5,0.49,0.49,0.42,0.41,0.38,0.38,0.35
"dunn2",1.48,1.13,1.03,1.01,1.27,1.27,1.13,0.96,0.95,1.07,1.07,1.07,1.07,1.19
"avg.silwidth",0.34,0.19,0.16,0.14,0.28,0.27,0.23,0.21,0.21,0.33,0.32,0.32,0.29,0.34
"Cluster- 1  size",77,12,12,12,12,12,9,9,9,9,9,9,9,9
"Cluster- 2  size",215,215,215,215,142,142,142,142,142,82,82,82,82,82
"Cluster- 3  size",0,65,46,46,46,46,46,46,46,46,46,46,46,46
"Cluster- 4  size",0,0,19,16,73,60,60,60,60,60,60,60,60,44
"Cluster- 5  size",0,0,0,3,16,16,16,6,6,60,56,40,40,40
"Cluster- 6  size",0,0,0,0,3,3,3,10,9,6,6,6,6,6
"Cluster- 7  size",0,0,0,0,0,13,13,3,3,9,9,9,9,16
"Cluster- 8  size",0,0,0,0,0,0,3,13,13,3,3,3,3,9
"Cluster- 9  size",0,0,0,0,0,0,0,3,3,13,4,4,4,3
"Cluster- 10  size",0,0,0,0,0,0,0,0,1,3,13,13,13,4
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,1,3,3,3,13
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,1,16,15,3
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,1,1,15
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,1
