"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",292,292,292,292,292,292,292,292,292,292,292,292,292,292
"within.cluster.ss",32.71,28.16,25.57,24.3,22.73,22.03,15.86,15.22,14.74,14.09,12.29,10.43,8.88,6.47
"average.within",0.43,0.4,0.38,0.37,0.35,0.34,0.29,0.28,0.28,0.27,0.25,0.22,0.2,0.17
"average.between",0.57,0.59,0.59,0.59,0.58,0.57,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.51
"wb.ratio",0.74,0.67,0.64,0.62,0.61,0.6,0.54,0.53,0.52,0.5,0.47,0.42,0.39,0.33
"dunn2",1.34,1.26,1.11,1.31,1.31,1.29,1.16,1.34,1.43,1.2,1.21,1.19,1.2,0.99
"avg.silwidth",0.25,0.24,0.19,0.19,0.13,0.09,0.21,0.2,0.19,0.2,0.21,0.27,0.32,0.41
"Cluster- 1  size",246,222,222,222,212,207,123,123,123,123,123,123,107,34
"Cluster- 2  size",46,24,24,9,9,9,84,84,84,84,67,42,16,73
"Cluster- 3  size",0,46,31,31,31,31,9,9,9,9,9,25,42,16
"Cluster- 4  size",0,0,15,15,15,15,31,31,31,19,19,9,25,42
"Cluster- 5  size",0,0,0,15,15,15,15,15,11,11,11,19,9,25
"Cluster- 6  size",0,0,0,0,10,5,15,12,12,12,12,11,19,9
"Cluster- 7  size",0,0,0,0,0,10,5,5,5,5,5,12,11,19
"Cluster- 8  size",0,0,0,0,0,0,10,10,10,10,10,5,12,11
"Cluster- 9  size",0,0,0,0,0,0,0,3,3,12,12,10,5,12
"Cluster- 10  size",0,0,0,0,0,0,0,0,4,3,3,12,10,5
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,4,17,3,12,10
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,4,17,3,12
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,4,17,3
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,4,17
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,4
