"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",292,292,292,292,292,292,292,292,292,292,292,292,292,292
"within.cluster.ss",29.03,24.42,22.94,22.46,15.77,13.47,12.92,12.6,12.03,11.86,11.65,11.48,8.04,7.06
"average.within",0.39,0.36,0.35,0.35,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.2,0.18
"average.between",0.55,0.57,0.57,0.57,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.51,0.5
"wb.ratio",0.72,0.64,0.62,0.61,0.54,0.5,0.49,0.49,0.47,0.47,0.46,0.46,0.39,0.36
"dunn2",1.31,1.25,1.21,1.08,1.19,1.5,1.34,1.32,1.15,1.12,1.11,1.08,1.11,1.11
"avg.silwidth",0.27,0.29,0.23,0.21,0.29,0.32,0.31,0.28,0.23,0.2,0.19,0.19,0.32,0.33
"Cluster- 1  size",62,62,54,54,54,54,48,48,8,8,8,8,8,8
"Cluster- 2  size",230,214,214,214,138,138,138,138,138,138,138,138,79,79
"Cluster- 3  size",0,16,16,11,11,11,11,11,40,38,38,38,38,38
"Cluster- 4  size",0,0,8,5,76,29,29,4,11,11,11,7,7,7
"Cluster- 5  size",0,0,0,8,5,47,47,47,4,4,4,4,4,4
"Cluster- 6  size",0,0,0,0,8,5,5,5,47,47,47,47,47,47
"Cluster- 7  size",0,0,0,0,0,8,6,25,5,5,5,5,59,42
"Cluster- 8  size",0,0,0,0,0,0,8,6,25,25,25,25,5,17
"Cluster- 9  size",0,0,0,0,0,0,0,8,6,6,6,6,25,5
"Cluster- 10  size",0,0,0,0,0,0,0,0,8,8,4,4,6,25
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,2,4,4,4,6
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,2,4,4,4
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,2,4,4
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,2,4
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,2
