dendlabs,prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant_cat,refuge_cat,season_cat,gregarious,prob.clust.num
1,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra pelagica,adult,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
6,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus risso,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),solitary,1
14,Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
15,Cephalopoda,Oegopsida,Gonatidae,Berryteuthis anonychus,none,juvenile,mesopelagic,oceanic,diel (yes),refuge (yes),season (yes),schooling,1
16,Actinopterygii,Beryciformes,Berycidae,Beryx splendens,none,juvenile,mesopelagic,continental slope,diel (yes),refuge (no),season (yes),schooling,1
20,Hexanauplia,Calanoida,Calanidae,Calanus finmarchicus,none,adult,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
22,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus maderensis,adult,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
24,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus warmingii,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
32,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena hippurus,none,larva,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
36,Actinopterygii,Myctophiformes,Myctophidae,Diaphus lucidus,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
37,Actinopterygii,Myctophiformes,Myctophidae,Diaphus ostenfeldi,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
38,Actinopterygii,Myctophiformes,Myctophidae,Diaphus perspicillatus,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
39,Actinopterygii,Myctophiformes,Myctophidae,Diaphus theta,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
43,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus gigas,none,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
52,Malacostraca,Decapoda,Sergestidae,Eusergestes similis,adult,adult,epipelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
60,Cephalopoda,Oegopsida,Gonatidae,Gonatus onyx,juvenile,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
62,Malacostraca,Decapoda,Pandalidae,Heterocarpus laevigatus,none,adult,benthic,continental slope,diel (yes),refuge (yes),season (yes),schooling,1
67,Actinopterygii,Myctophiformes,Myctophidae,Hygophum hygomii,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
68,Malacostraca,Amphipoda,Hyperiidae,Hyperia galba,none,adult,epipelagic,oceanic,diel (yes),refuge (yes),season (yes),schooling,1
76,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctodes hectoris,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
77,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus alatus,adult,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
78,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus crocodilus,adult,adult,bathypelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
79,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus intricarius,adult,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (yes),schooling,1
