"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",158,158,158,158,158,158,158,158,158,158,158,158,158,158
"within.cluster.ss",20.33,19.34,15.71,11.79,10.8,10.45,10.18,9.57,8.68,7.58,5.89,4.69,4.59,4.41
"average.within",0.46,0.45,0.41,0.35,0.33,0.33,0.32,0.31,0.3,0.27,0.24,0.21,0.2,0.2
"average.between",0.59,0.6,0.64,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.54,0.53,0.53,0.53
"wb.ratio",0.78,0.75,0.64,0.62,0.59,0.58,0.57,0.56,0.53,0.49,0.44,0.39,0.39,0.38
"dunn2",1.26,1.29,1.37,1.16,1.13,1.02,1.02,1.29,1.29,1.09,1.09,1.09,1,0.9
"avg.silwidth",0.2,0.17,0.21,0.23,0.23,0.2,0.19,0.2,0.21,0.25,0.29,0.36,0.35,0.34
"Cluster- 1  size",147,142,130,71,71,71,71,71,71,71,57,33,33,33
"Cluster- 2  size",11,5,12,59,53,53,53,53,47,12,12,24,24,24
"Cluster- 3  size",0,11,5,12,12,12,12,8,8,35,35,12,12,12
"Cluster- 4  size",0,0,11,5,5,5,3,3,3,8,8,35,35,35
"Cluster- 5  size",0,0,0,11,11,7,7,7,6,3,3,8,8,8
"Cluster- 6  size",0,0,0,0,6,4,4,4,7,6,6,3,3,3
"Cluster- 7  size",0,0,0,0,0,6,2,4,4,7,14,6,6,6
"Cluster- 8  size",0,0,0,0,0,0,6,2,4,4,7,14,14,14
"Cluster- 9  size",0,0,0,0,0,0,0,6,2,4,4,7,7,6
"Cluster- 10  size",0,0,0,0,0,0,0,0,6,2,4,4,4,1
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,6,2,4,4,4
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,6,2,2,4
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,6,5,2
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,1
