"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",158,158,158,158,158,158,158,158,158,158,158,158,158,158
"within.cluster.ss",17.55,13.9,13.03,10.33,10.05,8,6.88,6.32,5.77,5.42,5.23,4.84,4.64,3.93
"average.within",0.42,0.38,0.37,0.33,0.33,0.28,0.25,0.24,0.23,0.23,0.22,0.21,0.2,0.19
"average.between",0.61,0.62,0.62,0.58,0.58,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52
"wb.ratio",0.7,0.62,0.61,0.57,0.57,0.52,0.47,0.45,0.44,0.43,0.41,0.4,0.39,0.36
"dunn2",1.09,1.1,1.19,1.03,0.95,0.79,0.72,0.72,0.72,0.72,0.55,0.5,0.43,0.43
"avg.silwidth",0.3,0.29,0.27,0.29,0.28,0.3,0.31,0.33,0.34,0.35,0.33,0.32,0.31,0.35
"Cluster- 1  size",112,112,112,85,85,40,40,40,40,40,30,30,30,30
"Cluster- 2  size",46,24,24,27,27,27,27,27,27,27,27,27,27,12
"Cluster- 3  size",0,22,15,24,24,45,23,23,23,23,23,23,23,23
"Cluster- 4  size",0,0,7,15,15,24,24,17,17,17,17,17,17,17
"Cluster- 5  size",0,0,0,7,2,15,15,7,7,7,7,7,7,7
"Cluster- 6  size",0,0,0,0,5,2,22,15,8,8,8,8,8,8
"Cluster- 7  size",0,0,0,0,0,5,2,22,7,4,4,4,4,4
"Cluster- 8  size",0,0,0,0,0,0,5,2,22,22,10,3,3,3
"Cluster- 9  size",0,0,0,0,0,0,0,5,2,2,22,22,19,15
"Cluster- 10  size",0,0,0,0,0,0,0,0,5,5,2,7,7,19
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,3,5,2,2,7
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,3,5,3,2
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,3,5,3
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,3,5
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,3
