"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",158,158,158,158,158,158,158,158,158,158,158,158,158,158
"within.cluster.ss",22.17,16.21,14.1,12.3,10.6,10.36,9.92,9.72,8.69,6.98,6.78,6.55,6.23,5.47
"average.within",0.47,0.4,0.37,0.34,0.32,0.32,0.31,0.31,0.28,0.25,0.25,0.24,0.24,0.22
"average.between",0.58,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.58
"wb.ratio",0.81,0.67,0.62,0.58,0.54,0.53,0.52,0.51,0.48,0.42,0.42,0.41,0.4,0.38
"dunn2",1.14,1.34,1.28,1.38,1.34,1,0.9,0.9,0.9,0.87,1,1.07,1.11,1.25
"avg.silwidth",0.18,0.24,0.24,0.26,0.29,0.26,0.25,0.2,0.19,0.26,0.23,0.24,0.24,0.27
"Cluster- 1  size",108,63,63,63,56,56,56,56,56,56,56,56,54,48
"Cluster- 2  size",50,45,45,33,7,7,7,7,7,7,6,4,4,4
"Cluster- 3  size",0,50,40,40,33,33,33,33,33,14,14,14,14,14
"Cluster- 4  size",0,0,10,12,40,40,40,39,29,29,29,29,29,29
"Cluster- 5  size",0,0,0,10,12,12,9,9,10,10,10,10,10,10
"Cluster- 6  size",0,0,0,0,10,7,7,7,9,19,19,19,19,6
"Cluster- 7  size",0,0,0,0,0,3,3,3,7,9,9,9,9,19
"Cluster- 8  size",0,0,0,0,0,0,3,3,3,7,7,7,7,9
"Cluster- 9  size",0,0,0,0,0,0,0,1,3,3,3,3,3,7
"Cluster- 10  size",0,0,0,0,0,0,0,0,1,3,3,3,2,3
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,1,1,2,3,2
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,1,1,2,3
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,1
