"dendlabs","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num"
"1","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","adult","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"2","Malacostraca","Decapoda","Alpheidae","Alpheus glaber","none","adult","benthic","coastal","diel (yes)","season (no)","schooling",2
"3","Malacostraca","Amphipoda","Phrosinidae","Anchylomera blossevillei","none","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3
"4","Cephalopoda","Oegopsida","Onychoteuthidae","Ancistroteuthis lichtensteinii","none","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",3
"5","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","none","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",4
"6","Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","solitary",1
"7","Cephalopoda","Octopoda","Argonautidae","Argonauta argo","none","adult","epipelagic","oceanic","diel (no)","season (yes)","schooling",1
"8","Cephalopoda","Octopoda","Argonautidae","Argonauta nodosus","none","adult","epipelagic","oceanic","diel (no)","season (yes)","schooling",1
"9","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","none","adult","mesopelagic","oceanic","diel (yes)","season (no)","solitary",1
"10","Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","none","adult","benthic","continental shelf","diel (yes)","season (yes)","solitary",3
"11","Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","none","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",4
"12","Gastropoda","Littorinimorpha","Atlantidae","Atlanta peronii","none","adult","epipelagic","oceanic","diel (yes)","season (no)","solitary",2
"13","Actinopterygii","Beloniformes","Belonidae","Belone belone","none","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",4
"14","Actinopterygii","Myctophiformes","Myctophidae","Benthosema glaciale","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"15","Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","none","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5
"16","Actinopterygii","Beryciformes","Berycidae","Beryx splendens","none","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",3
"17","Actinopterygii","Perciformes","Sparidae","Boops boops","none","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",6
"18","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus crusculum","adult","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",2
"19","Actinopterygii","Perciformes","Bramidae","Brama brama","none","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"20","Hexanauplia","Calanoida","Calanidae","Calanus finmarchicus","none","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",1
