"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",156,156,156,156,156,156,156,156,156,156,156,156,156,156
"within.cluster.ss",18.33,16.9,12.21,9.09,8.1,7.41,7.21,5.61,5.41,5.17,4.92,4.29,4.01,3.05
"average.within",0.44,0.42,0.34,0.29,0.28,0.26,0.25,0.22,0.22,0.21,0.21,0.19,0.19,0.16
"average.between",0.67,0.67,0.61,0.6,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.57
"wb.ratio",0.65,0.63,0.57,0.49,0.46,0.44,0.43,0.38,0.38,0.37,0.36,0.33,0.33,0.28
"dunn2",1.42,1.44,1.29,1.2,1.38,1.02,0.73,0.73,0.55,0.74,0.7,0.82,1.08,1.08
"avg.silwidth",0.34,0.28,0.32,0.36,0.38,0.31,0.28,0.34,0.35,0.33,0.33,0.35,0.36,0.43
"Cluster- 1  size",120,120,51,51,51,44,44,44,44,44,44,44,44,29
"Cluster- 2  size",36,7,7,7,7,7,7,7,4,4,4,4,4,4
"Cluster- 3  size",0,29,69,44,44,44,44,24,24,24,24,24,24,24
"Cluster- 4  size",0,0,29,29,22,22,22,20,20,20,20,20,20,20
"Cluster- 5  size",0,0,0,25,7,7,7,22,22,22,7,7,7,7
"Cluster- 6  size",0,0,0,0,25,7,7,7,7,7,7,7,7,7
"Cluster- 7  size",0,0,0,0,0,25,23,7,7,7,7,7,7,15
"Cluster- 8  size",0,0,0,0,0,0,2,23,23,23,23,23,23,7
"Cluster- 9  size",0,0,0,0,0,0,0,2,2,2,15,8,6,23
"Cluster- 10  size",0,0,0,0,0,0,0,0,3,2,2,7,7,6
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,1,2,2,2,7
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,1,2,2,2
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,1,2,2
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,1
