"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9","Test 10","Test 11","Test 12","Test 13","Test 14"
"cluster.number",2,3,4,5,6,7,8,9,10,11,12,13,14,15
"n",156,156,156,156,156,156,156,156,156,156,156,156,156,156
"within.cluster.ss",20.09,16.67,11.88,9.93,8.94,8.22,7.75,6.95,5.81,5.29,5.15,5.01,4.71,4.51
"average.within",0.46,0.4,0.35,0.31,0.3,0.29,0.28,0.26,0.24,0.22,0.22,0.22,0.21,0.2
"average.between",0.64,0.57,0.59,0.58,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.55,0.55,0.55
"wb.ratio",0.71,0.7,0.58,0.54,0.51,0.5,0.48,0.46,0.42,0.4,0.4,0.39,0.37,0.37
"dunn2",1.35,1.21,1.15,1.08,1.43,1.29,1.1,1.06,0.97,0.9,0.97,0.95,0.83,0.83
"avg.silwidth",0.27,0.22,0.29,0.31,0.32,0.32,0.32,0.25,0.29,0.31,0.3,0.29,0.3,0.31
"Cluster- 1  size",138,73,60,60,60,56,56,56,56,45,45,45,45,45
"Cluster- 2  size",18,65,13,13,6,6,6,6,6,6,6,6,6,6
"Cluster- 3  size",0,18,65,27,27,27,27,27,10,10,10,10,10,10
"Cluster- 4  size",0,0,18,38,38,38,38,29,29,29,29,29,29,29
"Cluster- 5  size",0,0,0,18,18,18,11,11,11,11,11,11,11,11
"Cluster- 6  size",0,0,0,0,7,7,7,9,17,11,11,11,11,9
"Cluster- 7  size",0,0,0,0,0,4,7,7,9,17,17,17,6,6
"Cluster- 8  size",0,0,0,0,0,0,4,7,7,9,9,9,9,9
"Cluster- 9  size",0,0,0,0,0,0,0,4,7,7,7,7,7,7
"Cluster- 10  size",0,0,0,0,0,0,0,0,4,7,7,5,11,11
"Cluster- 11  size",0,0,0,0,0,0,0,0,0,4,2,2,5,5
"Cluster- 12  size",0,0,0,0,0,0,0,0,0,0,2,2,2,2
"Cluster- 13  size",0,0,0,0,0,0,0,0,0,0,0,2,2,2
"Cluster- 14  size",0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Cluster- 15  size",0,0,0,0,0,0,0,0,0,0,0,0,0,2
