"prey_sp","prey_age_reported_1","maxl_type","maxL (cm)","maxGape (cm)","life_stage","life_note"
"Abralia redfieldi","none","NO",0,9.15677,"adult",NA
"Abraliopsis affinis","none","NO",0,7.97988,"adult",NA
"Abraliopsis felis","none","NO",0,7.97988,"adult",NA
"Abraliopsis gilchristi","none","NO",0,9.61765,"adult",NA
"Abraliopsis morisii","none","NO",0,9.61765,"adult",NA
"Acanthephyra pelagica","adult","NO",0,7.75767,"adult",NA
"Alepisaurus ferox","none","NO",0,9.61765,"juvenile",NA
"Alloteuthis subulata","none","NO",0,9.52712,"juvenile",NA
"Alpheus glaber","none","NO",0,7.75767,"larva","May have eaten larvae or post-larvae; Bouxin & Legendre reported mostly larvae"
"Anarrhichthys ocellatus","none","NO",0,7.38732,"juvenile",NA
"Anchylomera blossevillei","none","NO",0,9.52712,"adult",NA
"Ancistrocheirus lesueurii","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Ancistroteuthis lichtensteinii","none","ML",12.8,7.75767,"juvenile",NA
"Ancistroteuthis lichtensteinii","none","NO",0,9.52712,"juvenile",NA
"Anoplopoma fimbria","none","NO",0,7.38732,"juvenile",NA
"Anotopterus nikparini","none","NO",0,7.97988,"juvenile",NA
"Anotopterus pharao","none","NO",0,7.75767,"juvenile",NA
"Antigonia capros","none","NO",0,10.0703,"juvenile",NA
"Antimora rostrata","none","NO",0,9.61765,"juvenile","More likely y-o-y based on size and trait information"
"Arctozenus risso","none","NO",0,7.75767,"adult",NA
"Arctozenus risso","none","SL",20.4,7.75767,"adult",NA
"Argonauta argo","none","NO",0,9.61765,"juvenile","Likely adult or juvenile based on papers typically reporting unique larvae like these"
"Argonauta nodosus","none","NO",0,9.20615,"juvenile","Likely adult or juvenile based on papers typically reporting unique larvae like these"
"Argonauta nouryi","none","NO",0,7.38732,"juvenile","Likely adult or juvenile based on papers typically reporting unique larvae like these"
"Argyropelecus aculeatus","none","NO",0,9.61765,"adult",NA
"Argyropelecus olfersii","none","NO",0,7.75767,"adult",NA
"Argyropelecus olfersii","none","SL",6.8,7.75767,"adult",NA
"Arnoglossus imperialis","none","NO",0,7.75767,"juvenile","Potentially even larva"
"Ateleopus natalensis","none","NO",0,9.61765,"juvenile",NA
"Atherinopsis californiensis","none","PB",9.46,7.97988,"juvenile",NA
"Atlanta peronii","none","NO",0,7.75767,"adult",NA
"Axius stirhynchus","none","NO",0,7.75767,"juvenile","Most likely juvenile / young-of-year"
"Balistes punctatus","none","NO",0,9.61765,"juvenile","Could be larva based on vertical habitat trait"
"Barathronus parfaiti","none","NO",0,7.75767,"adult",NA
"Bathophilus flemingi","none","NO",0,7.38732,"juvenile",NA
"Bathyagonus pentacanthus","none","NO",0,7.97988,"juvenile","Based on traits"
"Bathylagoides wesethi","none","NO",0,7.38732,"juvenile",NA
"Belone belone","none","NO",0,7.75767,"juvenile","Can eat larvae based on size"
"Benthosema glaciale","none","NO",0,6.95936,"juvenile","Reported by Pusineri at 3.5 cm TL. Both adult & juvenile life stage possible based on Lmax"
"Benthosema glaciale","none","SL",2.5,7.75767,"juvenile","Reported by Pusineri at 3.5 cm TL. Both adult & juvenile life stage possible based on Lmax"
"Berryteuthis anonychus","none","NO",0,7.38732,"juvenile",NA
"Beryx splendens","none","NO",0,9.61765,"juvenile",NA
"Blennius ocellaris","none","NO",0,7.75767,"juvenile",NA
"Boops boops","none","NO",0,7.75767,"juvenile",NA
"Brachioteuthis riisei","none","NO",0,7.75767,"juvenile",NA
"Brachyscelus crusculum","adult","NO",0,7.75767,"adult",NA
"Brachyscelus crusculum","none","NO",0,9.61765,"adult",NA
"Brachyscelus macrocephalus","none","NO",0,7.38732,"adult",NA
"Brama brama","none","NO",0,7.38732,"juvenile",NA
"Brama orcini","none","NO",0,10.0703,"juvenile",NA
"Bregmaceros mcclellandi","none","NO",0,9.61765,"adult",NA
"Calanus finmarchicus","none","NO",0,7.75767,"adult",NA
"Canthidermis maculata","none","NO",0,9.61765,"juvenile",NA
"Capros aper","none","NO",0,9.52712,"juvenile",NA
"Carinaria lamarckii","none","NO",0,7.75767,"adult",NA
"Cavolinia tridentata","none","NO",0,9.20615,"adult",NA
"Centrolophus niger","none","NO",0,7.75767,"juvenile",NA
"Ceratias tentaculatus","none","NO",0,9.61765,"juvenile","A weird species, 'free-living' at juvenile life stage and we know almost nothing of the larval stage"
"Ceratoscopelus maderensis","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported age"
"Ceratoscopelus townsendi","larva","NO",0,7.38732,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Ceratoscopelus townsendi","none","NO",0,7.38732,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Ceratoscopelus warmingii","none","NO",0,7.0256938,"adult",NA
"Chelophyes appendiculata","none","NO",0,7.75767,"adult",NA
"Chiasmodon niger","none","NO",0,9.61765,"juvenile",NA
"Chilara taylori","none","NO",0,7.38732,"juvenile",NA
"Chiroteuthis veranii","none","NO",0,9.15677,"juvenile","But equally likely to be larva consumed"
"Chlorophthalmus agassizi","none","NO",0,7.75767,"juvenile",NA
"Chromis punctipinnis","none","NO",0,7.38732,"juvenile",NA
"Chtenopteryx sicula","none","NO",0,7.75767,"juvenile",NA
"Citharichthys sordidus","none","NO",0,7.38732,"juvenile","Potentially even larva"
